"Kod";"Nazwa";"ogółem;ogółem;2015;[-]";"ogółem;0;2015;[-]";"ogółem;1;2015;[-]";"ogółem;2;2015;[-]";"ogółem;3;2015;[-]";"ogółem;4;2015;[-]";"ogółem;5;2015;[-]";"ogółem;6;2015;[-]";"ogółem;7;2015;[-]";"ogółem;8;2015;[-]";"ogółem;9;2015;[-]";"ogółem;10;2015;[-]";"ogółem;11;2015;[-]";"ogółem;12;2015;[-]";"ogółem;13;2015;[-]";"ogółem;14;2015;[-]";"ogółem;15;2015;[-]";"ogółem;16;2015;[-]";"ogółem;17;2015;[-]";"ogółem;18;2015;[-]";"ogółem;19;2015;[-]";"ogółem;20;2015;[-]";"ogółem;21;2015;[-]";"ogółem;22;2015;[-]";"ogółem;23;2015;[-]";"ogółem;24;2015;[-]";"ogółem;25;2015;[-]";"ogółem;26;2015;[-]";"ogółem;27;2015;[-]";"ogółem;28;2015;[-]";"ogółem;29;2015;[-]";"ogółem;30;2015;[-]";"ogółem;31;2015;[-]";"ogółem;32;2015;[-]";"ogółem;33;2015;[-]";"ogółem;34;2015;[-]";"ogółem;35;2015;[-]";"ogółem;36;2015;[-]";"ogółem;37;2015;[-]";"ogółem;38;2015;[-]";"ogółem;39;2015;[-]";"ogółem;40;2015;[-]";"ogółem;41;2015;[-]";"ogółem;42;2015;[-]";"ogółem;43;2015;[-]";"ogółem;44;2015;[-]";"ogółem;45;2015;[-]";"ogółem;46;2015;[-]";"ogółem;47;2015;[-]";"ogółem;48;2015;[-]";"ogółem;49;2015;[-]";"ogółem;50;2015;[-]";"ogółem;51;2015;[-]";"ogółem;52;2015;[-]";"ogółem;53;2015;[-]";"ogółem;54;2015;[-]";"ogółem;55;2015;[-]";"ogółem;56;2015;[-]";"ogółem;57;2015;[-]";"ogółem;58;2015;[-]";"ogółem;59;2015;[-]";"ogółem;60;2015;[-]";"ogółem;61;2015;[-]";"ogółem;62;2015;[-]";"ogółem;63;2015;[-]";"ogółem;64;2015;[-]";"ogółem;65;2015;[-]";"ogółem;66;2015;[-]";"ogółem;67;2015;[-]";"ogółem;68;2015;[-]";"ogółem;69;2015;[-]";"ogółem;70;2015;[-]";"ogółem;71;2015;[-]";"ogółem;72;2015;[-]";"ogółem;73;2015;[-]";"ogółem;74;2015;[-]";"ogółem;75;2015;[-]";"ogółem;76;2015;[-]";"ogółem;77;2015;[-]";"ogółem;78;2015;[-]";"ogółem;79;2015;[-]";"ogółem;80;2015;[-]";"ogółem;81;2015;[-]";"ogółem;82;2015;[-]";"ogółem;83;2015;[-]";"ogółem;84;2015;[-]";"ogółem;85;2015;[-]";"ogółem;86;2015;[-]";"ogółem;87;2015;[-]";"ogółem;88;2015;[-]";"ogółem;89;2015;[-]";"ogółem;90;2015;[-]";"ogółem;91;2015;[-]";"ogółem;92;2015;[-]";"ogółem;93;2015;[-]";"ogółem;94;2015;[-]";"ogółem;95;2015;[-]";"ogółem;96;2015;[-]";"ogółem;97;2015;[-]";"ogółem;98;2015;[-]";"ogółem;99;2015;[-]";"ogółem;100;2015;[-]";"ogółem;101;2015;[-]";"ogółem;102;2015;[-]";"ogółem;103;2015;[-]";"ogółem;104;2015;[-]";"ogółem;105;2015;[-]";"ogółem;106;2015;[-]";"ogółem;107;2015;[-]";"ogółem;108;2015;[-]";"ogółem;109;2015;[-]";"ogółem;110 i więcej;2015;[-]";"mężczyźni;ogółem;2015;[-]";"mężczyźni;0;2015;[-]";"mężczyźni;1;2015;[-]";"mężczyźni;2;2015;[-]";"mężczyźni;3;2015;[-]";"mężczyźni;4;2015;[-]";"mężczyźni;5;2015;[-]";"mężczyźni;6;2015;[-]";"mężczyźni;7;2015;[-]";"mężczyźni;8;2015;[-]";"mężczyźni;9;2015;[-]";"mężczyźni;10;2015;[-]";"mężczyźni;11;2015;[-]";"mężczyźni;12;2015;[-]";"mężczyźni;13;2015;[-]";"mężczyźni;14;2015;[-]";"mężczyźni;15;2015;[-]";"mężczyźni;16;2015;[-]";"mężczyźni;17;2015;[-]";"mężczyźni;18;2015;[-]";"mężczyźni;19;2015;[-]";"mężczyźni;20;2015;[-]";"mężczyźni;21;2015;[-]";"mężczyźni;22;2015;[-]";"mężczyźni;23;2015;[-]";"mężczyźni;24;2015;[-]";"mężczyźni;25;2015;[-]";"mężczyźni;26;2015;[-]";"mężczyźni;27;2015;[-]";"mężczyźni;28;2015;[-]";"mężczyźni;29;2015;[-]";"mężczyźni;30;2015;[-]";"mężczyźni;31;2015;[-]";"mężczyźni;32;2015;[-]";"mężczyźni;33;2015;[-]";"mężczyźni;34;2015;[-]";"mężczyźni;35;2015;[-]";"mężczyźni;36;2015;[-]";"mężczyźni;37;2015;[-]";"mężczyźni;38;2015;[-]";"mężczyźni;39;2015;[-]";"mężczyźni;40;2015;[-]";"mężczyźni;41;2015;[-]";"mężczyźni;42;2015;[-]";"mężczyźni;43;2015;[-]";"mężczyźni;44;2015;[-]";"mężczyźni;45;2015;[-]";"mężczyźni;46;2015;[-]";"mężczyźni;47;2015;[-]";"mężczyźni;48;2015;[-]";"mężczyźni;49;2015;[-]";"mężczyźni;50;2015;[-]";"mężczyźni;51;2015;[-]";"mężczyźni;52;2015;[-]";"mężczyźni;53;2015;[-]";"mężczyźni;54;2015;[-]";"mężczyźni;55;2015;[-]";"mężczyźni;56;2015;[-]";"mężczyźni;57;2015;[-]";"mężczyźni;58;2015;[-]";"mężczyźni;59;2015;[-]";"mężczyźni;60;2015;[-]";"mężczyźni;61;2015;[-]";"mężczyźni;62;2015;[-]";"mężczyźni;63;2015;[-]";"mężczyźni;64;2015;[-]";"mężczyźni;65;2015;[-]";"mężczyźni;66;2015;[-]";"mężczyźni;67;2015;[-]";"mężczyźni;68;2015;[-]";"mężczyźni;69;2015;[-]";"mężczyźni;70;2015;[-]";"mężczyźni;71;2015;[-]";"mężczyźni;72;2015;[-]";"mężczyźni;73;2015;[-]";"mężczyźni;74;2015;[-]";"mężczyźni;75;2015;[-]";"mężczyźni;76;2015;[-]";"mężczyźni;77;2015;[-]";"mężczyźni;78;2015;[-]";"mężczyźni;79;2015;[-]";"mężczyźni;80;2015;[-]";"mężczyźni;81;2015;[-]";"mężczyźni;82;2015;[-]";"mężczyźni;83;2015;[-]";"mężczyźni;84;2015;[-]";"mężczyźni;85;2015;[-]";"mężczyźni;86;2015;[-]";"mężczyźni;87;2015;[-]";"mężczyźni;88;2015;[-]";"mężczyźni;89;2015;[-]";"mężczyźni;90;2015;[-]";"mężczyźni;91;2015;[-]";"mężczyźni;92;2015;[-]";"mężczyźni;93;2015;[-]";"mężczyźni;94;2015;[-]";"mężczyźni;95;2015;[-]";"mężczyźni;96;2015;[-]";"mężczyźni;97;2015;[-]";"mężczyźni;98;2015;[-]";"mężczyźni;99;2015;[-]";"mężczyźni;100;2015;[-]";"mężczyźni;101;2015;[-]";"mężczyźni;102;2015;[-]";"mężczyźni;103;2015;[-]";"mężczyźni;104;2015;[-]";"mężczyźni;105;2015;[-]";"mężczyźni;106;2015;[-]";"mężczyźni;107;2015;[-]";"mężczyźni;108;2015;[-]";"mężczyźni;109;2015;[-]";"mężczyźni;110 i więcej;2015;[-]";"kobiety;ogółem;2015;[-]";"kobiety;0;2015;[-]";"kobiety;1;2015;[-]";"kobiety;2;2015;[-]";"kobiety;3;2015;[-]";"kobiety;4;2015;[-]";"kobiety;5;2015;[-]";"kobiety;6;2015;[-]";"kobiety;7;2015;[-]";"kobiety;8;2015;[-]";"kobiety;9;2015;[-]";"kobiety;10;2015;[-]";"kobiety;11;2015;[-]";"kobiety;12;2015;[-]";"kobiety;13;2015;[-]";"kobiety;14;2015;[-]";"kobiety;15;2015;[-]";"kobiety;16;2015;[-]";"kobiety;17;2015;[-]";"kobiety;18;2015;[-]";"kobiety;19;2015;[-]";"kobiety;20;2015;[-]";"kobiety;21;2015;[-]";"kobiety;22;2015;[-]";"kobiety;23;2015;[-]";"kobiety;24;2015;[-]";"kobiety;25;2015;[-]";"kobiety;26;2015;[-]";"kobiety;27;2015;[-]";"kobiety;28;2015;[-]";"kobiety;29;2015;[-]";"kobiety;30;2015;[-]";"kobiety;31;2015;[-]";"kobiety;32;2015;[-]";"kobiety;33;2015;[-]";"kobiety;34;2015;[-]";"kobiety;35;2015;[-]";"kobiety;36;2015;[-]";"kobiety;37;2015;[-]";"kobiety;38;2015;[-]";"kobiety;39;2015;[-]";"kobiety;40;2015;[-]";"kobiety;41;2015;[-]";"kobiety;42;2015;[-]";"kobiety;43;2015;[-]";"kobiety;44;2015;[-]";"kobiety;45;2015;[-]";"kobiety;46;2015;[-]";"kobiety;47;2015;[-]";"kobiety;48;2015;[-]";"kobiety;49;2015;[-]";"kobiety;50;2015;[-]";"kobiety;51;2015;[-]";"kobiety;52;2015;[-]";"kobiety;53;2015;[-]";"kobiety;54;2015;[-]";"kobiety;55;2015;[-]";"kobiety;56;2015;[-]";"kobiety;57;2015;[-]";"kobiety;58;2015;[-]";"kobiety;59;2015;[-]";"kobiety;60;2015;[-]";"kobiety;61;2015;[-]";"kobiety;62;2015;[-]";"kobiety;63;2015;[-]";"kobiety;64;2015;[-]";"kobiety;65;2015;[-]";"kobiety;66;2015;[-]";"kobiety;67;2015;[-]";"kobiety;68;2015;[-]";"kobiety;69;2015;[-]";"kobiety;70;2015;[-]";"kobiety;71;2015;[-]";"kobiety;72;2015;[-]";"kobiety;73;2015;[-]";"kobiety;74;2015;[-]";"kobiety;75;2015;[-]";"kobiety;76;2015;[-]";"kobiety;77;2015;[-]";"kobiety;78;2015;[-]";"kobiety;79;2015;[-]";"kobiety;80;2015;[-]";"kobiety;81;2015;[-]";"kobiety;82;2015;[-]";"kobiety;83;2015;[-]";"kobiety;84;2015;[-]";"kobiety;85;2015;[-]";"kobiety;86;2015;[-]";"kobiety;87;2015;[-]";"kobiety;88;2015;[-]";"kobiety;89;2015;[-]";"kobiety;90;2015;[-]";"kobiety;91;2015;[-]";"kobiety;92;2015;[-]";"kobiety;93;2015;[-]";"kobiety;94;2015;[-]";"kobiety;95;2015;[-]";"kobiety;96;2015;[-]";"kobiety;97;2015;[-]";"kobiety;98;2015;[-]";"kobiety;99;2015;[-]";"kobiety;100;2015;[-]";"kobiety;101;2015;[-]";"kobiety;102;2015;[-]";"kobiety;103;2015;[-]";"kobiety;104;2015;[-]";"kobiety;105;2015;[-]";"kobiety;106;2015;[-]";"kobiety;107;2015;[-]";"kobiety;108;2015;[-]";"kobiety;109;2015;[-]";"kobiety;110 i więcej;2015;[-]";
0000000;"POLSKA";394921;1476;114;60;47;42;40;32;35;38;46;27;41;47;61;67;91;106;119;196;265;267;294;272;301;323;338;351;364;403;431;471;513;571;575;628;683;769;782;854;912;943;1038;1094;1173;1274;1323;1468;1693;1808;1904;2278;2462;2730;3124;3634;4192;4808;5402;5693;6316;6652;7113;7372;8065;8157;8263;8455;8375;8327;7065;6059;6636;6395;7017;7863;8557;9104;9558;10375;10917;11368;11781;12245;12920;13790;13553;12944;12111;11371;10935;9503;8388;7108;5609;4055;3314;1790;1179;901;658;573;432;254;173;106;68;26;16;11;2;3;204469;830;63;33;30;22;24;19;18;20;19;20;24;31;39;33;55;76;86;150;201;222;243;210;240;267;282;306;293;333;344;377;416;456;445;497;532;600;606;655;679;692;787;816;872;943;978;1108;1228;1306;1380;1646;1762;1969;2256;2625;2963;3393;3781;3920;4410;4527;4835;5024;5328;5432;5421;5517;5473;5322;4420;3784;3997;3768;4146;4508;4798;4874;5090;5290;5345;5368;5383;5326;5369;5581;5063;4672;4109;3612;3190;2665;2267;1805;1415;1028;803;413;247;209;107;101;90;37;30;23;16;3;4;2;0;1;190452;646;51;27;17;20;16;13;17;18;27;7;17;16;22;34;36;30;33;46;64;45;51;62;61;56;56;45;71;70;87;94;97;115;130;131;151;169;176;199;233;251;251;278;301;331;345;360;465;502;524;632;700;761;868;1009;1229;1415;1621;1773;1906;2125;2278;2348;2737;2725;2842;2938;2902;3005;2645;2275;2639;2627;2871;3355;3759;4230;4468;5085;5572;6000;6398;6919;7551;8209;8490;8272;8002;7759;7745;6838;6121;5303;4194;3027;2511;1377;932;692;551;472;342;217;143;83;52;23;12;9;2;2;
0200000;"DOLNOŚLĄSKIE";31540;100;7;6;5;5;3;2;3;5;2;2;3;2;4;1;8;10;2;11;12;21;20;27;23;23;32;26;22;41;40;33;34;46;35;56;42;63;74;68;72;64;87;76;89;96;100;90;137;135;149;169;227;195;258;295;355;389;455;507;579;562;660;670;717;777;693;757;750;694;539;430;464;443;511;598;656;691;714;819;868;899;902;969;936;1028;1070;1023;977;907;892;782;720;582;436;325;249;115;77;45;38;36;25;19;13;9;6;3;1;0;0;0;16120;53;4;1;2;4;1;1;1;4;1;1;1;2;4;0;6;6;1;6;9;18;17;21;21;19;24;24;17;31;33;29;24;35;29;44;32;41;51;50;54;49;61;55;66;71;74;69;96;96;108;119;159;131;186;201;246;274;300;331;396;380;450;471;485;526;465;489;511;456;337;269;297;253;294;331;354;345;365;394;396;398;386;404;355;412;365;362;319;266;244;210;205;154;99;101;75;35;20;11;6;7;3;2;1;1;1;0;0;0;0;0;15420;47;3;5;3;1;2;1;2;1;1;1;2;0;0;1;2;4;1;5;3;3;3;6;2;4;8;2;5;10;7;4;10;11;6;12;10;22;23;18;18;15;26;21;23;25;26;21;41;39;41;50;68;64;72;94;109;115;155;176;183;182;210;199;232;251;228;268;239;238;202;161;167;190;217;267;302;346;349;425;472;501;516;565;581;616;705;661;658;641;648;572;515;428;337;224;174;80;57;34;32;29;22;17;12;8;5;3;1;0;0;0;
0400000;"KUJAWSKO-POMORSKIE";20523;78;2;5;2;1;4;2;4;0;0;1;5;2;3;3;2;9;6;17;22;15;19;15;10;12;14;27;25;22;30;23;26;23;29;32;40;34;45;46;36;47;53;70;58;65;76;69;83;91;99;126;110;125;176;221;246;271;334;300;352;380;402;396;460;459;479;500;465;473;417;298;318;339;406;428;440;475;490;540;579;531;624;602;648;668;599;616;581;510;500;439;416;376;283;211;166;88;83;45;27;31;27;22;11;3;4;3;2;0;0;0;10667;52;2;4;0;0;4;1;3;0;0;1;2;1;2;2;0;7;5;14;12;13;16;11;10;8;11;25;21;17;24;22;21;17;27;29;31;31;35;35;25;36;42;52;42;49;52;53;61;57;68;81;76;77;125;158;178;184;233;212;239;260;278;266;276;283;295;310;312;305;272;200;176;205;239;248;239;241;279;282;272;240;294;262;282;276;219;227;201;158;151;100;109;90;63;47;37;20;12;5;4;2;6;5;2;0;1;0;0;0;0;0;9856;26;0;1;2;1;0;1;1;0;0;0;3;1;1;1;2;2;1;3;10;2;3;4;0;4;3;2;4;5;6;1;5;6;2;3;9;3;10;11;11;11;11;18;16;16;24;16;22;34;31;45;34;48;51;63;68;87;101;88;113;120;124;130;184;176;184;190;153;168;145;98;142;134;167;180;201;234;211;258;307;291;330;340;366;392;380;389;380;352;349;339;307;286;220;164;129;68;71;40;23;29;21;17;9;3;3;3;2;0;0;0;
0600000;"LUBELSKIE";22816;74;7;3;3;3;2;0;3;2;3;3;1;2;1;5;4;9;8;12;16;10;21;12;17;23;23;18;24;25;21;21;34;29;32;29;36;41;39;55;61;52;65;67;65;79;70;84;110;106;100;108;120;130;171;164;230;239;281;266;329;375;370;376;441;421;410;440;431;418;360;376;386;346;391;423;471;506;513;568;637;654;702;740;808;850;843;853;810;760;702;610;512;457;362;261;246;139;75;69;37;29;28;18;10;8;1;1;3;1;0;0;11908;46;6;1;2;1;1;0;0;2;2;2;0;2;0;2;3;5;8;12;14;10;17;8;13;18;20;16;22;20;17;14;28;27;29;23;26;31;29;49;47;40;54;53;51;67;55;76;89;81;74;82;85;101;128;127;176;169;208;199;243;272;262;273;300;293;291;310;284;260;221;247;227;216;239;260;278;273;283;301;329;325;335;333;336;333;324;285;284;250;216;200;115;108;83;68;67;31;18;16;8;9;8;1;2;2;0;0;0;1;0;0;10908;28;1;2;1;2;1;0;3;0;1;1;1;0;1;3;1;4;0;0;2;0;4;4;4;5;3;2;2;5;4;7;6;2;3;6;10;10;10;6;14;12;11;14;14;12;15;8;21;25;26;26;35;29;43;37;54;70;73;67;86;103;108;103;141;128;119;130;147;158;139;129;159;130;152;163;193;233;230;267;308;329;367;407;472;517;519;568;526;510;486;410;397;349;279;193;179;108;57;53;29;20;20;17;8;6;1;1;3;0;0;0;
0800000;"LUBUSKIE";10156;39;0;3;1;0;2;1;1;0;2;1;1;0;4;1;3;1;5;4;4;9;12;10;16;9;15;7;12;17;18;13;12;13;18;19;22;21;26;26;29;27;28;29;38;28;35;26;43;46;56;66;65;75;85;118;133;161;158;167;193;196;210;230;220;268;229;255;262;265;222;151;157;136;155;194;214;230;213;244;258;257;268;290;321;313;333;326;272;247;243;219;185;171;141;91;71;26;26;21;10;11;15;4;6;4;1;0;0;0;0;1;5399;23;0;2;0;0;1;1;0;0;1;1;1;0;2;0;3;1;3;4;4;6;9;9;12;7;12;6;11;15;17;6;9;12;11;17;14;20;18;20;21;17;19;23;30;20;28;17;29;31;42;47;50;53;62;73;90;113;106;121;132;145;144;160;146;172;140;180;174;171;143;91;94;80;88;117;120;119;103;123;132;116;120;109;135;134;131;127;90;74;60;57;46;37;36;34;17;10;5;6;2;2;5;1;1;0;0;0;0;0;0;0;4757;16;0;1;1;0;1;0;1;0;1;0;0;0;2;1;0;0;2;0;0;3;3;1;4;2;3;1;1;2;1;7;3;1;7;2;8;1;8;6;8;10;9;6;8;8;7;9;14;15;14;19;15;22;23;45;43;48;52;46;61;51;66;70;74;96;89;75;88;94;79;60;63;56;67;77;94;111;110;121;126;141;148;181;186;179;202;199;182;173;183;162;139;134;105;57;54;16;21;15;8;9;10;3;5;4;1;0;0;0;0;1;
1000000;"ŁÓDZKIE";31125;106;6;3;5;1;3;2;4;4;2;2;2;3;5;4;8;9;11;13;18;17;26;12;29;28;31;27;29;33;47;41;51;48;54;59;75;63;70;67;79;84;108;102;97;111;111;122;149;167;170;206;187;223;264;274;342;337;413;468;500;510;576;589;643;656;638;690;706;742;597;474;521;504;523;584;618;680;692;723;812;855;911;969;1012;1017;1094;1010;969;893;925;763;670;550;423;318;268;139;95;67;59;46;24;13;12;4;7;1;1;0;0;0;15807;60;5;1;4;1;2;1;3;0;0;1;2;3;2;2;7;7;8;9;15;13;23;9;24;25;27;25;24;30;37;32;43;37;43;46;55;47;60;47;65;58;90;72;76;89;77;89;109;123;123;148;142;176;189;195;242;250;299;318;335;333;398;379;423;440;404;433;448;468;366;289;313;276;287;325;330;361;361;363;387;402;390;401;399;356;377;336;290;271;262;221;188;127;110;84;62;34;23;16;9;9;4;0;4;1;1;0;1;0;0;0;15318;46;1;2;1;0;1;1;1;4;2;1;0;0;3;2;1;2;3;4;3;4;3;3;5;3;4;2;5;3;10;9;8;11;11;13;20;16;10;20;14;26;18;30;21;22;34;33;40;44;47;58;45;47;75;79;100;87;114;150;165;177;178;210;220;216;234;257;258;274;231;185;208;228;236;259;288;319;331;360;425;453;521;568;613;661;717;674;679;622;663;542;482;423;313;234;206;105;72;51;50;37;20;13;8;3;6;1;0;0;0;0;
1200000;"MAŁOPOLSKIE";31384;96;7;5;2;1;7;4;1;3;4;2;4;5;1;5;6;5;9;13;15;18;24;24;16;23;22;22;20;34;26;27;32;38;39;38;23;48;52;49;57;52;85;80;89;81;100;118;122;136;155;189;186;221;202;278;298;341;342;384;398;438;486;514;555;568;593;577;575;605;559;550;550;514;502;651;693;731;758;832;965;1017;992;1087;1129;1246;1188;1063;1038;956;925;826;701;618;496;346;318;152;111;79;44;51;41;24;16;10;6;1;1;1;1;0;16047;51;3;3;0;0;4;1;1;2;3;2;2;4;0;2;4;5;6;11;11;15;21;18;16;18;20;20;17;26;21;19;28;29;30;28;19;37;39;36;41;39;64;63;67;62;75;84;93;99;118;144;128;156;148;212;206;237;253;272;287;311;338;351;360;370;399;366;388;381;328;346;346;290;304;375;398;396;414;423;501;512;476;494;475;493;470;382;348;320;269;220;194;166;133;79;94;37;24;18;6;7;9;4;5;2;2;1;1;1;0;0;15337;45;4;2;2;1;3;3;0;1;1;0;2;1;1;3;2;0;3;2;4;3;3;6;0;5;2;2;3;8;5;8;4;9;9;10;4;11;13;13;16;13;21;17;22;19;25;34;29;37;37;45;58;65;54;66;92;104;89;112;111;127;148;163;195;198;194;211;187;224;231;204;204;224;198;276;295;335;344;409;464;505;516;593;654;753;718;681;690;636;656;606;507;452;363;267;224;115;87;61;38;44;32;20;11;8;4;0;0;0;1;0;
1400000;"MAZOWIECKIE";55030;221;17;4;5;7;3;2;3;6;8;6;6;3;9;11;13;11;17;22;32;31;29;34;37;48;45;51;46;50;52;70;78;86;98;94;103;110;114;140;139;141;123;149;135;189;162;203;221;233;246;298;308;380;415;415;523;625;659;771;857;972;957;994;1047;1028;1128;1061;1078;1086;931;845;934;880;853;974;1063;1176;1269;1420;1455;1567;1607;1688;1826;2066;1965;1970;1848;1818;1687;1448;1282;1071;885;648;522;306;203;167;119;101;69;48;23;21;6;2;2;0;0;0;28062;129;10;2;3;3;1;1;1;2;2;3;6;1;8;4;9;9;13;19;24;24;23;30;28;39;38;45;37;40;39;59;67;74;71;73;88;90;88;115;109;100;88;116;100;141;128;155;163;177;185;235;226;281;294;301;373;434;479;524;591;640;642;669;692;678;726;692;670;679;577;520;551;519;494;538;594;620;634;702;717;701;730;735;752;860;775;749;653;594;517;452;377;326;245;174;132;67;40;45;16;17;18;7;4;3;1;0;0;0;0;0;26968;92;7;2;2;4;2;1;2;4;6;3;0;2;1;7;4;2;4;3;8;7;6;4;9;9;7;6;9;10;13;11;11;12;27;21;15;20;26;25;30;41;35;33;35;48;34;48;58;56;61;63;82;99;121;114;150;191;180;247;266;332;315;325;355;350;402;369;408;407;354;325;383;361;359;436;469;556;635;718;738;866;877;953;1074;1206;1190;1221;1195;1224;1170;996;905;745;640;474;390;239;163;122;103;84;51;41;19;18;5;2;2;0;0;0;
1600000;"OPOLSKIE";10468;34;4;2;1;1;1;0;0;0;3;1;1;1;1;3;2;4;7;6;5;6;5;9;8;10;10;9;6;13;3;16;13;11;17;19;7;23;18;24;17;20;27;20;31;28;32;43;32;44;43;48;72;72;75;93;98;122;141;160;160;185;164;189;207;202;225;237;231;214;158;132;173;174;211;281;307;285;301;343;335;331;337;343;357;346;316;316;307;275;276;244;183;147;131;100;85;46;31;17;10;15;5;3;4;2;4;1;0;0;0;0;5428;21;2;2;1;0;1;0;0;0;2;1;0;1;0;1;0;3;5;4;4;4;4;6;4;8;9;6;5;10;3;12;10;8;13;18;6;15;17;16;9;12;17;15;26;16;20;32;20;31;29;37;48;52;56;71;61;92;106;114;118;130;105;139;137;125;150;167;155;139;107;81;100;105;117;173;176;154;158;187;166;154;163;147;155;141;120;101;98;78;62;61;52;36;28;20;12;10;5;5;1;3;0;0;0;0;1;0;0;0;0;0;5040;13;2;0;0;1;0;0;0;0;1;0;1;0;1;2;2;1;2;2;1;2;1;3;4;2;1;3;1;3;0;4;3;3;4;1;1;8;1;8;8;8;10;5;5;12;12;11;12;13;14;11;24;20;19;22;37;30;35;46;42;55;59;50;70;77;75;70;76;75;51;51;73;69;94;108;131;131;143;156;169;177;174;196;202;205;196;215;209;197;214;183;131;111;103;80;73;36;26;12;9;12;5;3;4;2;3;1;0;0;0;0;
1800000;"PODKARPACKIE";19419;80;4;5;4;2;0;0;1;2;4;1;1;2;3;5;6;7;7;11;18;13;13;21;16;14;15;18;17;16;22;18;28;22;24;25;33;42;34;45;30;36;45;47;61;57;60;63;76;99;94;102;126;142;140;195;180;204;267;245;240;246;270;292;323;322;312;351;347;349;305;290;319;264;333;369;458;474;511;518;538;662;638;676;737;769;717;714;633;591;590;511;442;432;297;226;190;114;44;36;32;26;14;9;9;9;1;1;0;0;0;0;10042;46;1;4;3;0;0;0;0;2;1;1;1;0;1;4;4;5;3;8;13;10;12;15;12;13;9;15;13;14;20;12;21;17;18;16;24;37;23;37;21;29;37;36;43;39;48;52;58;80;69;72;97;104;103;143;131;150;194;170;182;170;197;198;236;219;211;241;239;230;215;194;196;153;218;233;272;275;280;265;274;312;288;287;278;303;270;303;239;181;182;140;111;101;78;63;42;22;11;8;4;5;1;0;2;2;0;0;0;0;0;0;9377;34;3;1;1;2;0;0;1;0;3;0;0;2;2;1;2;2;4;3;5;3;1;6;4;1;6;3;4;2;2;6;7;5;6;9;9;5;11;8;9;7;8;11;18;18;12;11;18;19;25;30;29;38;37;52;49;54;73;75;58;76;73;94;87;103;101;110;108;119;90;96;123;111;115;136;186;199;231;253;264;350;350;389;459;466;447;411;394;410;408;371;331;331;219;163;148;92;33;28;28;21;13;9;7;7;1;1;0;0;0;0;
