"Kod";"Nazwa";"ogółem;ogółem;2017;[-]";"ogółem;0;2017;[-]";"ogółem;1;2017;[-]";"ogółem;2;2017;[-]";"ogółem;3;2017;[-]";"ogółem;4;2017;[-]";"ogółem;5;2017;[-]";"ogółem;6;2017;[-]";"ogółem;7;2017;[-]";"ogółem;8;2017;[-]";"ogółem;9;2017;[-]";"ogółem;10;2017;[-]";"ogółem;11;2017;[-]";"ogółem;12;2017;[-]";"ogółem;13;2017;[-]";"ogółem;14;2017;[-]";"ogółem;15;2017;[-]";"ogółem;16;2017;[-]";"ogółem;17;2017;[-]";"ogółem;18;2017;[-]";"ogółem;19;2017;[-]";"ogółem;20;2017;[-]";"ogółem;21;2017;[-]";"ogółem;22;2017;[-]";"ogółem;23;2017;[-]";"ogółem;24;2017;[-]";"ogółem;25;2017;[-]";"ogółem;26;2017;[-]";"ogółem;27;2017;[-]";"ogółem;28;2017;[-]";"ogółem;29;2017;[-]";"ogółem;30;2017;[-]";"ogółem;31;2017;[-]";"ogółem;32;2017;[-]";"ogółem;33;2017;[-]";"ogółem;34;2017;[-]";"ogółem;35;2017;[-]";"ogółem;36;2017;[-]";"ogółem;37;2017;[-]";"ogółem;38;2017;[-]";"ogółem;39;2017;[-]";"ogółem;40;2017;[-]";"ogółem;41;2017;[-]";"ogółem;42;2017;[-]";"ogółem;43;2017;[-]";"ogółem;44;2017;[-]";"ogółem;45;2017;[-]";"ogółem;46;2017;[-]";"ogółem;47;2017;[-]";"ogółem;48;2017;[-]";"ogółem;49;2017;[-]";"ogółem;50;2017;[-]";"ogółem;51;2017;[-]";"ogółem;52;2017;[-]";"ogółem;53;2017;[-]";"ogółem;54;2017;[-]";"ogółem;55;2017;[-]";"ogółem;56;2017;[-]";"ogółem;57;2017;[-]";"ogółem;58;2017;[-]";"ogółem;59;2017;[-]";"ogółem;60;2017;[-]";"ogółem;61;2017;[-]";"ogółem;62;2017;[-]";"ogółem;63;2017;[-]";"ogółem;64;2017;[-]";"ogółem;65;2017;[-]";"ogółem;66;2017;[-]";"ogółem;67;2017;[-]";"ogółem;68;2017;[-]";"ogółem;69;2017;[-]";"ogółem;70;2017;[-]";"ogółem;71;2017;[-]";"ogółem;72;2017;[-]";"ogółem;73;2017;[-]";"ogółem;74;2017;[-]";"ogółem;75;2017;[-]";"ogółem;76;2017;[-]";"ogółem;77;2017;[-]";"ogółem;78;2017;[-]";"ogółem;79;2017;[-]";"ogółem;80;2017;[-]";"ogółem;81;2017;[-]";"ogółem;82;2017;[-]";"ogółem;83;2017;[-]";"ogółem;84;2017;[-]";"ogółem;85;2017;[-]";"ogółem;86;2017;[-]";"ogółem;87;2017;[-]";"ogółem;88;2017;[-]";"ogółem;89;2017;[-]";"ogółem;90;2017;[-]";"ogółem;91;2017;[-]";"ogółem;92;2017;[-]";"ogółem;93;2017;[-]";"ogółem;94;2017;[-]";"ogółem;95;2017;[-]";"ogółem;96;2017;[-]";"ogółem;97;2017;[-]";"ogółem;98;2017;[-]";"ogółem;99;2017;[-]";"ogółem;100;2017;[-]";"ogółem;101;2017;[-]";"ogółem;102;2017;[-]";"ogółem;103;2017;[-]";"ogółem;104;2017;[-]";"ogółem;105;2017;[-]";"ogółem;106;2017;[-]";"ogółem;107;2017;[-]";"ogółem;108;2017;[-]";"ogółem;109;2017;[-]";"ogółem;110 i więcej;2017;[-]";"mężczyźni;ogółem;2017;[-]";"mężczyźni;0;2017;[-]";"mężczyźni;1;2017;[-]";"mężczyźni;2;2017;[-]";"mężczyźni;3;2017;[-]";"mężczyźni;4;2017;[-]";"mężczyźni;5;2017;[-]";"mężczyźni;6;2017;[-]";"mężczyźni;7;2017;[-]";"mężczyźni;8;2017;[-]";"mężczyźni;9;2017;[-]";"mężczyźni;10;2017;[-]";"mężczyźni;11;2017;[-]";"mężczyźni;12;2017;[-]";"mężczyźni;13;2017;[-]";"mężczyźni;14;2017;[-]";"mężczyźni;15;2017;[-]";"mężczyźni;16;2017;[-]";"mężczyźni;17;2017;[-]";"mężczyźni;18;2017;[-]";"mężczyźni;19;2017;[-]";"mężczyźni;20;2017;[-]";"mężczyźni;21;2017;[-]";"mężczyźni;22;2017;[-]";"mężczyźni;23;2017;[-]";"mężczyźni;24;2017;[-]";"mężczyźni;25;2017;[-]";"mężczyźni;26;2017;[-]";"mężczyźni;27;2017;[-]";"mężczyźni;28;2017;[-]";"mężczyźni;29;2017;[-]";"mężczyźni;30;2017;[-]";"mężczyźni;31;2017;[-]";"mężczyźni;32;2017;[-]";"mężczyźni;33;2017;[-]";"mężczyźni;34;2017;[-]";"mężczyźni;35;2017;[-]";"mężczyźni;36;2017;[-]";"mężczyźni;37;2017;[-]";"mężczyźni;38;2017;[-]";"mężczyźni;39;2017;[-]";"mężczyźni;40;2017;[-]";"mężczyźni;41;2017;[-]";"mężczyźni;42;2017;[-]";"mężczyźni;43;2017;[-]";"mężczyźni;44;2017;[-]";"mężczyźni;45;2017;[-]";"mężczyźni;46;2017;[-]";"mężczyźni;47;2017;[-]";"mężczyźni;48;2017;[-]";"mężczyźni;49;2017;[-]";"mężczyźni;50;2017;[-]";"mężczyźni;51;2017;[-]";"mężczyźni;52;2017;[-]";"mężczyźni;53;2017;[-]";"mężczyźni;54;2017;[-]";"mężczyźni;55;2017;[-]";"mężczyźni;56;2017;[-]";"mężczyźni;57;2017;[-]";"mężczyźni;58;2017;[-]";"mężczyźni;59;2017;[-]";"mężczyźni;60;2017;[-]";"mężczyźni;61;2017;[-]";"mężczyźni;62;2017;[-]";"mężczyźni;63;2017;[-]";"mężczyźni;64;2017;[-]";"mężczyźni;65;2017;[-]";"mężczyźni;66;2017;[-]";"mężczyźni;67;2017;[-]";"mężczyźni;68;2017;[-]";"mężczyźni;69;2017;[-]";"mężczyźni;70;2017;[-]";"mężczyźni;71;2017;[-]";"mężczyźni;72;2017;[-]";"mężczyźni;73;2017;[-]";"mężczyźni;74;2017;[-]";"mężczyźni;75;2017;[-]";"mężczyźni;76;2017;[-]";"mężczyźni;77;2017;[-]";"mężczyźni;78;2017;[-]";"mężczyźni;79;2017;[-]";"mężczyźni;80;2017;[-]";"mężczyźni;81;2017;[-]";"mężczyźni;82;2017;[-]";"mężczyźni;83;2017;[-]";"mężczyźni;84;2017;[-]";"mężczyźni;85;2017;[-]";"mężczyźni;86;2017;[-]";"mężczyźni;87;2017;[-]";"mężczyźni;88;2017;[-]";"mężczyźni;89;2017;[-]";"mężczyźni;90;2017;[-]";"mężczyźni;91;2017;[-]";"mężczyźni;92;2017;[-]";"mężczyźni;93;2017;[-]";"mężczyźni;94;2017;[-]";"mężczyźni;95;2017;[-]";"mężczyźni;96;2017;[-]";"mężczyźni;97;2017;[-]";"mężczyźni;98;2017;[-]";"mężczyźni;99;2017;[-]";"mężczyźni;100;2017;[-]";"mężczyźni;101;2017;[-]";"mężczyźni;102;2017;[-]";"mężczyźni;103;2017;[-]";"mężczyźni;104;2017;[-]";"mężczyźni;105;2017;[-]";"mężczyźni;106;2017;[-]";"mężczyźni;107;2017;[-]";"mężczyźni;108;2017;[-]";"mężczyźni;109;2017;[-]";"mężczyźni;110 i więcej;2017;[-]";"kobiety;ogółem;2017;[-]";"kobiety;0;2017;[-]";"kobiety;1;2017;[-]";"kobiety;2;2017;[-]";"kobiety;3;2017;[-]";"kobiety;4;2017;[-]";"kobiety;5;2017;[-]";"kobiety;6;2017;[-]";"kobiety;7;2017;[-]";"kobiety;8;2017;[-]";"kobiety;9;2017;[-]";"kobiety;10;2017;[-]";"kobiety;11;2017;[-]";"kobiety;12;2017;[-]";"kobiety;13;2017;[-]";"kobiety;14;2017;[-]";"kobiety;15;2017;[-]";"kobiety;16;2017;[-]";"kobiety;17;2017;[-]";"kobiety;18;2017;[-]";"kobiety;19;2017;[-]";"kobiety;20;2017;[-]";"kobiety;21;2017;[-]";"kobiety;22;2017;[-]";"kobiety;23;2017;[-]";"kobiety;24;2017;[-]";"kobiety;25;2017;[-]";"kobiety;26;2017;[-]";"kobiety;27;2017;[-]";"kobiety;28;2017;[-]";"kobiety;29;2017;[-]";"kobiety;30;2017;[-]";"kobiety;31;2017;[-]";"kobiety;32;2017;[-]";"kobiety;33;2017;[-]";"kobiety;34;2017;[-]";"kobiety;35;2017;[-]";"kobiety;36;2017;[-]";"kobiety;37;2017;[-]";"kobiety;38;2017;[-]";"kobiety;39;2017;[-]";"kobiety;40;2017;[-]";"kobiety;41;2017;[-]";"kobiety;42;2017;[-]";"kobiety;43;2017;[-]";"kobiety;44;2017;[-]";"kobiety;45;2017;[-]";"kobiety;46;2017;[-]";"kobiety;47;2017;[-]";"kobiety;48;2017;[-]";"kobiety;49;2017;[-]";"kobiety;50;2017;[-]";"kobiety;51;2017;[-]";"kobiety;52;2017;[-]";"kobiety;53;2017;[-]";"kobiety;54;2017;[-]";"kobiety;55;2017;[-]";"kobiety;56;2017;[-]";"kobiety;57;2017;[-]";"kobiety;58;2017;[-]";"kobiety;59;2017;[-]";"kobiety;60;2017;[-]";"kobiety;61;2017;[-]";"kobiety;62;2017;[-]";"kobiety;63;2017;[-]";"kobiety;64;2017;[-]";"kobiety;65;2017;[-]";"kobiety;66;2017;[-]";"kobiety;67;2017;[-]";"kobiety;68;2017;[-]";"kobiety;69;2017;[-]";"kobiety;70;2017;[-]";"kobiety;71;2017;[-]";"kobiety;72;2017;[-]";"kobiety;73;2017;[-]";"kobiety;74;2017;[-]";"kobiety;75;2017;[-]";"kobiety;76;2017;[-]";"kobiety;77;2017;[-]";"kobiety;78;2017;[-]";"kobiety;79;2017;[-]";"kobiety;80;2017;[-]";"kobiety;81;2017;[-]";"kobiety;82;2017;[-]";"kobiety;83;2017;[-]";"kobiety;84;2017;[-]";"kobiety;85;2017;[-]";"kobiety;86;2017;[-]";"kobiety;87;2017;[-]";"kobiety;88;2017;[-]";"kobiety;89;2017;[-]";"kobiety;90;2017;[-]";"kobiety;91;2017;[-]";"kobiety;92;2017;[-]";"kobiety;93;2017;[-]";"kobiety;94;2017;[-]";"kobiety;95;2017;[-]";"kobiety;96;2017;[-]";"kobiety;97;2017;[-]";"kobiety;98;2017;[-]";"kobiety;99;2017;[-]";"kobiety;100;2017;[-]";"kobiety;101;2017;[-]";"kobiety;102;2017;[-]";"kobiety;103;2017;[-]";"kobiety;104;2017;[-]";"kobiety;105;2017;[-]";"kobiety;106;2017;[-]";"kobiety;107;2017;[-]";"kobiety;108;2017;[-]";"kobiety;109;2017;[-]";"kobiety;110 i więcej;2017;[-]";
0000000;"POLSKA";402852;1604;103;53;43;42;38;38;31;37;34;35;33;38;44;59;67;94;106;172;222;212;233;257;259;290;329;317;379;381;430;433;515;596;598;705;696;751;797;833;942;984;1087;1140;1240;1344;1434;1513;1615;1710;1901;2062;2301;2560;2716;3190;3574;4077;4811;5405;6030;6497;7015;7425;7822;7968;8662;8881;9045;9199;9111;8943;7697;6652;7081;6891;7667;8248;9277;9828;10532;10975;11830;12023;12308;12846;13365;13769;13520;12368;11142;10045;9335;7799;6624;5343;3827;2573;1993;1059;635;488;317;273;169;108;69;31;26;7;3;1;207671;908;59;29;25;27;15;22;18;22;20;22;17;21;27;29;40;61;71;121;168;163;180;208;205;233;270;256;308;302;344;335;407;476;465;564;547;558;623;622;698;734;845;823;925;975;1073;1128;1176;1237;1357;1501;1675;1876;1951;2279;2574;2895;3355;3759;4202;4502;4865;5027;5237;5340;5671;5764;5823;5772;5748;5478;4660;3944;4081;3823;4318;4530;4932;5039;5236;5288;5441;5346;5245;5241;5148;5017;4833;4171;3544;2827;2521;1930;1667;1319;867;596;451;216;121;96;56;47;35;16;5;3;6;1;1;0;195181;696;44;24;18;15;23;16;13;15;14;13;16;17;17;30;27;33;35;51;54;49;53;49;54;57;59;61;71;79;86;98;108;120;133;141;149;193;174;211;244;250;242;317;315;369;361;385;439;473;544;561;626;684;765;911;1000;1182;1456;1646;1828;1995;2150;2398;2585;2628;2991;3117;3222;3427;3363;3465;3037;2708;3000;3068;3349;3718;4345;4789;5296;5687;6389;6677;7063;7605;8217;8752;8687;8197;7598;7218;6814;5869;4957;4024;2960;1977;1542;843;514;392;261;226;134;92;64;28;20;6;2;1;
0200000;"DOLNOŚLĄSKIE";32038;121;10;4;3;6;3;4;1;5;4;2;0;4;4;7;8;5;10;10;13;18;11;19;25;22;22;21;24;29;29;20;40;45;60;51;59;62;60;84;72;82;77;84;93;124;120;115;132;130;155;152;167;197;215;248;295;313;455;488;536;566;624;621;673;712;810;810;798;814;768;750;645;494;490;508;560;633;652;729;755;913;872;877;919;997;1038;991;1031;971;858;835;751;664;534;403;292;172;124;72;52;33;15;15;6;12;2;0;1;0;1;0;16280;68;5;3;0;5;2;2;0;3;3;1;0;3;0;4;2;2;6;7;10;14;7;15;19;18;16;17;18;23;24;15;28;32;44;40;48;46;45;66;50;58;62;58;62;89;88;84;82;91;114;116;112;161;154;178;208;216;314;324;380;379;416;429;444;472;520;522;529;509;471;444;392;297;285;288;319;342;325;361;371;406;393;361;363;369;398;340;314;320;251;222;193;152;139;101;70;49;25;14;10;3;1;6;2;1;0;0;0;0;0;0;15758;53;5;1;3;1;1;2;1;2;1;1;0;1;4;3;6;3;4;3;3;4;4;4;6;4;6;4;6;6;5;5;12;13;16;11;11;16;15;18;22;24;15;26;31;35;32;31;50;39;41;36;55;36;61;70;87;97;141;164;156;187;208;192;229;240;290;288;269;305;297;306;253;197;205;220;241;291;327;368;384;507;479;516;556;628;640;651;717;651;607;613;558;512;395;302;222;123;99;58;42;30;14;9;4;11;2;0;1;0;1;0;
0400000;"KUJAWSKO-POMORSKIE";21252;107;6;2;6;2;0;3;2;4;1;0;2;1;1;2;3;5;4;10;13;7;9;20;20;14;24;20;21;26;16;20;23;37;34;39;41;33;57;30;42;58;68;55;60;63;81;89;87;93;98;121;148;145;145;178;179;203;234;305;326;351;401;436;426;422;473;524;523;545;509;525;450;323;357;362;450;425;488;563;541;539;603;619;688;681;634;697;710;590;507;482;459;362;308;234;182;148;100;56;38;26;23;7;11;5;2;2;1;1;0;0;10863;55;4;0;3;2;0;1;0;3;1;0;0;0;1;0;3;4;3;7;6;4;8;16;18;10;21;17;17;24;13;16;19;31;20;32;33;21;39;17;28;43;51;39;50;42;57;67;57;65;64;85;99;102;93;121;117;144;159;214;213;236;280;279;274;270;299;330;331;345;328;322;253;177;189;198;254;216;250;310;271;277;286;272;287;295;241;255;236;184;151;151;105;88;68;54;39;33;21;10;8;5;1;1;4;0;0;0;0;0;0;0;10389;52;2;2;3;0;0;2;2;1;0;0;2;1;0;2;0;1;1;3;7;3;1;4;2;4;3;3;4;2;3;4;4;6;14;7;8;12;18;13;14;15;17;16;10;21;24;22;30;28;34;36;49;43;52;57;62;59;75;91;113;115;121;157;152;152;174;194;192;200;181;203;197;146;168;164;196;209;238;253;270;262;317;347;401;386;393;442;474;406;356;331;354;274;240;180;143;115;79;46;30;21;22;6;7;5;2;2;1;1;0;0;
0600000;"LUBELSKIE";23427;97;8;1;3;1;5;1;3;1;5;1;0;1;6;3;6;5;12;7;11;12;19;16;21;26;21;11;23;16;27;30;24;38;29;30;33;48;42;51;55;64;59;59;66;74;79;80;98;91;121;112;142;141;153;162;203;234;282;301;279;350;352;361;367;421;451;466;484;447;469;464;429;396;403;367;437;452;506;548;587;645;723;688;731;792;812;878;883;877;762;636;616;526;423;368;246;184;118;73;42;35;22;14;14;7;3;1;1;0;0;1;11963;53;5;1;3;1;1;1;3;1;1;1;0;1;3;2;1;3;8;4;10;11;12;13;18;23;16;8;17;14;22;23;18;29;27;20;27;41;33;38;48;53;43;41;46;57;63;62;78;74;93;89;107;118;113;121;150;182;211;223;198;264;264;247;262;296;300;305;330;289;292;299;268;237;235;202;258;246;265;288;285;307;328;301;305;315;304;307;338;296;241;179;159;125;91;84;53;42;30;14;7;6;8;4;3;1;0;0;0;0;0;0;11464;44;3;0;0;0;4;0;0;0;4;0;0;0;3;1;5;2;4;3;1;1;7;3;3;3;5;3;6;2;5;7;6;9;2;10;6;7;9;13;7;11;16;18;20;17;16;18;20;17;28;23;35;23;40;41;53;52;71;78;81;86;88;114;105;125;151;161;154;158;177;165;161;159;168;165;179;206;241;260;302;338;395;387;426;477;508;571;545;581;521;457;457;401;332;284;193;142;88;59;35;29;14;10;11;6;3;1;1;0;0;1;
0800000;"LUBUSKIE";10285;48;3;1;0;2;2;2;1;0;0;0;2;1;2;1;1;3;2;6;10;9;8;6;5;8;8;9;9;12;14;17;13;15;10;19;27;19;16;19;23;16;18;30;35;42;44;40;49;48;58;64;72;66;64;107;89;126;158;150;195;193;210;229;251;199;264;264;275;276;264;262;190;159;173;180;183;171;206;219;232;234;275;275;280;311;294;302;299;299;274;261;247;165;159;116;94;49;49;26;13;11;8;8;4;3;3;1;1;0;0;0;5329;29;1;0;0;1;1;0;1;0;0;0;2;0;1;0;0;1;1;5;6;7;6;5;4;6;6;9;8;8;10;15;11;12;8;17;20;16;16;14;16;13;15;23;24;31;35;28;35;36;42;43;53;45;42;73;63;98;111;99;138;127;147;162;166;135;175;174;191;171;164;173;109;91;98;105;109;91;109;108;118;108;117;101;111;122;102;105;103;103;69;47;55;38;44;26;16;12;7;0;4;1;2;1;1;0;0;0;1;0;0;0;4956;19;2;1;0;1;1;2;0;0;0;0;0;1;1;1;1;2;1;1;4;2;2;1;1;2;2;0;1;4;4;2;2;3;2;2;7;3;0;5;7;3;3;7;11;11;9;12;14;12;16;21;19;21;22;34;26;28;47;51;57;66;63;67;85;64;89;90;84;105;100;89;81;68;75;75;74;80;97;111;114;126;158;174;169;189;192;197;196;196;205;214;192;127;115;90;78;37;42;26;9;10;6;7;3;3;3;1;0;0;0;0;
1000000;"ŁÓDZKIE";31172;110;5;4;5;2;3;3;0;2;3;2;5;3;4;4;3;6;7;12;11;11;15;27;24;14;32;21;34;39;27;38;41;45;46;62;55;68;76;67;86;77;83;84;120;96;137;131;128;154;158;173;191;201;200;268;261;296;391;413;453;505;558;574;646;609;709;678;669;720;725;782;649;506;516;536;597;577;702;724;788;848;835;901;931;975;1055;1031;1039;989;841;763;751;597;543;441;271;183;138;74;48;31;25;26;18;4;3;2;0;2;0;0;15891;64;2;4;5;1;0;2;0;1;1;2;2;1;3;3;3;4;2;9;11;9;14;21;20;13;24;14;30;32;24;28;32;37;31;48;43;55;64;52;64;58;67;61;88;73;108;103;86;111;115;128;150;150;139;189;183;209;257;287;304;343;376;390;413;412;476;413;430;436;458;470;396;296;277;293;333;316;388;365;368;427;369;390;374;374;373;324;368;325;255;208;216;162;141;115;71;38;28;18;9;5;5;2;3;1;0;0;0;0;0;0;15281;46;3;0;0;1;3;1;0;1;2;0;3;2;1;1;0;2;5;3;0;2;1;6;4;1;8;7;4;7;3;10;9;8;15;14;12;13;12;15;22;19;16;23;32;23;29;28;42;43;43;45;41;51;61;79;78;87;134;126;149;162;182;184;233;197;233;265;239;284;267;312;253;210;239;243;264;261;314;359;420;421;466;511;557;601;682;707;671;664;586;555;535;435;402;326;200;145;110;56;39;26;20;24;15;3;3;2;0;2;0;0;
1200000;"MAŁOPOLSKIE";31852;142;13;5;5;5;6;3;8;4;4;2;2;5;4;10;2;10;10;16;16;13;21;14;18;21;20;23;23;19;29;42;37;45;33;57;50;53;54;51;53;53;82;88;81;94;89;117;117;119;153;145;178;202;209;254;271;313;327;361;426;469;457;539;517;525;601;647;603;607;626;655;576;595;591;562;558;598;755;780;900;923;1011;1060;1014;1149;1175;1232;1182;1046;961;835;780;670;535;478;329;233;169;101;46;44;28;21;19;13;7;1;0;2;0;0;16249;79;6;1;1;2;2;3;5;3;3;2;1;3;3;6;2;3;8;12;14;10;17;12;13;19;17;19;19;15;24;28;33;29;25;42;41;41;38;41;42;40;65;66;63;70;73;86;85;86;111;100;138;155;151;190;187;236;235;251;286;327;319;360;343;364;407;438;400;380;394;395;357;346;340;310;338;355;406;404;452;446;474;487;428;480;442;488;464;350;306;229;237;156;137;117;67;55;43;20;6;7;7;5;2;2;1;0;0;0;0;0;15603;63;7;4;4;3;4;0;3;1;1;0;1;2;1;4;0;7;2;4;2;3;4;2;5;2;3;4;4;4;5;14;4;16;8;15;9;12;16;10;11;13;17;22;18;24;16;31;32;33;42;45;40;47;58;64;84;77;92;110;140;142;138;179;174;161;194;209;203;227;232;260;219;249;251;252;220;243;349;376;448;477;537;573;586;669;733;744;718;696;655;606;543;514;398;361;262;178;126;81;40;37;21;16;17;11;6;1;0;2;0;0;
1400000;"MAZOWIECKIE";57237;212;12;7;6;5;4;6;1;7;3;2;7;2;8;11;23;14;15;25;34;40;27;36;32;39;42;54;58;58;54;72;74;85;100;85;88;109;114;119;131;145;170;187;180;194;201;203;218;245;232;273;291;344;330;407;482;525;635;697;738;848;984;971;1109;1141;1199;1133;1091;1170;1190;1227;979;977;968;917;901;1099;1203;1384;1467;1474;1705;1713;1844;1906;2007;2180;2123;1938;1728;1603;1491;1222;1065;847;614;419;346;163;127;87;46;48;29;14;10;5;5;1;1;0;29181;134;11;5;4;3;2;5;0;4;1;1;3;1;6;6;17;12;12;16;25;31;25;30;25;31;38;44;49;39;38;56;65;66;82;67;68;79;84;93;93;109;131;146;139;145;146;152;167;180;167;200;225;248;244;293;367;359;454;497;518;618;682;661;734;738;776;725;679;717;758;756;609;563;549;501;480;575;635;695;727;702;760;770;789;774;818;827;794;680;600;500;431;343;287;225;141;112;85;44;23;15;8;7;7;1;1;1;0;0;0;0;28056;78;1;2;2;2;2;1;1;3;2;1;4;1;2;5;6;2;3;9;9;9;2;6;7;8;4;10;9;19;16;16;9;19;18;18;20;30;30;26;38;36;39;41;41;49;55;51;51;65;65;73;66;96;86;114;115;166;181;200;220;230;302;310;375;403;423;408;412;453;432;471;370;414;419;416;421;524;568;689;740;772;945;943;1055;1132;1189;1353;1329;1258;1128;1103;1060;879;778;622;473;307;261;119;104;72;38;41;22;13;9;4;5;1;1;0;
1600000;"OPOLSKIE";10880;31;3;3;1;0;0;1;0;1;0;2;1;0;1;0;1;2;2;4;3;2;5;5;3;5;8;5;12;8;16;11;21;15;13;17;15;15;17;21;24;25;26;24;31;33;34;39;53;49;47;59;57;66;57;84;94;109;131;154;137;167;196;181;209;211;200;236;247;257;266;218;189;166;213;195;229;280;324;300;343;362;380;344;336;345;363;386;342;320;269;254;231;203;145;120;87;49;45;22;8;10;11;6;7;3;2;0;0;0;0;0;5552;12;2;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;2;3;2;4;5;3;4;8;5;9;6;13;10;19;15;9;14;13;10;15;17;22;23;25;18;23;21;24;28;43;35;31;43;44;54;38;62;67;80;98;105;88;106;129;115;142;138;137;165;158;158;167;139;110;106;129;98;121;166;183;144;158;163;180;161;159;129;136;123;105;96;74;70;54;43;34;23;22;10;9;3;2;4;1;1;1;0;0;0;0;0;0;0;5328;19;1;2;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;2;0;0;1;0;0;1;0;0;3;2;3;1;2;0;4;3;2;5;2;4;2;2;1;6;8;12;10;11;10;14;16;16;13;12;19;22;27;29;33;49;49;61;67;66;67;73;63;71;89;99;99;79;79;60;84;97;108;114;141;156;185;199;200;183;177;216;227;263;237;224;195;184;177;160;111;97;65;39;36;19;6;6;10;5;6;3;2;0;0;0;0;0;
1800000;"PODKARPACKIE";19327;72;6;5;0;3;1;1;3;5;1;2;2;2;0;6;4;2;4;7;16;9;13;17;12;17;10;14;20;19;25;15;22;24;15;25;34;33;26;40;42;50;48;60;59;51;65;62;80;80;75;87;114;113;139;167;159;182;225;214;285;256;285;289;314;324;353;347;377;352;378;384;366;317;351;303;326;411;506;460;552;573;576;663;659;642;672;760;690;683;613;508;479;400;355;320;215;132;95;63;21;21;16;19;4;4;3;1;0;0;0;0;10026;43;2;4;0;2;1;0;3;3;1;2;2;1;0;3;3;2;3;4;12;5;10;13;10;13;9;13;17;14;19;14;15;20;13;21;29;23;25;29;35;32;37;43;47;37;52;50;64;61;51;65;68;78;104;127;119;129;160;163;224;198;219;216;233;240;242;216;256;246;238;242;210;196;216;173;177;235;260;245;275;280;276;293;292;259;262;281;264;239;203;153;121;108;98;79;60;34;18;11;3;3;2;2;0;3;0;0;0;0;0;0;9301;29;4;1;0;1;0;1;0;2;0;0;0;1;0;3;1;0;1;3;4;4;3;4;2;4;1;1;3;5;6;1;7;4;2;4;5;10;1;11;7;18;11;17;12;14;13;12;16;19;24;22;46;35;35;40;40;53;65;51;61;58;66;73;81;84;111;131;121;106;140;142;156;121;135;130;149;176;246;215;277;293;300;370;367;383;410;479;426;444;410;355;358;292;257;241;155;98;77;52;18;18;14;17;4;1;3;1;0;0;0;0;
