"Kod";"Nazwa";"ogółem;ogółem;2016;[-]";"ogółem;0;2016;[-]";"ogółem;1;2016;[-]";"ogółem;2;2016;[-]";"ogółem;3;2016;[-]";"ogółem;4;2016;[-]";"ogółem;5;2016;[-]";"ogółem;6;2016;[-]";"ogółem;7;2016;[-]";"ogółem;8;2016;[-]";"ogółem;9;2016;[-]";"ogółem;10;2016;[-]";"ogółem;11;2016;[-]";"ogółem;12;2016;[-]";"ogółem;13;2016;[-]";"ogółem;14;2016;[-]";"ogółem;15;2016;[-]";"ogółem;16;2016;[-]";"ogółem;17;2016;[-]";"ogółem;18;2016;[-]";"ogółem;19;2016;[-]";"ogółem;20;2016;[-]";"ogółem;21;2016;[-]";"ogółem;22;2016;[-]";"ogółem;23;2016;[-]";"ogółem;24;2016;[-]";"ogółem;25;2016;[-]";"ogółem;26;2016;[-]";"ogółem;27;2016;[-]";"ogółem;28;2016;[-]";"ogółem;29;2016;[-]";"ogółem;30;2016;[-]";"ogółem;31;2016;[-]";"ogółem;32;2016;[-]";"ogółem;33;2016;[-]";"ogółem;34;2016;[-]";"ogółem;35;2016;[-]";"ogółem;36;2016;[-]";"ogółem;37;2016;[-]";"ogółem;38;2016;[-]";"ogółem;39;2016;[-]";"ogółem;40;2016;[-]";"ogółem;41;2016;[-]";"ogółem;42;2016;[-]";"ogółem;43;2016;[-]";"ogółem;44;2016;[-]";"ogółem;45;2016;[-]";"ogółem;46;2016;[-]";"ogółem;47;2016;[-]";"ogółem;48;2016;[-]";"ogółem;49;2016;[-]";"ogółem;50;2016;[-]";"ogółem;51;2016;[-]";"ogółem;52;2016;[-]";"ogółem;53;2016;[-]";"ogółem;54;2016;[-]";"ogółem;55;2016;[-]";"ogółem;56;2016;[-]";"ogółem;57;2016;[-]";"ogółem;58;2016;[-]";"ogółem;59;2016;[-]";"ogółem;60;2016;[-]";"ogółem;61;2016;[-]";"ogółem;62;2016;[-]";"ogółem;63;2016;[-]";"ogółem;64;2016;[-]";"ogółem;65;2016;[-]";"ogółem;66;2016;[-]";"ogółem;67;2016;[-]";"ogółem;68;2016;[-]";"ogółem;69;2016;[-]";"ogółem;70;2016;[-]";"ogółem;71;2016;[-]";"ogółem;72;2016;[-]";"ogółem;73;2016;[-]";"ogółem;74;2016;[-]";"ogółem;75;2016;[-]";"ogółem;76;2016;[-]";"ogółem;77;2016;[-]";"ogółem;78;2016;[-]";"ogółem;79;2016;[-]";"ogółem;80;2016;[-]";"ogółem;81;2016;[-]";"ogółem;82;2016;[-]";"ogółem;83;2016;[-]";"ogółem;84;2016;[-]";"ogółem;85;2016;[-]";"ogółem;86;2016;[-]";"ogółem;87;2016;[-]";"ogółem;88;2016;[-]";"ogółem;89;2016;[-]";"ogółem;90;2016;[-]";"ogółem;91;2016;[-]";"ogółem;92;2016;[-]";"ogółem;93;2016;[-]";"ogółem;94;2016;[-]";"ogółem;95;2016;[-]";"ogółem;96;2016;[-]";"ogółem;97;2016;[-]";"ogółem;98;2016;[-]";"ogółem;99;2016;[-]";"ogółem;100;2016;[-]";"ogółem;101;2016;[-]";"ogółem;102;2016;[-]";"ogółem;103;2016;[-]";"ogółem;104;2016;[-]";"ogółem;105;2016;[-]";"ogółem;106;2016;[-]";"ogółem;107;2016;[-]";"ogółem;108;2016;[-]";"ogółem;109;2016;[-]";"ogółem;110 i więcej;2016;[-]";"mężczyźni;ogółem;2016;[-]";"mężczyźni;0;2016;[-]";"mężczyźni;1;2016;[-]";"mężczyźni;2;2016;[-]";"mężczyźni;3;2016;[-]";"mężczyźni;4;2016;[-]";"mężczyźni;5;2016;[-]";"mężczyźni;6;2016;[-]";"mężczyźni;7;2016;[-]";"mężczyźni;8;2016;[-]";"mężczyźni;9;2016;[-]";"mężczyźni;10;2016;[-]";"mężczyźni;11;2016;[-]";"mężczyźni;12;2016;[-]";"mężczyźni;13;2016;[-]";"mężczyźni;14;2016;[-]";"mężczyźni;15;2016;[-]";"mężczyźni;16;2016;[-]";"mężczyźni;17;2016;[-]";"mężczyźni;18;2016;[-]";"mężczyźni;19;2016;[-]";"mężczyźni;20;2016;[-]";"mężczyźni;21;2016;[-]";"mężczyźni;22;2016;[-]";"mężczyźni;23;2016;[-]";"mężczyźni;24;2016;[-]";"mężczyźni;25;2016;[-]";"mężczyźni;26;2016;[-]";"mężczyźni;27;2016;[-]";"mężczyźni;28;2016;[-]";"mężczyźni;29;2016;[-]";"mężczyźni;30;2016;[-]";"mężczyźni;31;2016;[-]";"mężczyźni;32;2016;[-]";"mężczyźni;33;2016;[-]";"mężczyźni;34;2016;[-]";"mężczyźni;35;2016;[-]";"mężczyźni;36;2016;[-]";"mężczyźni;37;2016;[-]";"mężczyźni;38;2016;[-]";"mężczyźni;39;2016;[-]";"mężczyźni;40;2016;[-]";"mężczyźni;41;2016;[-]";"mężczyźni;42;2016;[-]";"mężczyźni;43;2016;[-]";"mężczyźni;44;2016;[-]";"mężczyźni;45;2016;[-]";"mężczyźni;46;2016;[-]";"mężczyźni;47;2016;[-]";"mężczyźni;48;2016;[-]";"mężczyźni;49;2016;[-]";"mężczyźni;50;2016;[-]";"mężczyźni;51;2016;[-]";"mężczyźni;52;2016;[-]";"mężczyźni;53;2016;[-]";"mężczyźni;54;2016;[-]";"mężczyźni;55;2016;[-]";"mężczyźni;56;2016;[-]";"mężczyźni;57;2016;[-]";"mężczyźni;58;2016;[-]";"mężczyźni;59;2016;[-]";"mężczyźni;60;2016;[-]";"mężczyźni;61;2016;[-]";"mężczyźni;62;2016;[-]";"mężczyźni;63;2016;[-]";"mężczyźni;64;2016;[-]";"mężczyźni;65;2016;[-]";"mężczyźni;66;2016;[-]";"mężczyźni;67;2016;[-]";"mężczyźni;68;2016;[-]";"mężczyźni;69;2016;[-]";"mężczyźni;70;2016;[-]";"mężczyźni;71;2016;[-]";"mężczyźni;72;2016;[-]";"mężczyźni;73;2016;[-]";"mężczyźni;74;2016;[-]";"mężczyźni;75;2016;[-]";"mężczyźni;76;2016;[-]";"mężczyźni;77;2016;[-]";"mężczyźni;78;2016;[-]";"mężczyźni;79;2016;[-]";"mężczyźni;80;2016;[-]";"mężczyźni;81;2016;[-]";"mężczyźni;82;2016;[-]";"mężczyźni;83;2016;[-]";"mężczyźni;84;2016;[-]";"mężczyźni;85;2016;[-]";"mężczyźni;86;2016;[-]";"mężczyźni;87;2016;[-]";"mężczyźni;88;2016;[-]";"mężczyźni;89;2016;[-]";"mężczyźni;90;2016;[-]";"mężczyźni;91;2016;[-]";"mężczyźni;92;2016;[-]";"mężczyźni;93;2016;[-]";"mężczyźni;94;2016;[-]";"mężczyźni;95;2016;[-]";"mężczyźni;96;2016;[-]";"mężczyźni;97;2016;[-]";"mężczyźni;98;2016;[-]";"mężczyźni;99;2016;[-]";"mężczyźni;100;2016;[-]";"mężczyźni;101;2016;[-]";"mężczyźni;102;2016;[-]";"mężczyźni;103;2016;[-]";"mężczyźni;104;2016;[-]";"mężczyźni;105;2016;[-]";"mężczyźni;106;2016;[-]";"mężczyźni;107;2016;[-]";"mężczyźni;108;2016;[-]";"mężczyźni;109;2016;[-]";"mężczyźni;110 i więcej;2016;[-]";"kobiety;ogółem;2016;[-]";"kobiety;0;2016;[-]";"kobiety;1;2016;[-]";"kobiety;2;2016;[-]";"kobiety;3;2016;[-]";"kobiety;4;2016;[-]";"kobiety;5;2016;[-]";"kobiety;6;2016;[-]";"kobiety;7;2016;[-]";"kobiety;8;2016;[-]";"kobiety;9;2016;[-]";"kobiety;10;2016;[-]";"kobiety;11;2016;[-]";"kobiety;12;2016;[-]";"kobiety;13;2016;[-]";"kobiety;14;2016;[-]";"kobiety;15;2016;[-]";"kobiety;16;2016;[-]";"kobiety;17;2016;[-]";"kobiety;18;2016;[-]";"kobiety;19;2016;[-]";"kobiety;20;2016;[-]";"kobiety;21;2016;[-]";"kobiety;22;2016;[-]";"kobiety;23;2016;[-]";"kobiety;24;2016;[-]";"kobiety;25;2016;[-]";"kobiety;26;2016;[-]";"kobiety;27;2016;[-]";"kobiety;28;2016;[-]";"kobiety;29;2016;[-]";"kobiety;30;2016;[-]";"kobiety;31;2016;[-]";"kobiety;32;2016;[-]";"kobiety;33;2016;[-]";"kobiety;34;2016;[-]";"kobiety;35;2016;[-]";"kobiety;36;2016;[-]";"kobiety;37;2016;[-]";"kobiety;38;2016;[-]";"kobiety;39;2016;[-]";"kobiety;40;2016;[-]";"kobiety;41;2016;[-]";"kobiety;42;2016;[-]";"kobiety;43;2016;[-]";"kobiety;44;2016;[-]";"kobiety;45;2016;[-]";"kobiety;46;2016;[-]";"kobiety;47;2016;[-]";"kobiety;48;2016;[-]";"kobiety;49;2016;[-]";"kobiety;50;2016;[-]";"kobiety;51;2016;[-]";"kobiety;52;2016;[-]";"kobiety;53;2016;[-]";"kobiety;54;2016;[-]";"kobiety;55;2016;[-]";"kobiety;56;2016;[-]";"kobiety;57;2016;[-]";"kobiety;58;2016;[-]";"kobiety;59;2016;[-]";"kobiety;60;2016;[-]";"kobiety;61;2016;[-]";"kobiety;62;2016;[-]";"kobiety;63;2016;[-]";"kobiety;64;2016;[-]";"kobiety;65;2016;[-]";"kobiety;66;2016;[-]";"kobiety;67;2016;[-]";"kobiety;68;2016;[-]";"kobiety;69;2016;[-]";"kobiety;70;2016;[-]";"kobiety;71;2016;[-]";"kobiety;72;2016;[-]";"kobiety;73;2016;[-]";"kobiety;74;2016;[-]";"kobiety;75;2016;[-]";"kobiety;76;2016;[-]";"kobiety;77;2016;[-]";"kobiety;78;2016;[-]";"kobiety;79;2016;[-]";"kobiety;80;2016;[-]";"kobiety;81;2016;[-]";"kobiety;82;2016;[-]";"kobiety;83;2016;[-]";"kobiety;84;2016;[-]";"kobiety;85;2016;[-]";"kobiety;86;2016;[-]";"kobiety;87;2016;[-]";"kobiety;88;2016;[-]";"kobiety;89;2016;[-]";"kobiety;90;2016;[-]";"kobiety;91;2016;[-]";"kobiety;92;2016;[-]";"kobiety;93;2016;[-]";"kobiety;94;2016;[-]";"kobiety;95;2016;[-]";"kobiety;96;2016;[-]";"kobiety;97;2016;[-]";"kobiety;98;2016;[-]";"kobiety;99;2016;[-]";"kobiety;100;2016;[-]";"kobiety;101;2016;[-]";"kobiety;102;2016;[-]";"kobiety;103;2016;[-]";"kobiety;104;2016;[-]";"kobiety;105;2016;[-]";"kobiety;106;2016;[-]";"kobiety;107;2016;[-]";"kobiety;108;2016;[-]";"kobiety;109;2016;[-]";"kobiety;110 i więcej;2016;[-]";
0000000;"POLSKA";388009;1522;89;62;48;40;36;48;41;37;30;27;39;38;39;58;67;96;126;184;204;210;240;271;287;303;324;337;377;371;419;457;542;597;623;644;693;752;834;848;877;971;1015;1077;1213;1319;1422;1448;1694;1733;1862;2102;2410;2589;2886;3433;3784;4455;5043;5633;6079;6616;7071;7376;7558;8139;8310;8737;8774;8480;8420;7334;6165;6725;6542;7104;7872;8781;9276;9552;10371;11065;11374;11596;12002;12746;13132;13038;12256;11327;10260;9342;8414;7200;5902;4351;3093;2506;1296;841;597;410;384;267;173;105;61;26;15;7;8;7;202150;868;47;33;32;28;16;31;19;21;23;19;22;26;21;35;51;61;88;134;155;169;204;223;229;240;256;266;321;291;325;355;432;465;485;502;531;573;633;660;662;722;753;806;929;952;1067;1067;1236;1279;1372;1538;1737;1862;2071;2456;2733;3152;3505;3917;4291;4575;4850;4911;5092;5430;5482;5771;5713;5471;5262;4461;3719;4012;3858;4076;4481;4784;5012;4844;5184;5369;5253;5002;5069;5158;4932;4679;4303;3680;3157;2629;2313;1914;1512;1002;768;605;276;159;118;72;69;49;25;19;14;6;3;3;3;4;185859;654;42;29;16;12;20;17;22;16;7;8;17;12;18;23;16;35;38;50;49;41;36;48;58;63;68;71;56;80;94;102;110;132;138;142;162;179;201;188;215;249;262;271;284;367;355;381;458;454;490;564;673;727;815;977;1051;1303;1538;1716;1788;2041;2221;2465;2466;2709;2828;2966;3061;3009;3158;2873;2446;2713;2684;3028;3391;3997;4264;4708;5187;5696;6121;6594;6933;7588;8200;8359;7953;7647;7103;6713;6101;5286;4390;3349;2325;1901;1020;682;479;338;315;218;148;86;47;20;12;4;5;3;
0200000;"DOLNOŚLĄSKIE";30566;105;12;4;8;2;4;6;3;3;5;3;4;3;2;6;3;8;10;13;12;20;17;29;19;18;20;24;30;31;33;40;39;47;43;65;65;69;64;70;71;84;82;82;90;100;113;113;119;125;136;193;161;197;233;271;322;391;444;465;493;589;620;671;680;683;726;801;770;792;685;561;442;474;440;484;607;637;661;761;822;788;824;901;892;966;986;1000;952;865;791;742;695;604;463;319;199;172;85;52;32;22;24;16;8;9;2;2;1;1;0;3;15780;50;8;2;6;0;1;4;3;2;3;2;3;2;2;4;2;3;4;10;11;17;16;22;16;13;13;12;26;23;26;29;30;36;33;50;54;48;41;52;46;56;58;57;63;69;82;77;84;88;112;134;105;143;172;189;239;283;320;331;357;408;417;440;452;462;481;509;492;515;436;350;259;291;258;281;340;348;333;373;398;360;359;368;365;375;363;320;311;243;234;200;179;162;113;72;66;46;19;12;7;6;3;2;3;2;0;1;0;0;0;2;14786;55;4;2;2;2;3;2;0;1;2;1;1;1;0;2;1;5;6;3;1;3;1;7;3;5;7;12;4;8;7;11;9;11;10;15;11;21;23;18;25;28;24;25;27;31;31;36;35;37;24;59;56;54;61;82;83;108;124;134;136;181;203;231;228;221;245;292;278;277;249;211;183;183;182;203;267;289;328;388;424;428;465;533;527;591;623;680;641;622;557;542;516;442;350;247;133;126;66;40;25;16;21;14;5;7;2;1;1;1;0;1;
0400000;"KUJAWSKO-POMORSKIE";20525;88;7;4;1;3;0;4;0;3;2;0;1;0;2;3;5;2;12;13;13;13;20;12;15;15;10;21;18;20;17;32;23;32;47;37;32;47;39;42;45;59;41;54;73;89;79;92;97;79;115;108;137;147;182;169;208;237;312;292;335;375;407;400;423;471;481;512;495;510;476;404;309;364;360;380;403;482;486;499;552;531;617;622;578;612;628;651;593;570;503;480;401;366;242;210;149;135;61;56;27;30;23;17;12;10;5;0;1;0;0;1;10783;48;2;2;1;1;0;1;0;2;2;0;1;0;0;2;4;1;8;12;10;11;19;12;7;12;7;20;15;14;15;24;20;25;35;24;26;32;30;30;36;45;27;42;55;71;56;62;66;52;87;73;97;105;135;125;137;175;198;203;234;255;270;256;273;300;302;328;317;329;295;232;166;205;212;232;241;265;278;274;264;267;286;288;258;253;254;229;206;181;158;145;107;93;61;41;26;29;10;12;7;6;4;6;2;2;1;0;0;0;0;1;9742;40;5;2;0;2;0;3;0;1;0;0;0;0;2;1;1;1;4;1;3;2;1;0;8;3;3;1;3;6;2;8;3;7;12;13;6;15;9;12;9;14;14;12;18;18;23;30;31;27;28;35;40;42;47;44;71;62;114;89;101;120;137;144;150;171;179;184;178;181;181;172;143;159;148;148;162;217;208;225;288;264;331;334;320;359;374;422;387;389;345;335;294;273;181;169;123;106;51;44;20;24;19;11;10;8;4;0;1;0;0;0;
0600000;"LUBELSKIE";22284;69;5;5;4;2;2;3;0;2;0;1;4;3;0;1;4;10;12;14;11;14;10;19;16;25;13;20;27;22;27;25;36;34;23;39;27;39;56;60;42;47;61;63;66;71;79;77;87;107;105;95;119;142;154;191;197;241;272;284;293;334;367;369;405;421;441;450;507;423;408;397;356;381;333;410;410;481;522;524;569;617;678;698;739;821;856;795;826;701;718;583;539;467;371;297;194;143;77;51;53;30;16;8;13;7;1;0;0;0;0;0;11696;46;3;4;3;2;0;1;0;2;0;1;3;2;0;0;3;8;6;12;8;10;9;16;13;19;11;17;21;20;20;20;32;33;16;30;21;34;45;47;37;36;48;45;56;52;66;58;71;83;82;79;90;108;119;145;150;183;190;189;219;234;267;271;273;298;308;323;330;289;273;255;229;241;198;228;246;269;294;292;291;309;326;285;292;326;308;290;310;237;222;168;152;123;105;69;43;34;11;8;11;5;4;3;2;0;0;0;0;0;0;0;10588;23;2;1;1;0;2;2;0;0;0;0;1;1;0;1;1;2;6;2;3;4;1;3;3;6;2;3;6;2;7;5;4;1;7;9;6;5;11;13;5;11;13;18;10;19;13;19;16;24;23;16;29;34;35;46;47;58;82;95;74;100;100;98;132;123;133;127;177;134;135;142;127;140;135;182;164;212;228;232;278;308;352;413;447;495;548;505;516;464;496;415;387;344;266;228;151;109;66;43;42;25;12;5;11;7;1;0;0;0;0;0;
0800000;"LUBUSKIE";9955;57;2;3;1;0;1;1;2;0;2;0;0;1;1;0;2;3;2;10;8;6;10;7;7;11;9;13;14;7;12;12;17;27;29;23;26;18;21;19;21;19;34;36;26;38;33;36;42;43;47;55;73;70;64;89;109;132;158;182;180;228;198;213;224;257;235;268;264;226;237;208;139;135;158;193;193;208;226;208;248;264;279;303;290;279;284;313;280;243;215;228;198;172;129;105;84;55;40;14;13;10;8;6;1;5;0;0;0;0;0;0;5358;35;0;1;0;0;1;0;1;0;2;0;0;1;0;0;2;2;2;7;5;5;9;6;7;10;9;11;10;5;9;11;11;20;22;16;21;13;14;15;13;11;22;27;24;26;27;28;31;30;35;41;55;52;41;68;83;86;111;127;132;164;137;133;164;179;160;176;160;160;160;138;86;96;96;115;104;95;114;111;124;126;128;133;119;105;116;94;90;79;64;60;48;53;29;28;22;15;10;3;3;4;2;1;0;1;0;0;0;0;0;0;4597;22;2;2;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;3;3;1;1;1;0;1;0;2;4;2;3;1;6;7;7;7;5;5;7;4;8;8;12;9;2;12;6;8;11;13;12;14;18;18;23;21;26;46;47;55;48;64;61;80;60;78;75;92;104;66;77;70;53;39;62;78;89;113;112;97;124;138;151;170;171;174;168;219;190;164;151;168;150;119;100;77;62;40;30;11;10;6;6;5;1;4;0;0;0;0;0;0;
1000000;"ŁÓDZKIE";30213;86;3;2;3;5;3;0;3;3;2;2;3;2;3;3;3;4;7;11;13;21;16;24;21;16;26;27;25;39;30;32;48;56;52;69;64;70;75;84;83;92;84;107;131;114;132;139;148;154;160;171;189;197;246;287;269;333;393;386;509;565;566;564;621;623;657;705;698;689;755;660;461;505;502;527;575;598;676;707;774;873;822;836;864;1018;951;991;960;840;841;730;700;501;466;332;245;205;104;62;45;34;37;21;10;8;4;3;1;1;0;0;15440;40;2;2;3;3;2;0;1;3;2;2;0;2;2;2;2;3;6;8;9;17;14;21;19;15;21;18;19;32;23;22;39;47;38;56;43;51;64;62;65;65;68;86;103;81;103;96;94;110;120;133;144;139;183;201;192;229;271;265;372;395;402;354;415;408;426;471;445;443;437;399;274;281;289;298;327;306;356;319;383;410;347;332;347;398;331;328;323;264;262;191;178;128;105;69;72;44;23;7;5;2;5;4;1;0;1;0;0;0;0;0;14773;46;1;0;0;2;1;0;2;0;0;0;3;0;1;1;1;1;1;3;4;4;2;3;2;1;5;9;6;7;7;10;9;9;14;13;21;19;11;22;18;27;16;21;28;33;29;43;54;44;40;38;45;58;63;86;77;104;122;121;137;170;164;210;206;215;231;234;253;246;318;261;187;224;213;229;248;292;320;388;391;463;475;504;517;620;620;663;637;576;579;539;522;373;361;263;173;161;81;55;40;32;32;17;9;8;3;3;1;1;0;0;
1200000;"MAŁOPOLSKIE";30716;122;3;8;4;0;5;4;5;2;3;3;3;5;3;3;6;6;6;11;15;15;14;19;19;19;27;32;29;23;34;27;36;36;47;47;41;47;58;57;67;67;72;66;81;85;107;114;115;129;139;165;197;207;200;264;254;326;328;403;397;470;443;484;509;590;604;569;572;620;650;574;491;564;510;553;631;722;724;795;859;947;974;997;1043;1149;1119;1165;1029;899;891;812;703;643;535;360;281;210;142;73;47;38;30;34;18;6;3;2;4;0;1;0;15946;76;2;3;3;0;2;3;3;1;2;0;1;4;2;1;5;4;3;9;10;12;10;14;15;16;18;25;26;17;26;20;28;31;39;38;34;37;45;50;52;46;48;52;72;63;78;84;79;101;105;131;132;159;146;186;184;240;244;298;283;337;324;326;343;420;405;373;374;412;419;339;294;335;302;341;367;413;411;399;436;467;474;446;458;455;430;417;369;307;277;225;213;178;130;99;63;53;32;22;12;11;7;4;4;3;0;0;2;0;0;0;14770;46;1;5;1;0;3;1;2;1;1;3;2;1;1;2;1;2;3;2;5;3;4;5;4;3;9;7;3;6;8;7;8;5;8;9;7;10;13;7;15;21;24;14;9;22;29;30;36;28;34;34;65;48;54;78;70;86;84;105;114;133;119;158;166;170;199;196;198;208;231;235;197;229;208;212;264;309;313;396;423;480;500;551;585;694;689;748;660;592;614;587;490;465;405;261;218;157;110;51;35;27;23;30;14;3;3;2;2;0;1;0;
1400000;"MAZOWIECKIE";54867;195;16;2;4;5;5;5;6;5;3;2;6;6;6;11;6;14;19;15;32;22;33;35;50;36;55;43;45;49;78;58;77;81;83;77;112;113;126;131;128;159;138;131;165;199;185;191;246;238;238;279;327;336;358;439;502;585;626;772;868;856;1001;977;1017;1055;1128;1071;1179;1113;1059;971;878;940;890;918;1018;1141;1286;1324;1393;1530;1518;1594;1725;1907;1997;2029;1869;1821;1626;1476;1311;1185;964;663;506;426;198;156;109;76;67;42;41;17;12;4;2;1;1;2;28337;109;10;1;3;2;2;4;3;2;2;2;4;4;5;6;5;10;13;12;27;19;30;31;36;28;42;35;39;39;61;42;63;67;67;59;77;80;92;105;93;121;107;92;133;142;143;138;200;168;176;216;237;252;258;327;360;411;439;550;596;600;686;675;699;696;750;705;772;710;657;552;525;563;502;476;553;618;682;663;701;771;737;691;753;765;776;755;705;618;542;474;392;352;280;173;133;94;48;29;26;10;13;6;5;3;2;0;0;1;0;1;26530;86;6;1;1;3;3;1;3;3;1;0;2;2;1;5;1;4;6;3;5;3;3;4;14;8;13;8;6;10;17;16;14;14;16;18;35;33;34;26;35;38;31;39;32;57;42;53;46;70;62;63;90;84;100;112;142;174;187;222;272;256;315;302;318;359;378;366;407;403;402;419;353;377;388;442;465;523;604;661;692;759;781;903;972;1142;1221;1274;1164;1203;1084;1002;919;833;684;490;373;332;150;127;83;66;54;36;36;14;10;4;2;0;1;1;
1600000;"OPOLSKIE";10006;40;0;0;2;0;1;1;1;0;1;1;0;2;4;0;3;5;4;1;6;3;5;2;9;9;14;10;12;13;9;6;12;15;13;20;16;13;10;17;19;18;25;26;39;31;34;31;50;34;52;55;75;75;72;102;104;119;116;154;144;141;162;178;186;198;174;210;225;207;211;159;167;175;182;185;244;267;264;305;329;343;326;337;364;376;334;326;302;292;220;212;186;145;132;109;62;40;23;21;11;6;5;7;3;0;0;0;0;0;0;0;5157;23;0;0;1;0;0;1;0;0;0;1;0;0;1;0;2;4;3;0;5;2;4;2;8;6;12;9;9;10;8;6;10;12;9;16;13;11;9;13;11;15;18;20;31;21;23;23;36;28;43;37;47;57;52;81;65;79;80;106;101;96;103;116;128;141;112;150;156;131;138;98;101;112;115;98;143;139;141;163;157;168;153;159;142;145;116;114;96;87;61;44;37;33;34;13;16;11;3;1;2;0;0;0;0;0;0;0;0;0;0;0;4849;17;0;0;1;0;1;0;1;0;1;0;0;2;3;0;1;1;1;1;1;1;1;0;1;3;2;1;3;3;1;0;2;3;4;4;3;2;1;4;8;3;7;6;8;10;11;8;14;6;9;18;28;18;20;21;39;40;36;48;43;45;59;62;58;57;62;60;69;76;73;61;66;63;67;87;101;128;123;142;172;175;173;178;222;231;218;212;206;205;159;168;149;112;98;96;46;29;20;20;9;6;5;7;3;0;0;0;0;0;0;0;
1800000;"PODKARPACKIE";19103;91;5;2;2;2;1;3;4;0;1;3;3;0;3;5;0;2;9;6;14;7;11;16;8;17;14;9;15;10;18;16;21;24;21;19;31;22;26;31;35;42;69;49;46;63;69;69;83;83;86;94;118;123;148;153;170;218;225;234;281;277;251;330;294;329;349;358;373;319;358;323;314;320;268;296;397;457;479;506;518;588;650;650;681;664;738;710;663;645;606;509;462;376;330;237;168;149;72;37;27;16;28;14;5;6;2;2;1;1;0;0;9905;52;2;1;1;2;1;2;0;0;1;2;2;0;1;1;0;1;7;5;12;6;8;12;8;11;10;9;13;10;16;11;18;18;19;14;27;17;19;23;28;33;55;37;37;50;56;52;64;67;61;71;79;93;110;117;129;161;172;167;201;195;186;231;204;217;242;238;263;202;226;202;190;193;152;207;223;264;275;269;270;287;293;285;302;276;273;262;254;204;196;144;119;94;83;56;43;46;11;5;5;3;6;4;0;1;1;1;0;0;0;0;9198;39;3;1;1;0;0;1;4;0;0;1;1;0;2;4;0;1;2;1;2;1;3;4;0;6;4;0;2;0;2;5;3;6;2;5;4;5;7;8;7;9;14;12;9;13;13;17;19;16;25;23;39;30;38;36;41;57;53;67;80;82;65;99;90;112;107;120;110;117;132;121;124;127;116;89;174;193;204;237;248;301;357;365;379;388;465;448;409;441;410;365;343;282;247;181;125;103;61;32;22;13;22;10;5;5;1;1;1;1;0;0;
