"Kod";"Nazwa";"ogółem;ogółem;2014;[-]";"ogółem;0;2014;[-]";"ogółem;1;2014;[-]";"ogółem;2;2014;[-]";"ogółem;3;2014;[-]";"ogółem;4;2014;[-]";"ogółem;5;2014;[-]";"ogółem;6;2014;[-]";"ogółem;7;2014;[-]";"ogółem;8;2014;[-]";"ogółem;9;2014;[-]";"ogółem;10;2014;[-]";"ogółem;11;2014;[-]";"ogółem;12;2014;[-]";"ogółem;13;2014;[-]";"ogółem;14;2014;[-]";"ogółem;15;2014;[-]";"ogółem;16;2014;[-]";"ogółem;17;2014;[-]";"ogółem;18;2014;[-]";"ogółem;19;2014;[-]";"ogółem;20;2014;[-]";"ogółem;21;2014;[-]";"ogółem;22;2014;[-]";"ogółem;23;2014;[-]";"ogółem;24;2014;[-]";"ogółem;25;2014;[-]";"ogółem;26;2014;[-]";"ogółem;27;2014;[-]";"ogółem;28;2014;[-]";"ogółem;29;2014;[-]";"ogółem;30;2014;[-]";"ogółem;31;2014;[-]";"ogółem;32;2014;[-]";"ogółem;33;2014;[-]";"ogółem;34;2014;[-]";"ogółem;35;2014;[-]";"ogółem;36;2014;[-]";"ogółem;37;2014;[-]";"ogółem;38;2014;[-]";"ogółem;39;2014;[-]";"ogółem;40;2014;[-]";"ogółem;41;2014;[-]";"ogółem;42;2014;[-]";"ogółem;43;2014;[-]";"ogółem;44;2014;[-]";"ogółem;45;2014;[-]";"ogółem;46;2014;[-]";"ogółem;47;2014;[-]";"ogółem;48;2014;[-]";"ogółem;49;2014;[-]";"ogółem;50;2014;[-]";"ogółem;51;2014;[-]";"ogółem;52;2014;[-]";"ogółem;53;2014;[-]";"ogółem;54;2014;[-]";"ogółem;55;2014;[-]";"ogółem;56;2014;[-]";"ogółem;57;2014;[-]";"ogółem;58;2014;[-]";"ogółem;59;2014;[-]";"ogółem;60;2014;[-]";"ogółem;61;2014;[-]";"ogółem;62;2014;[-]";"ogółem;63;2014;[-]";"ogółem;64;2014;[-]";"ogółem;65;2014;[-]";"ogółem;66;2014;[-]";"ogółem;67;2014;[-]";"ogółem;68;2014;[-]";"ogółem;69;2014;[-]";"ogółem;70;2014;[-]";"ogółem;71;2014;[-]";"ogółem;72;2014;[-]";"ogółem;73;2014;[-]";"ogółem;74;2014;[-]";"ogółem;75;2014;[-]";"ogółem;76;2014;[-]";"ogółem;77;2014;[-]";"ogółem;78;2014;[-]";"ogółem;79;2014;[-]";"ogółem;80;2014;[-]";"ogółem;81;2014;[-]";"ogółem;82;2014;[-]";"ogółem;83;2014;[-]";"ogółem;84;2014;[-]";"ogółem;85;2014;[-]";"ogółem;86;2014;[-]";"ogółem;87;2014;[-]";"ogółem;88;2014;[-]";"ogółem;89;2014;[-]";"ogółem;90;2014;[-]";"ogółem;91;2014;[-]";"ogółem;92;2014;[-]";"ogółem;93;2014;[-]";"ogółem;94;2014;[-]";"ogółem;95;2014;[-]";"ogółem;96;2014;[-]";"ogółem;97;2014;[-]";"ogółem;98;2014;[-]";"ogółem;99;2014;[-]";"ogółem;100;2014;[-]";"ogółem;101;2014;[-]";"ogółem;102;2014;[-]";"ogółem;103;2014;[-]";"ogółem;104;2014;[-]";"ogółem;105;2014;[-]";"ogółem;106;2014;[-]";"ogółem;107;2014;[-]";"ogółem;108;2014;[-]";"ogółem;109;2014;[-]";"ogółem;110 i więcej;2014;[-]";"mężczyźni;ogółem;2014;[-]";"mężczyźni;0;2014;[-]";"mężczyźni;1;2014;[-]";"mężczyźni;2;2014;[-]";"mężczyźni;3;2014;[-]";"mężczyźni;4;2014;[-]";"mężczyźni;5;2014;[-]";"mężczyźni;6;2014;[-]";"mężczyźni;7;2014;[-]";"mężczyźni;8;2014;[-]";"mężczyźni;9;2014;[-]";"mężczyźni;10;2014;[-]";"mężczyźni;11;2014;[-]";"mężczyźni;12;2014;[-]";"mężczyźni;13;2014;[-]";"mężczyźni;14;2014;[-]";"mężczyźni;15;2014;[-]";"mężczyźni;16;2014;[-]";"mężczyźni;17;2014;[-]";"mężczyźni;18;2014;[-]";"mężczyźni;19;2014;[-]";"mężczyźni;20;2014;[-]";"mężczyźni;21;2014;[-]";"mężczyźni;22;2014;[-]";"mężczyźni;23;2014;[-]";"mężczyźni;24;2014;[-]";"mężczyźni;25;2014;[-]";"mężczyźni;26;2014;[-]";"mężczyźni;27;2014;[-]";"mężczyźni;28;2014;[-]";"mężczyźni;29;2014;[-]";"mężczyźni;30;2014;[-]";"mężczyźni;31;2014;[-]";"mężczyźni;32;2014;[-]";"mężczyźni;33;2014;[-]";"mężczyźni;34;2014;[-]";"mężczyźni;35;2014;[-]";"mężczyźni;36;2014;[-]";"mężczyźni;37;2014;[-]";"mężczyźni;38;2014;[-]";"mężczyźni;39;2014;[-]";"mężczyźni;40;2014;[-]";"mężczyźni;41;2014;[-]";"mężczyźni;42;2014;[-]";"mężczyźni;43;2014;[-]";"mężczyźni;44;2014;[-]";"mężczyźni;45;2014;[-]";"mężczyźni;46;2014;[-]";"mężczyźni;47;2014;[-]";"mężczyźni;48;2014;[-]";"mężczyźni;49;2014;[-]";"mężczyźni;50;2014;[-]";"mężczyźni;51;2014;[-]";"mężczyźni;52;2014;[-]";"mężczyźni;53;2014;[-]";"mężczyźni;54;2014;[-]";"mężczyźni;55;2014;[-]";"mężczyźni;56;2014;[-]";"mężczyźni;57;2014;[-]";"mężczyźni;58;2014;[-]";"mężczyźni;59;2014;[-]";"mężczyźni;60;2014;[-]";"mężczyźni;61;2014;[-]";"mężczyźni;62;2014;[-]";"mężczyźni;63;2014;[-]";"mężczyźni;64;2014;[-]";"mężczyźni;65;2014;[-]";"mężczyźni;66;2014;[-]";"mężczyźni;67;2014;[-]";"mężczyźni;68;2014;[-]";"mężczyźni;69;2014;[-]";"mężczyźni;70;2014;[-]";"mężczyźni;71;2014;[-]";"mężczyźni;72;2014;[-]";"mężczyźni;73;2014;[-]";"mężczyźni;74;2014;[-]";"mężczyźni;75;2014;[-]";"mężczyźni;76;2014;[-]";"mężczyźni;77;2014;[-]";"mężczyźni;78;2014;[-]";"mężczyźni;79;2014;[-]";"mężczyźni;80;2014;[-]";"mężczyźni;81;2014;[-]";"mężczyźni;82;2014;[-]";"mężczyźni;83;2014;[-]";"mężczyźni;84;2014;[-]";"mężczyźni;85;2014;[-]";"mężczyźni;86;2014;[-]";"mężczyźni;87;2014;[-]";"mężczyźni;88;2014;[-]";"mężczyźni;89;2014;[-]";"mężczyźni;90;2014;[-]";"mężczyźni;91;2014;[-]";"mężczyźni;92;2014;[-]";"mężczyźni;93;2014;[-]";"mężczyźni;94;2014;[-]";"mężczyźni;95;2014;[-]";"mężczyźni;96;2014;[-]";"mężczyźni;97;2014;[-]";"mężczyźni;98;2014;[-]";"mężczyźni;99;2014;[-]";"mężczyźni;100;2014;[-]";"mężczyźni;101;2014;[-]";"mężczyźni;102;2014;[-]";"mężczyźni;103;2014;[-]";"mężczyźni;104;2014;[-]";"mężczyźni;105;2014;[-]";"mężczyźni;106;2014;[-]";"mężczyźni;107;2014;[-]";"mężczyźni;108;2014;[-]";"mężczyźni;109;2014;[-]";"mężczyźni;110 i więcej;2014;[-]";"kobiety;ogółem;2014;[-]";"kobiety;0;2014;[-]";"kobiety;1;2014;[-]";"kobiety;2;2014;[-]";"kobiety;3;2014;[-]";"kobiety;4;2014;[-]";"kobiety;5;2014;[-]";"kobiety;6;2014;[-]";"kobiety;7;2014;[-]";"kobiety;8;2014;[-]";"kobiety;9;2014;[-]";"kobiety;10;2014;[-]";"kobiety;11;2014;[-]";"kobiety;12;2014;[-]";"kobiety;13;2014;[-]";"kobiety;14;2014;[-]";"kobiety;15;2014;[-]";"kobiety;16;2014;[-]";"kobiety;17;2014;[-]";"kobiety;18;2014;[-]";"kobiety;19;2014;[-]";"kobiety;20;2014;[-]";"kobiety;21;2014;[-]";"kobiety;22;2014;[-]";"kobiety;23;2014;[-]";"kobiety;24;2014;[-]";"kobiety;25;2014;[-]";"kobiety;26;2014;[-]";"kobiety;27;2014;[-]";"kobiety;28;2014;[-]";"kobiety;29;2014;[-]";"kobiety;30;2014;[-]";"kobiety;31;2014;[-]";"kobiety;32;2014;[-]";"kobiety;33;2014;[-]";"kobiety;34;2014;[-]";"kobiety;35;2014;[-]";"kobiety;36;2014;[-]";"kobiety;37;2014;[-]";"kobiety;38;2014;[-]";"kobiety;39;2014;[-]";"kobiety;40;2014;[-]";"kobiety;41;2014;[-]";"kobiety;42;2014;[-]";"kobiety;43;2014;[-]";"kobiety;44;2014;[-]";"kobiety;45;2014;[-]";"kobiety;46;2014;[-]";"kobiety;47;2014;[-]";"kobiety;48;2014;[-]";"kobiety;49;2014;[-]";"kobiety;50;2014;[-]";"kobiety;51;2014;[-]";"kobiety;52;2014;[-]";"kobiety;53;2014;[-]";"kobiety;54;2014;[-]";"kobiety;55;2014;[-]";"kobiety;56;2014;[-]";"kobiety;57;2014;[-]";"kobiety;58;2014;[-]";"kobiety;59;2014;[-]";"kobiety;60;2014;[-]";"kobiety;61;2014;[-]";"kobiety;62;2014;[-]";"kobiety;63;2014;[-]";"kobiety;64;2014;[-]";"kobiety;65;2014;[-]";"kobiety;66;2014;[-]";"kobiety;67;2014;[-]";"kobiety;68;2014;[-]";"kobiety;69;2014;[-]";"kobiety;70;2014;[-]";"kobiety;71;2014;[-]";"kobiety;72;2014;[-]";"kobiety;73;2014;[-]";"kobiety;74;2014;[-]";"kobiety;75;2014;[-]";"kobiety;76;2014;[-]";"kobiety;77;2014;[-]";"kobiety;78;2014;[-]";"kobiety;79;2014;[-]";"kobiety;80;2014;[-]";"kobiety;81;2014;[-]";"kobiety;82;2014;[-]";"kobiety;83;2014;[-]";"kobiety;84;2014;[-]";"kobiety;85;2014;[-]";"kobiety;86;2014;[-]";"kobiety;87;2014;[-]";"kobiety;88;2014;[-]";"kobiety;89;2014;[-]";"kobiety;90;2014;[-]";"kobiety;91;2014;[-]";"kobiety;92;2014;[-]";"kobiety;93;2014;[-]";"kobiety;94;2014;[-]";"kobiety;95;2014;[-]";"kobiety;96;2014;[-]";"kobiety;97;2014;[-]";"kobiety;98;2014;[-]";"kobiety;99;2014;[-]";"kobiety;100;2014;[-]";"kobiety;101;2014;[-]";"kobiety;102;2014;[-]";"kobiety;103;2014;[-]";"kobiety;104;2014;[-]";"kobiety;105;2014;[-]";"kobiety;106;2014;[-]";"kobiety;107;2014;[-]";"kobiety;108;2014;[-]";"kobiety;109;2014;[-]";"kobiety;110 i więcej;2014;[-]";
0000000;"POLSKA";376467;1583;110;63;60;44;50;41;35;32;34;34;31;40;51;72;65;111;169;219;270;300;277;329;347;329;332;377;389;415;444;535;569;538;511;620;676;742;782;870;872;956;993;1114;1238;1241;1326;1431;1545;1730;2054;2327;2450;2796;3359;3919;4503;4976;5274;5657;6069;6671;6850;7234;7368;7552;7843;8095;7684;6642;5521;6231;6030;6499;7097;8052;8344;9111;9651;10119;10692;11109;11483;12336;12805;12862;12499;11774;10951;10693;9765;8753;7584;6097;4495;3797;2171;1390;1171;861;784;577;350;235;140;85;39;19;13;6;5;6;195791;870;57;31;26;27;25;22;23;14;19;21;15;17;23;45;37;71;117;162;217;238;218;269;280;263;266;297;324;322;356;441;453;425;397;480;538;562;578;663;648;716;761;838;921;949;977;1049;1134;1238;1467;1652;1759;1968;2378;2771;3181;3484;3659;3943;4219;4532;4609;4875;4937;5003;5115;5310;4971;4190;3349;3813;3671;3859;4214;4650;4631;4925;5110;5178;5194;5211;5152;5391;5307;5155;4651;4217;3657;3298;2842;2408;1998;1540;1193;995;492;319;270;206;151;118;65;33;24;17;8;8;5;2;1;0;180676;713;53;32;34;17;25;19;12;18;15;13;16;23;28;27;28;40;52;57;53;62;59;60;67;66;66;80;65;93;88;94;116;113;114;140;138;180;204;207;224;240;232;276;317;292;349;382;411;492;587;675;691;828;981;1148;1322;1492;1615;1714;1850;2139;2241;2359;2431;2549;2728;2785;2713;2452;2172;2418;2359;2640;2883;3402;3713;4186;4541;4941;5498;5898;6331;6945;7498;7707;7848;7557;7294;7395;6923;6345;5586;4557;3302;2802;1679;1071;901;655;633;459;285;202;116;68;31;11;8;4;4;6;
0200000;"DOLNOŚLĄSKIE";29910;124;11;4;1;1;4;4;3;3;1;4;2;1;7;8;4;14;22;15;15;17;24;24;25;26;31;30;27;34;29;48;52;38;47;53;58;54;65;68;49;74;74;97;95;90;115;110;117;126;159;179;213;201;287;340;375;427;476;516;505;607;605;657;719;668;715;726;654;529;403;438;419;447;538;573;658;691;726;793;828;895;922;932;941;974;1001;944;874;834;794;683;610;418;321;264;136;93;64;50;45;49;20;15;5;5;3;1;0;0;0;0;15413;71;5;1;0;0;4;3;3;0;1;2;1;0;4;7;2;9;15;14;14;12;16;21;22;24;25;25;22;28;25;44;40;29;34;50;43;42;48;43;39;51;55;64;64;69;83;78;91;88;109;131;156;144;210;238;268;292;345;348;345;424;408;451;473;451;468;465;420;351;244;274;232;269;320;311;345;371;360;388;377;408;400;373;370;360;356;310;268;218;203;175;179;96;97;74;37;19;10;14;8;9;3;2;0;3;1;1;0;0;0;0;14497;53;6;3;1;1;0;1;0;3;0;2;1;1;3;1;2;5;7;1;1;5;8;3;3;2;6;5;5;6;4;4;12;9;13;3;15;12;17;25;10;23;19;33;31;21;32;32;26;38;50;48;57;57;77;102;107;135;131;168;160;183;197;206;246;217;247;261;234;178;159;164;187;178;218;262;313;320;366;405;451;487;522;559;571;614;645;634;606;616;591;508;431;322;224;190;99;74;54;36;37;40;17;13;5;2;2;0;0;0;0;0;
0400000;"KUJAWSKO-POMORSKIE";20028;93;6;2;5;4;5;2;0;0;3;3;2;4;2;5;4;11;8;15;17;16;11;15;16;16;17;23;21;20;24;27;38;36;32;27;24;35;40;47;51;47;55;62;69;65;73;88;82;111;97;116;111;163;193;208;292;290;296;321;353;363;409;427;408;450;454;479;406;415;288;341;354;402;368;424;444;485;501;515;526;598;633;601;667;636;587;587;524;514;456;417;389;295;230;188;122;62;62;49;45;29;19;16;9;8;4;2;1;0;0;0;10548;56;2;2;1;3;3;0;0;0;0;1;2;2;0;4;3;6;6;10;15;14;8;12;13;14;14;17;20;13;21;22;26;28;25;18;20;27;25;40;41;37;48;46;49;49;54;66;59;77;72;74;71;102;129;154;208;202;210;234;256;247;260;278;283;297;285;301;259;251;175;200;206;217;221;236;255;270;287;270;289;266;294;254;268;257;231;217;168;166;134;108;107;63;58;54;22;18;15;10;9;5;3;1;1;1;0;0;0;0;0;0;9480;37;4;0;4;1;2;2;0;0;3;2;0;2;2;1;1;5;2;5;2;2;3;3;3;2;3;6;1;7;3;5;12;8;7;9;4;8;15;7;10;10;7;16;20;16;19;22;23;34;25;42;40;61;64;54;84;88;86;87;97;116;149;149;125;153;169;178;147;164;113;141;148;185;147;188;189;215;214;245;237;332;339;347;399;379;356;370;356;348;322;309;282;232;172;134;100;44;47;39;36;24;16;15;8;7;4;2;1;0;0;0;
0600000;"LUBELSKIE";22107;83;6;6;4;2;2;4;1;1;0;3;0;5;5;2;5;5;7;13;28;21;16;15;16;28;25;19;22;21;29;24;42;34;20;38;36;49;57;56;50;51;49;68;65;68;89;74;109;114;116;145;137;153;198;182;243;260;278;291;327;393;326;396;385;369;428;413;371;341;291;348;320;331;431;412;411;554;553;557;640;688;657;740;852;823;826;804;731;733;672;561;462;401;276;266;151;106;86;60;40;39;20;15;4;6;1;0;0;0;0;0;11698;43;5;4;3;1;1;3;1;0;0;3;0;2;2;1;4;4;6;8;19;18;13;13;15;25;22;16;17;19;21;19;37;26;18;30;30;37;50;49;37;38;40;54;54;56;67;56;82;82;86;105;101;117;150;141;164;186;193;219;237;287;237;280;276;244;297;281;245;206;186;212;209;206;253;227;246;298;308;313;324;335;318;358;359;328;291;319;256;241;207;173;139;105;83;73;38;28;21;15;6;8;6;4;1;1;0;0;0;0;0;0;10409;40;1;2;1;1;1;1;0;1;0;0;0;3;3;1;1;1;1;5;9;3;3;2;1;3;3;3;5;2;8;5;5;8;2;8;6;12;7;7;13;13;9;14;11;12;22;18;27;32;30;40;36;36;48;41;79;74;85;72;90;106;89;116;109;125;131;132;126;135;105;136;111;125;178;185;165;256;245;244;316;353;339;382;493;495;535;485;475;492;465;388;323;296;193;193;113;78;65;45;34;31;14;11;3;5;1;0;0;0;0;0;
0800000;"LUBUSKIE";9553;37;1;2;2;4;2;1;1;1;0;3;0;0;2;1;2;0;7;10;8;9;6;13;9;8;17;13;17;13;10;20;12;13;20;26;21;15;24;23;24;22;26;23;26;29;28;36;40;45;48;61;79;81;93;116;137;146;182;168;169;216;229;200;186;238;216;213;223;202;141;145;149;164;175;203;198;216;236;269;269;268;263;294;277;306;287;287;239;229;224;216;166;138;97;76;46;31;20;16;9;10;2;4;4;2;1;1;0;0;0;0;5024;20;0;0;0;4;2;0;1;0;0;2;0;0;0;1;1;0;6;8;6;5;5;13;6;6;10;11;16;11;8;15;8;12;16;20;15;12;18;16;18;11;19;12;23;20;19;27;27;32;33;46;54;49;66;84;104;109;120;120;122;136;155;131;121;167;132;142;149;118;80;81;96;93;95;113;101;116;124;140;131;122;107;146;93;114;97;95;70;66;69;50;47;39;39;22;15;6;7;4;2;1;1;0;1;0;0;1;0;0;0;0;4529;17;1;2;2;0;0;1;0;1;0;1;0;0;2;0;1;0;1;2;2;4;1;0;3;2;7;2;1;2;2;5;4;1;4;6;6;3;6;7;6;11;7;11;3;9;9;9;13;13;15;15;25;32;27;32;33;37;62;48;47;80;74;69;65;71;84;71;74;84;61;64;53;71;80;90;97;100;112;129;138;146;156;148;184;192;190;192;169;163;155;166;119;99;58;54;31;25;13;12;7;9;1;4;3;2;1;0;0;0;0;0;
1000000;"ŁÓDZKIE";29727;99;1;4;2;0;5;2;1;0;0;2;3;1;4;6;3;5;14;8;15;28;26;30;25;13;30;25;38;31;47;53;54;28;47;52;58;83;81;78;95;92;94;102;115;118;115;112;121;146;182;201;194;228;261;344;347;390;423;449;510;506;526;551;567;546;639;710;651;605;443;470;438;514;512;585;589;675;700;793;769;828;839;938;995;1021;1029;926;872;896;791;709;643;511;374;287;172;115;91;78;73;43;25;16;15;8;1;1;0;0;0;0;15222;57;1;3;0;0;2;2;1;0;0;2;2;1;2;3;2;2;12;5;11;23;22;24;21;11;27;20;35;25;38;41;49;23;36;39;48;71;63;62;71;66;77;83;92;92;75;83;95;104;132;139;141;170;179;245;249;284;292;316;375;350;342;381;380;354;419;476;410;380;253;295;276;286;308;333;312;345;362;387;357;348;351;397;409;374;361;327;280;254;213;186;155;119;93;66;36;26;27;15;15;7;4;3;3;0;1;0;0;0;0;0;14505;42;0;1;2;0;3;0;0;0;0;0;1;0;2;3;1;3;2;3;4;5;4;6;4;2;3;5;3;6;9;12;5;5;11;13;10;12;18;16;24;26;17;19;23;26;40;29;26;42;50;62;53;58;82;99;98;106;131;133;135;156;184;170;187;192;220;234;241;225;190;175;162;228;204;252;277;330;338;406;412;480;488;541;586;647;668;599;592;642;578;523;488;392;281;221;136;89;64;63;58;36;21;13;12;8;0;1;0;0;0;0;
1200000;"MAŁOPOLSKIE";29611;109;11;4;7;3;2;3;8;3;6;1;4;1;3;2;9;8;8;14;24;24;23;23;22;20;18;25;19;31;29;47;34;24;33;47;54;52;46;64;65;65;77;85;92;76;89;98;117;133;167;171;169;204;238;264;327;351;340;371;411;449;473;498;504;491;548;538;563;494;489;492;472;473;503;676;672;714;785;839;922;967;903;1077;1122;1037;1077;1010;935;886;867;776;625;555;377;356;204;112;95;62;66;48;30;26;16;7;3;1;0;0;1;0;15178;63;6;2;3;1;1;3;5;1;4;0;1;0;2;1;5;6;5;10;20;19;20;16;17;18;16;19;14;26;25;41;27;20;26;30;39;40;32;42;47;49;58;60;71;64;73;74;84;94;128;116;112;144;179;190;226;253;243;244;290;299;310;329;332;331;351;366;374;324;293;306;289;294;298;410;391;407;413;442;448;476;400;469;471;431;394;355;341;272;278;218;165;137;98;81;53;36;23;12;11;13;7;2;3;0;0;0;0;0;0;0;14433;46;5;2;4;2;1;0;3;2;2;1;3;1;1;1;4;2;3;4;4;5;3;7;5;2;2;6;5;5;4;6;7;4;7;17;15;12;14;22;18;16;19;25;21;12;16;24;33;39;39;55;57;60;59;74;101;98;97;127;121;150;163;169;172;160;197;172;189;170;196;186;183;179;205;266;281;307;372;397;474;491;503;608;651;606;683;655;594;614;589;558;460;418;279;275;151;76;72;50;55;35;23;24;13;7;3;1;0;0;1;0;
1400000;"MAZOWIECKIE";53494;214;16;12;11;4;4;4;5;7;4;4;5;3;5;11;9;15;11;37;32;46;35;46;47;45;46;51;46;57;63;86;70;84;76;94;100;93;106;121;137;170;127;131;158;178;162;190;181;208;244;300;332;369;427;537;605;720;682;777;820;929;917;924;951;1051;979;1068;1039;836;815;839;754;865;927;1059;1135;1245;1337;1392;1529;1576;1699;1803;1858;2011;1898;1733;1705;1718;1516;1339;1167;934;735;662;374;234;190;165;135;106;65;44;24;11;10;6;1;3;0;1;27464;116;10;5;7;2;0;1;5;4;1;2;2;2;3;6;5;8;9;28;27;32;23;35;37;34;38;42;41;42;51;70;52;67;56;77;84;77;80;97;103;131;93;104;105;134;119;138;138;155;172;210;254;267;306;393;439;499;483;551;563;620;630;633;634;704;648;670;662;507;489;511;444;530;525;610;628;649;713;679;752;731;742;805;812;841;724;625;627;587;468;370;328;270;207;167;76;50;49;42;25;19;9;8;2;2;2;2;0;1;0;0;26030;98;6;7;4;2;4;3;0;3;3;2;3;1;2;5;4;7;2;9;5;14;12;11;10;11;8;9;5;15;12;16;18;17;20;17;16;16;26;24;34;39;34;27;53;44;43;52;43;53;72;90;78;102;121;144;166;221;199;226;257;309;287;291;317;347;331;398;377;329;326;328;310;335;402;449;507;596;624;713;777;845;957;998;1046;1170;1174;1108;1078;1131;1048;969;839;664;528;495;298;184;141;123;110;87;56;36;22;9;8;4;1;2;0;1;
1600000;"OPOLSKIE";9808;40;4;0;2;1;3;0;2;0;0;0;1;0;3;1;0;1;4;6;4;8;4;8;7;8;6;6;10;14;11;9;8;13;10;18;13;11;10;11;12;20;19;24;27;34;40;29;39;36;43;60;72;72;83;93;117;110;121;138;145;171;196;185;212;201;213;192;161;146;143;143;160;170;229;252;304;282;324;298;341;320;361;346;345;324;327;293;323;219;197;191;183;145;101;80;37;18;19;24;13;9;11;3;2;2;0;1;0;0;0;0;4997;21;1;0;1;1;0;0;2;0;0;0;0;0;2;1;0;1;2;5;4;5;2;7;7;5;4;5;6;12;10;6;6;8;6;15;10;7;7;8;11;17;12;21;18;25;35;21;27;26;32;44;50;47;60;60;91;65;85;102;98;120;128;122;139;142;137;128;102;96;96;81;100;109;129;139;162;159;171;137;162;137;159;144;141;132;113;96;99;57;51;45;39;34;24;16;8;4;3;7;1;3;1;0;0;0;0;0;0;0;0;0;4811;19;3;0;1;0;3;0;0;0;0;0;1;0;1;0;0;0;2;1;0;3;2;1;0;3;2;1;4;2;1;3;2;5;4;3;3;4;3;3;1;3;7;3;9;9;5;8;12;10;11;16;22;25;23;33;26;45;36;36;47;51;68;63;73;59;76;64;59;50;47;62;60;61;100;113;142;123;153;161;179;183;202;202;204;192;214;197;224;162;146;146;144;111;77;64;29;14;16;17;12;6;10;3;2;2;0;1;0;0;0;0;
1800000;"PODKARPACKIE";18361;99;10;3;3;6;3;2;2;2;2;4;0;5;1;5;4;9;14;14;16;7;17;16;19;12;16;16;16;14;25;12;31;22;25;26;31;37;29;38;32;44;38;54;50;50;67;78;85;90;79;97;105;133;139;156;163;188;225;219;241;254;297;281;299;303;354;332;316;294;262;272;250;292;377;434;399;469;529;501;547;587;593;640;650;677;694;644;604;572;572;512;444;346;223;201;120;69;48;37;29;36;26;14;4;5;3;1;0;0;1;1;9579;57;4;2;1;5;1;1;2;0;1;3;0;4;1;2;4;6;11;11;12;6;14;12;17;12;11;10;12;11;19;10;25;17;22;22;26;28;21;25;23;36;32;40;35;36;46;62;65;74;65;75;81;97;87;117;134;151;156;162;178;178;222;201;216;218;256;233;199;194;173;175;164;166;225;261;223;256;278;275;282;275;267;283;279;287;261;222;216;187;172;157;119;73;57;50;24;12;8;9;7;11;4;1;1;1;0;1;0;0;0;0;8782;42;6;1;2;1;2;1;0;2;1;1;0;1;0;3;0;3;3;3;4;1;3;4;2;0;5;6;4;3;6;2;6;5;3;4;5;9;8;13;9;8;6;14;15;14;21;16;20;16;14;22;24;36;52;39;29;37;69;57;63;76;75;80;83;85;98;99;117;100;89;97;86;126;152;173;176;213;251;226;265;312;326;357;371;390;433;422;388;385;400;355;325;273;166;151;96;57;40;28;22;25;22;13;3;4;3;0;0;0;1;1;
