"Kod";"Nazwa";"ogółem;ogółem;2012;[-]";"ogółem;0;2012;[-]";"ogółem;1;2012;[-]";"ogółem;2;2012;[-]";"ogółem;3;2012;[-]";"ogółem;4;2012;[-]";"ogółem;5;2012;[-]";"ogółem;6;2012;[-]";"ogółem;7;2012;[-]";"ogółem;8;2012;[-]";"ogółem;9;2012;[-]";"ogółem;10;2012;[-]";"ogółem;11;2012;[-]";"ogółem;12;2012;[-]";"ogółem;13;2012;[-]";"ogółem;14;2012;[-]";"ogółem;15;2012;[-]";"ogółem;16;2012;[-]";"ogółem;17;2012;[-]";"ogółem;18;2012;[-]";"ogółem;19;2012;[-]";"ogółem;20;2012;[-]";"ogółem;21;2012;[-]";"ogółem;22;2012;[-]";"ogółem;23;2012;[-]";"ogółem;24;2012;[-]";"ogółem;25;2012;[-]";"ogółem;26;2012;[-]";"ogółem;27;2012;[-]";"ogółem;28;2012;[-]";"ogółem;29;2012;[-]";"ogółem;30;2012;[-]";"ogółem;31;2012;[-]";"ogółem;32;2012;[-]";"ogółem;33;2012;[-]";"ogółem;34;2012;[-]";"ogółem;35;2012;[-]";"ogółem;36;2012;[-]";"ogółem;37;2012;[-]";"ogółem;38;2012;[-]";"ogółem;39;2012;[-]";"ogółem;40;2012;[-]";"ogółem;41;2012;[-]";"ogółem;42;2012;[-]";"ogółem;43;2012;[-]";"ogółem;44;2012;[-]";"ogółem;45;2012;[-]";"ogółem;46;2012;[-]";"ogółem;47;2012;[-]";"ogółem;48;2012;[-]";"ogółem;49;2012;[-]";"ogółem;50;2012;[-]";"ogółem;51;2012;[-]";"ogółem;52;2012;[-]";"ogółem;53;2012;[-]";"ogółem;54;2012;[-]";"ogółem;55;2012;[-]";"ogółem;56;2012;[-]";"ogółem;57;2012;[-]";"ogółem;58;2012;[-]";"ogółem;59;2012;[-]";"ogółem;60;2012;[-]";"ogółem;61;2012;[-]";"ogółem;62;2012;[-]";"ogółem;63;2012;[-]";"ogółem;64;2012;[-]";"ogółem;65;2012;[-]";"ogółem;66;2012;[-]";"ogółem;67;2012;[-]";"ogółem;68;2012;[-]";"ogółem;69;2012;[-]";"ogółem;70;2012;[-]";"ogółem;71;2012;[-]";"ogółem;72;2012;[-]";"ogółem;73;2012;[-]";"ogółem;74;2012;[-]";"ogółem;75;2012;[-]";"ogółem;76;2012;[-]";"ogółem;77;2012;[-]";"ogółem;78;2012;[-]";"ogółem;79;2012;[-]";"ogółem;80;2012;[-]";"ogółem;81;2012;[-]";"ogółem;82;2012;[-]";"ogółem;83;2012;[-]";"ogółem;84;2012;[-]";"ogółem;85;2012;[-]";"ogółem;86;2012;[-]";"ogółem;87;2012;[-]";"ogółem;88;2012;[-]";"ogółem;89;2012;[-]";"ogółem;90;2012;[-]";"ogółem;91;2012;[-]";"ogółem;92;2012;[-]";"ogółem;93;2012;[-]";"ogółem;94;2012;[-]";"ogółem;95;2012;[-]";"ogółem;96;2012;[-]";"ogółem;97;2012;[-]";"ogółem;98;2012;[-]";"ogółem;99;2012;[-]";"ogółem;100;2012;[-]";"ogółem;101;2012;[-]";"ogółem;102;2012;[-]";"ogółem;103;2012;[-]";"ogółem;104;2012;[-]";"ogółem;105;2012;[-]";"ogółem;106;2012;[-]";"ogółem;107;2012;[-]";"ogółem;108;2012;[-]";"ogółem;109;2012;[-]";"ogółem;110 i więcej;2012;[-]";"mężczyźni;ogółem;2012;[-]";"mężczyźni;0;2012;[-]";"mężczyźni;1;2012;[-]";"mężczyźni;2;2012;[-]";"mężczyźni;3;2012;[-]";"mężczyźni;4;2012;[-]";"mężczyźni;5;2012;[-]";"mężczyźni;6;2012;[-]";"mężczyźni;7;2012;[-]";"mężczyźni;8;2012;[-]";"mężczyźni;9;2012;[-]";"mężczyźni;10;2012;[-]";"mężczyźni;11;2012;[-]";"mężczyźni;12;2012;[-]";"mężczyźni;13;2012;[-]";"mężczyźni;14;2012;[-]";"mężczyźni;15;2012;[-]";"mężczyźni;16;2012;[-]";"mężczyźni;17;2012;[-]";"mężczyźni;18;2012;[-]";"mężczyźni;19;2012;[-]";"mężczyźni;20;2012;[-]";"mężczyźni;21;2012;[-]";"mężczyźni;22;2012;[-]";"mężczyźni;23;2012;[-]";"mężczyźni;24;2012;[-]";"mężczyźni;25;2012;[-]";"mężczyźni;26;2012;[-]";"mężczyźni;27;2012;[-]";"mężczyźni;28;2012;[-]";"mężczyźni;29;2012;[-]";"mężczyźni;30;2012;[-]";"mężczyźni;31;2012;[-]";"mężczyźni;32;2012;[-]";"mężczyźni;33;2012;[-]";"mężczyźni;34;2012;[-]";"mężczyźni;35;2012;[-]";"mężczyźni;36;2012;[-]";"mężczyźni;37;2012;[-]";"mężczyźni;38;2012;[-]";"mężczyźni;39;2012;[-]";"mężczyźni;40;2012;[-]";"mężczyźni;41;2012;[-]";"mężczyźni;42;2012;[-]";"mężczyźni;43;2012;[-]";"mężczyźni;44;2012;[-]";"mężczyźni;45;2012;[-]";"mężczyźni;46;2012;[-]";"mężczyźni;47;2012;[-]";"mężczyźni;48;2012;[-]";"mężczyźni;49;2012;[-]";"mężczyźni;50;2012;[-]";"mężczyźni;51;2012;[-]";"mężczyźni;52;2012;[-]";"mężczyźni;53;2012;[-]";"mężczyźni;54;2012;[-]";"mężczyźni;55;2012;[-]";"mężczyźni;56;2012;[-]";"mężczyźni;57;2012;[-]";"mężczyźni;58;2012;[-]";"mężczyźni;59;2012;[-]";"mężczyźni;60;2012;[-]";"mężczyźni;61;2012;[-]";"mężczyźni;62;2012;[-]";"mężczyźni;63;2012;[-]";"mężczyźni;64;2012;[-]";"mężczyźni;65;2012;[-]";"mężczyźni;66;2012;[-]";"mężczyźni;67;2012;[-]";"mężczyźni;68;2012;[-]";"mężczyźni;69;2012;[-]";"mężczyźni;70;2012;[-]";"mężczyźni;71;2012;[-]";"mężczyźni;72;2012;[-]";"mężczyźni;73;2012;[-]";"mężczyźni;74;2012;[-]";"mężczyźni;75;2012;[-]";"mężczyźni;76;2012;[-]";"mężczyźni;77;2012;[-]";"mężczyźni;78;2012;[-]";"mężczyźni;79;2012;[-]";"mężczyźni;80;2012;[-]";"mężczyźni;81;2012;[-]";"mężczyźni;82;2012;[-]";"mężczyźni;83;2012;[-]";"mężczyźni;84;2012;[-]";"mężczyźni;85;2012;[-]";"mężczyźni;86;2012;[-]";"mężczyźni;87;2012;[-]";"mężczyźni;88;2012;[-]";"mężczyźni;89;2012;[-]";"mężczyźni;90;2012;[-]";"mężczyźni;91;2012;[-]";"mężczyźni;92;2012;[-]";"mężczyźni;93;2012;[-]";"mężczyźni;94;2012;[-]";"mężczyźni;95;2012;[-]";"mężczyźni;96;2012;[-]";"mężczyźni;97;2012;[-]";"mężczyźni;98;2012;[-]";"mężczyźni;99;2012;[-]";"mężczyźni;100;2012;[-]";"mężczyźni;101;2012;[-]";"mężczyźni;102;2012;[-]";"mężczyźni;103;2012;[-]";"mężczyźni;104;2012;[-]";"mężczyźni;105;2012;[-]";"mężczyźni;106;2012;[-]";"mężczyźni;107;2012;[-]";"mężczyźni;108;2012;[-]";"mężczyźni;109;2012;[-]";"mężczyźni;110 i więcej;2012;[-]";"kobiety;ogółem;2012;[-]";"kobiety;0;2012;[-]";"kobiety;1;2012;[-]";"kobiety;2;2012;[-]";"kobiety;3;2012;[-]";"kobiety;4;2012;[-]";"kobiety;5;2012;[-]";"kobiety;6;2012;[-]";"kobiety;7;2012;[-]";"kobiety;8;2012;[-]";"kobiety;9;2012;[-]";"kobiety;10;2012;[-]";"kobiety;11;2012;[-]";"kobiety;12;2012;[-]";"kobiety;13;2012;[-]";"kobiety;14;2012;[-]";"kobiety;15;2012;[-]";"kobiety;16;2012;[-]";"kobiety;17;2012;[-]";"kobiety;18;2012;[-]";"kobiety;19;2012;[-]";"kobiety;20;2012;[-]";"kobiety;21;2012;[-]";"kobiety;22;2012;[-]";"kobiety;23;2012;[-]";"kobiety;24;2012;[-]";"kobiety;25;2012;[-]";"kobiety;26;2012;[-]";"kobiety;27;2012;[-]";"kobiety;28;2012;[-]";"kobiety;29;2012;[-]";"kobiety;30;2012;[-]";"kobiety;31;2012;[-]";"kobiety;32;2012;[-]";"kobiety;33;2012;[-]";"kobiety;34;2012;[-]";"kobiety;35;2012;[-]";"kobiety;36;2012;[-]";"kobiety;37;2012;[-]";"kobiety;38;2012;[-]";"kobiety;39;2012;[-]";"kobiety;40;2012;[-]";"kobiety;41;2012;[-]";"kobiety;42;2012;[-]";"kobiety;43;2012;[-]";"kobiety;44;2012;[-]";"kobiety;45;2012;[-]";"kobiety;46;2012;[-]";"kobiety;47;2012;[-]";"kobiety;48;2012;[-]";"kobiety;49;2012;[-]";"kobiety;50;2012;[-]";"kobiety;51;2012;[-]";"kobiety;52;2012;[-]";"kobiety;53;2012;[-]";"kobiety;54;2012;[-]";"kobiety;55;2012;[-]";"kobiety;56;2012;[-]";"kobiety;57;2012;[-]";"kobiety;58;2012;[-]";"kobiety;59;2012;[-]";"kobiety;60;2012;[-]";"kobiety;61;2012;[-]";"kobiety;62;2012;[-]";"kobiety;63;2012;[-]";"kobiety;64;2012;[-]";"kobiety;65;2012;[-]";"kobiety;66;2012;[-]";"kobiety;67;2012;[-]";"kobiety;68;2012;[-]";"kobiety;69;2012;[-]";"kobiety;70;2012;[-]";"kobiety;71;2012;[-]";"kobiety;72;2012;[-]";"kobiety;73;2012;[-]";"kobiety;74;2012;[-]";"kobiety;75;2012;[-]";"kobiety;76;2012;[-]";"kobiety;77;2012;[-]";"kobiety;78;2012;[-]";"kobiety;79;2012;[-]";"kobiety;80;2012;[-]";"kobiety;81;2012;[-]";"kobiety;82;2012;[-]";"kobiety;83;2012;[-]";"kobiety;84;2012;[-]";"kobiety;85;2012;[-]";"kobiety;86;2012;[-]";"kobiety;87;2012;[-]";"kobiety;88;2012;[-]";"kobiety;89;2012;[-]";"kobiety;90;2012;[-]";"kobiety;91;2012;[-]";"kobiety;92;2012;[-]";"kobiety;93;2012;[-]";"kobiety;94;2012;[-]";"kobiety;95;2012;[-]";"kobiety;96;2012;[-]";"kobiety;97;2012;[-]";"kobiety;98;2012;[-]";"kobiety;99;2012;[-]";"kobiety;100;2012;[-]";"kobiety;101;2012;[-]";"kobiety;102;2012;[-]";"kobiety;103;2012;[-]";"kobiety;104;2012;[-]";"kobiety;105;2012;[-]";"kobiety;106;2012;[-]";"kobiety;107;2012;[-]";"kobiety;108;2012;[-]";"kobiety;109;2012;[-]";"kobiety;110 i więcej;2012;[-]";
0000000;"POLSKA";384788;1791;105;87;69;53;55;41;33;37;42;41;37;44;59;82;96;151;161;299;303;310;322;333;352;371;403;425;418;494;469;509;517;565;602;682;701;714;845;908;948;1012;1072;1131;1276;1271;1458;1618;1817;2145;2359;2786;3115;3701;4154;4658;5144;5508;5770;6010;6274;6974;7319;7224;7482;7442;7440;6445;5476;5876;5546;6220;6923;7685;8177;8607;9239;9959;10198;10604;11257;12087;12944;13229;12983;12201;11753;11944;11197;10414;9604;8014;6075;5428;3255;2406;2016;1555;1539;1141;748;513;371;219;122;86;42;27;10;7;4;8;202094;995;61;60;44;31;30;25;19;21;27;26;19;22;38;49;59;102;125;231;238;256;262;274;288;299;342;365;353;387;360;410;403;438;471;525;551;562;654;695;744;783;792;835;962;945;1094;1215;1352;1550;1719;2006;2308;2610;2985;3295;3658;3833;4067;4258;4302;4786;5016;4913;4998;4933;4865;4198;3529;3728;3470;3916;4155;4510;4725;4846;5150;5356;5309;5299;5452;5658;5705;5695;5274;4623;4171;4063;3653;3100;2829;2339;1684;1418;812;595;476;356;373;233;158;101;74;52;23;21;8;7;0;2;4;3;182694;796;44;27;25;22;25;16;14;16;15;15;18;22;21;33;37;49;36;68;65;54;60;59;64;72;61;60;65;107;109;99;114;127;131;157;150;152;191;213;204;229;280;296;314;326;364;403;465;595;640;780;807;1091;1169;1363;1486;1675;1703;1752;1972;2188;2303;2311;2484;2509;2575;2247;1947;2148;2076;2304;2768;3175;3452;3761;4089;4603;4889;5305;5805;6429;7239;7534;7709;7578;7582;7881;7544;7314;6775;5675;4391;4010;2443;1811;1540;1199;1166;908;590;412;297;167;99;65;34;20;10;5;0;5;
0200000;"DOLNOŚLĄSKIE";30446;171;3;10;6;2;7;2;1;2;2;4;2;2;6;7;5;12;12;27;24;16;22;31;26;34;33;22;35;55;37;38;36;37;48;54;53;60;69;67;65;75;84;78;91;90;96;107;124;176;188;239;251;313;342;439;387;520;506;512;573;661;676;664;682;647;623;517;380;437;395;450;524;550;602;612;668;792;809;767;867;932;1033;1007;1055;998;955;979;871;821;751;614;433;412;247;148;129;90;98;77;45;41;17;15;6;7;1;3;0;1;1;0;15720;91;1;6;3;2;5;0;0;2;2;2;0;2;2;3;3;8;4;20;19;14;18;26;21;27;26;22;32;43;25;31;32;29;33;41;43;45;54;48;53;58;57;53;61;68;73;82;86;134;135;173;182;231;247;299;274;348;347;380;386;450;450;469;457;421;421;320;227;275;242;289;294;296;337;324;351;392;420;366;421;419;429;386;400;339;321;288;281;263;198;183;138;116;66;43;32;22;24;13;7;3;3;5;2;1;0;2;0;1;1;0;14726;80;2;4;3;0;2;2;1;0;0;2;2;0;4;4;2;4;8;7;5;2;4;5;5;7;7;0;3;12;12;7;4;8;15;13;10;15;15;19;12;17;27;25;30;22;23;25;38;42;53;66;69;82;95;140;113;172;159;132;187;211;226;195;225;226;202;197;153;162;153;161;230;254;265;288;317;400;389;401;446;513;604;621;655;659;634;691;590;558;553;431;295;296;181;105;97;68;74;64;38;38;14;10;4;6;1;1;0;0;0;0;
0400000;"KUJAWSKO-POMORSKIE";20436;100;5;5;6;4;1;2;3;3;1;2;2;1;3;2;2;15;7;14;16;22;12;20;14;15;26;28;24;23;29;24;30;30;29;44;42;36;53;45;43;63;59;76;60;75;53;98;105;112;138;145;151;199;247;253;293;322;311;343;354;406;394;454;421;410;439;365;296;341;317;351;374;388;482;438;496;503;499;584;582;551;645;676;630;609;583;540;557;557;477;414;319;286;175;132;127;106;99;68;40;22;25;9;3;0;1;2;1;1;0;1;10639;50;4;3;5;2;0;2;1;2;1;1;0;1;3;1;1;10;4;10;13;19;9;17;9;13;21;21;21;14;24;21;21;28;21;30;33;30;39;32;31;40;40;55;41;52;40;66;82;78;97;100;119;135;170;172;192;229;225;229;239;269;255;307;264;265;271;235;192;211;201;210;224;215;280;249;278;274;280;299;268;251;268;301;246;231;203;189;198;155;142;121;81;69;47;19;27;24;20;12;8;3;5;1;0;0;1;0;0;0;0;1;9797;50;1;2;1;2;1;0;2;1;0;1;2;0;0;1;1;5;3;4;3;3;3;3;5;2;5;7;3;9;5;3;9;2;8;14;9;6;14;13;12;23;19;21;19;23;13;32;23;34;41;45;32;64;77;81;101;93;86;114;115;137;139;147;157;145;168;130;104;130;116;141;150;173;202;189;218;229;219;285;314;300;377;375;384;378;380;351;359;402;335;293;238;217;128;113;100;82;79;56;32;19;20;8;3;0;0;2;1;1;0;0;
0600000;"LUBELSKIE";22562;91;8;7;3;2;5;5;0;1;5;0;4;4;4;10;2;8;10;19;20;17;21;22;28;26;34;27;33;30;32;40;33;45;30;45;42;43;47;54;65;51;71;57;82;68;82;99;100;103;138;148;171;197;225;226;289;277;287;316;344;341;408;350;353;398;383;334;332;328;274;323;390;383;464;511;550;540;565;617;685;680;785;823;860;786;817;773;731;675;609;551;411;382;249;166;125;88;86;64;45;19;24;15;8;2;4;0;1;1;0;0;11846;53;5;4;2;1;4;4;0;1;2;0;2;2;3;6;0;4;7;16;16;14;16;20;25;22;27;21;29;23;23;33;24;38;25;35;29;36;34;44;52;38;55;45;69;51;64;76;76;76;94;109;130;155;164;175;216;203;199;229;250;248;280;228;243;281;258;223;229;221;165;209;240;222;286;288;338;294;301;303;339;329;374;363;342;302;315;294;236;163;169;154;112;91;72;38;36;19;27;17;10;2;6;2;1;0;0;0;0;0;0;0;10716;38;3;3;1;1;1;1;0;0;3;0;2;2;1;4;2;4;3;3;4;3;5;2;3;4;7;6;4;7;9;7;9;7;5;10;13;7;13;10;13;13;16;12;13;17;18;23;24;27;44;39;41;42;61;51;73;74;88;87;94;93;128;122;110;117;125;111;103;107;109;114;150;161;178;223;212;246;264;314;346;351;411;460;518;484;502;479;495;512;440;397;299;291;177;128;89;69;59;47;35;17;18;13;7;2;4;0;1;1;0;0;
0800000;"LUBUSKIE";9607;62;6;2;1;1;2;2;1;0;1;0;2;3;0;5;3;4;7;9;5;10;9;8;8;7;12;7;13;10;15;10;14;18;18;18;14;22;24;23;24;27;27;26;41;37;47;45;46;59;59;86;89;110;106;153;152;185;187;161;168;192;203;206;230;210;215;167;150;132;106;171;174;179;177;216;215;249;248;265;244;279;317;288;300;267;259;289;280;238;226;175;131;113;80;43;42;31;33;21;15;8;4;5;1;1;0;1;0;0;0;0;5092;35;0;2;1;1;1;2;1;0;0;0;1;2;0;3;2;2;6;6;3;10;8;8;6;7;11;6;10;8;12;10;10;13;13;14;7;17;18;17;17;18;21;20;32;27;31;32;34;36;36;61;67;77;76;101;112;124;135;112;108;134;145;137;145;144;142;111;98;79;71;104;115;91;93;119;111;138;118;136;128;135;132;127;108;100;88;89;71;75;80;41;41;32;15;12;8;5;7;6;4;1;1;4;0;1;0;0;0;0;0;0;4515;27;6;0;0;0;1;0;0;0;1;0;1;1;0;2;1;2;1;3;2;0;1;0;2;0;1;1;3;2;3;0;4;5;5;4;7;5;6;6;7;9;6;6;9;10;16;13;12;23;23;25;22;33;30;52;40;61;52;49;60;58;58;69;85;66;73;56;52;53;35;67;59;88;84;97;104;111;130;129;116;144;185;161;192;167;171;200;209;163;146;134;90;81;65;31;34;26;26;15;11;7;3;1;1;0;0;1;0;0;0;0;
1000000;"ŁÓDZKIE";31352;101;4;4;9;4;4;4;3;0;2;3;5;3;5;4;8;14;15;14;14;22;19;25;24;32;34;33;29;22;33;41;40;41;65;61;78;72;82;72;92;80;78;127;122;95;122;155;174;188;196;232;259;329;363;374;466;475;492;474;506;565;606;553;620;619;678;598;450;471;453;481;505;595;554;642;689;746;773;797;919;964;1068;1020;1087;1029;944;983;960;870;846;650;506;476;292;222;188;116;130;101;49;30;35;16;4;5;2;0;0;0;0;1;16177;56;3;3;4;2;2;3;1;0;0;0;4;1;4;2;5;10;11;13;10;18;16;22;20;26;31;25;22;17;27;31;31;32;52;50;58;59;66;48;72;69;56;90;98;72;85;118;129;137;153;168;185;243;261;279;329;336;340;334;354;388;411;367;389;401;452;394;284;298;290;291;301;346;309;353;354;379;370;390;428;437;446;393;416;384;321;329;323;249;236;225;125;123;69;50;43;32;34;22;12;4;8;5;1;1;0;0;0;0;0;1;15175;45;1;1;5;2;2;1;2;0;2;3;1;2;1;2;3;4;4;1;4;4;3;3;4;6;3;8;7;5;6;10;9;9;13;11;20;13;16;24;20;11;22;37;24;23;37;37;45;51;43;64;74;86;102;95;137;139;152;140;152;177;195;186;231;218;226;204;166;173;163;190;204;249;245;289;335;367;403;407;491;527;622;627;671;645;623;654;637;621;610;425;381;353;223;172;145;84;96;79;37;26;27;11;3;4;2;0;0;0;0;0;
1200000;"MAŁOPOLSKIE";30588;134;10;8;8;3;1;5;2;3;4;4;3;2;5;7;4;9;14;24;31;26;22;21;31;26;25;29;27;26;19;33;37;40;43;44;36;56;63;62;75;77;74;81;93;94;128;116;135;174;176;196;225;260;333;278;373;350;377;401;380;465;511;508;528;485;541;474;473;484;431;428;525;641;680;667;697;865;886;885;942;1129;1142;1108;1059;1083;1045;970;936;941;813;690;524;435;291;186;157;139;150;111;85;48;30;26;16;7;6;2;0;0;0;0;16113;70;6;6;4;2;1;3;2;1;4;4;2;1;2;5;1;8;11;20;21;21;17;14;24;22;21;26;24;22;13;23;26;30;35;36;26;48;51;48;55;63;57;61;72;68;103;93;102;122;126;134;177;179;254;184;279;263;258;299;270;323;371;356;356;347;348;317;309;324;277;257;323;408;402;369;418;487;451;438;459;555;511;511;452;408;374;362;328;308;257;216;154;119;75;49;43;32;34;22;19;11;7;2;2;1;1;0;0;0;0;0;14475;64;4;2;4;1;0;2;0;2;0;0;1;1;3;2;3;1;3;4;10;5;5;7;7;4;4;3;3;4;6;10;11;10;8;8;10;8;12;14;20;14;17;20;21;26;25;23;33;52;50;62;48;81;79;94;94;87;119;102;110;142;140;152;172;138;193;157;164;160;154;171;202;233;278;298;279;378;435;447;483;574;631;597;607;675;671;608;608;633;556;474;370;316;216;137;114;107;116;89;66;37;23;24;14;6;5;2;0;0;0;0;
1400000;"MAZOWIECKIE";54454;248;14;11;6;10;7;4;6;7;4;3;6;7;3;14;20;15;27;37;43;47;46;39;49;48;54;55;57;73;57;70;81;86;94;84;106;106;113;116;123;143;170;138;174;192;183;187;245;279;318;378;429;468;553;643;682;728;797;822;856;940;945;928;955;970;951;881;771;805;728;752;864;999;1138;1059;1334;1303;1358;1519;1580;1712;1865;2072;1938;1821;1762;1918;1739;1550;1488;1245;923;883;512;423;345;301;254;176;125;90;60;36;23;17;9;3;1;1;0;1;28300;138;8;11;5;3;2;2;3;3;1;2;2;2;2;9;14;14;23;27;34;41;37;29;40;39;47;48;46;56;46;53;61;60;77;61;87;83;84;99;100;110;129;106;141;144;137;145;186;209;237;283;320;343;409;473;503;503;590;579;580;650;643;632;638;621;593;568;482;506;459;457;511;584;638;576;713;701;711;738;765;801;826;931;822;719;684;666;599;513;486;376;276;224;136;114;89;58;58;31;26;26;10;5;4;6;1;1;0;0;0;0;26154;110;6;0;1;7;5;2;3;4;3;1;4;5;1;5;6;1;4;10;9;6;9;10;9;9;7;7;11;17;11;17;20;26;17;23;19;23;29;17;23;33;41;32;33;48;46;42;59;70;81;95;109;125;144;170;179;225;207;243;276;290;302;296;317;349;358;313;289;299;269;295;353;415;500;483;621;602;647;781;815;911;1039;1141;1116;1102;1078;1252;1140;1037;1002;869;647;659;376;309;256;243;196;145;99;64;50;31;19;11;8;2;1;1;0;1;
1600000;"OPOLSKIE";10180;55;2;1;1;1;1;0;0;3;0;0;0;1;0;2;3;3;5;5;9;4;8;6;7;7;11;17;4;11;9;6;9;7;14;15;18;19;23;17;25;19;25;30;24;30;40;42;46;49;59;78;76;96;102;94;124;128;133;152;170;200;176;175;191;215;197;147;139;157;149;205;216;259;259;282;291;321;304;305;338;366;344;372;363;328;297;251;262;243;240;217;137;123;64;44;39;32;26;16;18;10;6;3;3;2;0;2;0;0;0;0;5250;31;1;0;0;0;1;0;0;2;0;0;0;1;0;1;2;2;4;2;9;3;5;2;5;6;10;14;4;7;8;5;8;5;9;11;13;16;18;13;18;14;20;24;17;20;30;32;35;40;48;56;51;63;71;58;81;93;90;106;119;136;126;115;120;150;131;103;95;107;100;134;141;153;153;147;164;175;160;160;160;176;144;153;129;104;91;74;62;64;65;57;28;26;13;12;3;1;6;2;2;2;1;1;0;0;0;0;0;0;0;0;4930;24;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;3;0;1;3;4;2;1;1;3;0;4;1;1;1;2;5;4;5;3;5;4;7;5;5;6;7;10;10;10;11;9;11;22;25;33;31;36;43;35;43;46;51;64;50;60;71;65;66;44;44;50;49;71;75;106;106;135;127;146;144;145;178;190;200;219;234;224;206;177;200;179;175;160;109;97;51;32;36;31;20;14;16;8;5;2;3;2;0;2;0;0;0;0;
1800000;"PODKARPACKIE";18402;107;5;5;4;0;3;3;3;1;4;3;2;2;6;2;7;10;12;19;19;16;27;12;21;16;27;17;20;18;26;28;31;24;28;36;31;34;35;37;42;34;41;56;55;64;75;70;92;99;79;116;156;134;170;180;194;182;236;247;222;229;307;265;279;289;328;268;264;254;221;272;348;359;373;456;471;534;536;512;547;698;673;688;712;629;619;650;607;545;521;411;317;286;176;112;91;71;68;63;34;26;23;15;5;2;1;1;1;0;0;0;9591;61;5;2;3;0;1;2;1;1;4;2;0;0;4;1;4;7;11;16;16;14;20;9;16;14;21;14;14;17;22;24;27;21;22;28;27;24;29;31;37;24;30;44;38;54;52;54;67;71;55;91;125;98;129;128;152;124;168;186;153;152;215;181;199;173;218;171;181;180;131;176;209;223;218;262;267;309;281;274;274;336;303;297;304;247;225;226;180;164;155;110;91;80;40;32;21;22;14;13;5;7;5;4;1;0;0;0;0;0;0;0;8811;46;0;3;1;0;2;1;2;0;0;1;2;2;2;1;3;3;1;3;3;2;7;3;5;2;6;3;6;1;4;4;4;3;6;8;4;10;6;6;5;10;11;12;17;10;23;16;25;28;24;25;31;36;41;52;42;58;68;61;69;77;92;84;80;116;110;97;83;74;90;96;139;136;155;194;204;225;255;238;273;362;370;391;408;382;394;424;427;381;366;301;226;206;136;80;70;49;54;50;29;19;18;11;4;2;1;1;1;0;0;0;
