"Kod";"Nazwa";"ogółem;ogółem;2018;[-]";"ogółem;0;2018;[-]";"ogółem;1;2018;[-]";"ogółem;2;2018;[-]";"ogółem;3;2018;[-]";"ogółem;4;2018;[-]";"ogółem;5;2018;[-]";"ogółem;6;2018;[-]";"ogółem;7;2018;[-]";"ogółem;8;2018;[-]";"ogółem;9;2018;[-]";"ogółem;10;2018;[-]";"ogółem;11;2018;[-]";"ogółem;12;2018;[-]";"ogółem;13;2018;[-]";"ogółem;14;2018;[-]";"ogółem;15;2018;[-]";"ogółem;16;2018;[-]";"ogółem;17;2018;[-]";"ogółem;18;2018;[-]";"ogółem;19;2018;[-]";"ogółem;20;2018;[-]";"ogółem;21;2018;[-]";"ogółem;22;2018;[-]";"ogółem;23;2018;[-]";"ogółem;24;2018;[-]";"ogółem;25;2018;[-]";"ogółem;26;2018;[-]";"ogółem;27;2018;[-]";"ogółem;28;2018;[-]";"ogółem;29;2018;[-]";"ogółem;30;2018;[-]";"ogółem;31;2018;[-]";"ogółem;32;2018;[-]";"ogółem;33;2018;[-]";"ogółem;34;2018;[-]";"ogółem;35;2018;[-]";"ogółem;36;2018;[-]";"ogółem;37;2018;[-]";"ogółem;38;2018;[-]";"ogółem;39;2018;[-]";"ogółem;40;2018;[-]";"ogółem;41;2018;[-]";"ogółem;42;2018;[-]";"ogółem;43;2018;[-]";"ogółem;44;2018;[-]";"ogółem;45;2018;[-]";"ogółem;46;2018;[-]";"ogółem;47;2018;[-]";"ogółem;48;2018;[-]";"ogółem;49;2018;[-]";"ogółem;50;2018;[-]";"ogółem;51;2018;[-]";"ogółem;52;2018;[-]";"ogółem;53;2018;[-]";"ogółem;54;2018;[-]";"ogółem;55;2018;[-]";"ogółem;56;2018;[-]";"ogółem;57;2018;[-]";"ogółem;58;2018;[-]";"ogółem;59;2018;[-]";"ogółem;60;2018;[-]";"ogółem;61;2018;[-]";"ogółem;62;2018;[-]";"ogółem;63;2018;[-]";"ogółem;64;2018;[-]";"ogółem;65;2018;[-]";"ogółem;66;2018;[-]";"ogółem;67;2018;[-]";"ogółem;68;2018;[-]";"ogółem;69;2018;[-]";"ogółem;70;2018;[-]";"ogółem;71;2018;[-]";"ogółem;72;2018;[-]";"ogółem;73;2018;[-]";"ogółem;74;2018;[-]";"ogółem;75;2018;[-]";"ogółem;76;2018;[-]";"ogółem;77;2018;[-]";"ogółem;78;2018;[-]";"ogółem;79;2018;[-]";"ogółem;80;2018;[-]";"ogółem;81;2018;[-]";"ogółem;82;2018;[-]";"ogółem;83;2018;[-]";"ogółem;84;2018;[-]";"ogółem;85;2018;[-]";"ogółem;86;2018;[-]";"ogółem;87;2018;[-]";"ogółem;88;2018;[-]";"ogółem;89;2018;[-]";"ogółem;90;2018;[-]";"ogółem;91;2018;[-]";"ogółem;92;2018;[-]";"ogółem;93;2018;[-]";"ogółem;94;2018;[-]";"ogółem;95;2018;[-]";"ogółem;96;2018;[-]";"ogółem;97;2018;[-]";"ogółem;98;2018;[-]";"ogółem;99;2018;[-]";"ogółem;100;2018;[-]";"ogółem;101;2018;[-]";"ogółem;102;2018;[-]";"ogółem;103;2018;[-]";"ogółem;104;2018;[-]";"ogółem;105;2018;[-]";"ogółem;106;2018;[-]";"ogółem;107;2018;[-]";"ogółem;108;2018;[-]";"ogółem;109;2018;[-]";"ogółem;110 i więcej;2018;[-]";"mężczyźni;ogółem;2018;[-]";"mężczyźni;0;2018;[-]";"mężczyźni;1;2018;[-]";"mężczyźni;2;2018;[-]";"mężczyźni;3;2018;[-]";"mężczyźni;4;2018;[-]";"mężczyźni;5;2018;[-]";"mężczyźni;6;2018;[-]";"mężczyźni;7;2018;[-]";"mężczyźni;8;2018;[-]";"mężczyźni;9;2018;[-]";"mężczyźni;10;2018;[-]";"mężczyźni;11;2018;[-]";"mężczyźni;12;2018;[-]";"mężczyźni;13;2018;[-]";"mężczyźni;14;2018;[-]";"mężczyźni;15;2018;[-]";"mężczyźni;16;2018;[-]";"mężczyźni;17;2018;[-]";"mężczyźni;18;2018;[-]";"mężczyźni;19;2018;[-]";"mężczyźni;20;2018;[-]";"mężczyźni;21;2018;[-]";"mężczyźni;22;2018;[-]";"mężczyźni;23;2018;[-]";"mężczyźni;24;2018;[-]";"mężczyźni;25;2018;[-]";"mężczyźni;26;2018;[-]";"mężczyźni;27;2018;[-]";"mężczyźni;28;2018;[-]";"mężczyźni;29;2018;[-]";"mężczyźni;30;2018;[-]";"mężczyźni;31;2018;[-]";"mężczyźni;32;2018;[-]";"mężczyźni;33;2018;[-]";"mężczyźni;34;2018;[-]";"mężczyźni;35;2018;[-]";"mężczyźni;36;2018;[-]";"mężczyźni;37;2018;[-]";"mężczyźni;38;2018;[-]";"mężczyźni;39;2018;[-]";"mężczyźni;40;2018;[-]";"mężczyźni;41;2018;[-]";"mężczyźni;42;2018;[-]";"mężczyźni;43;2018;[-]";"mężczyźni;44;2018;[-]";"mężczyźni;45;2018;[-]";"mężczyźni;46;2018;[-]";"mężczyźni;47;2018;[-]";"mężczyźni;48;2018;[-]";"mężczyźni;49;2018;[-]";"mężczyźni;50;2018;[-]";"mężczyźni;51;2018;[-]";"mężczyźni;52;2018;[-]";"mężczyźni;53;2018;[-]";"mężczyźni;54;2018;[-]";"mężczyźni;55;2018;[-]";"mężczyźni;56;2018;[-]";"mężczyźni;57;2018;[-]";"mężczyźni;58;2018;[-]";"mężczyźni;59;2018;[-]";"mężczyźni;60;2018;[-]";"mężczyźni;61;2018;[-]";"mężczyźni;62;2018;[-]";"mężczyźni;63;2018;[-]";"mężczyźni;64;2018;[-]";"mężczyźni;65;2018;[-]";"mężczyźni;66;2018;[-]";"mężczyźni;67;2018;[-]";"mężczyźni;68;2018;[-]";"mężczyźni;69;2018;[-]";"mężczyźni;70;2018;[-]";"mężczyźni;71;2018;[-]";"mężczyźni;72;2018;[-]";"mężczyźni;73;2018;[-]";"mężczyźni;74;2018;[-]";"mężczyźni;75;2018;[-]";"mężczyźni;76;2018;[-]";"mężczyźni;77;2018;[-]";"mężczyźni;78;2018;[-]";"mężczyźni;79;2018;[-]";"mężczyźni;80;2018;[-]";"mężczyźni;81;2018;[-]";"mężczyźni;82;2018;[-]";"mężczyźni;83;2018;[-]";"mężczyźni;84;2018;[-]";"mężczyźni;85;2018;[-]";"mężczyźni;86;2018;[-]";"mężczyźni;87;2018;[-]";"mężczyźni;88;2018;[-]";"mężczyźni;89;2018;[-]";"mężczyźni;90;2018;[-]";"mężczyźni;91;2018;[-]";"mężczyźni;92;2018;[-]";"mężczyźni;93;2018;[-]";"mężczyźni;94;2018;[-]";"mężczyźni;95;2018;[-]";"mężczyźni;96;2018;[-]";"mężczyźni;97;2018;[-]";"mężczyźni;98;2018;[-]";"mężczyźni;99;2018;[-]";"mężczyźni;100;2018;[-]";"mężczyźni;101;2018;[-]";"mężczyźni;102;2018;[-]";"mężczyźni;103;2018;[-]";"mężczyźni;104;2018;[-]";"mężczyźni;105;2018;[-]";"mężczyźni;106;2018;[-]";"mężczyźni;107;2018;[-]";"mężczyźni;108;2018;[-]";"mężczyźni;109;2018;[-]";"mężczyźni;110 i więcej;2018;[-]";"kobiety;ogółem;2018;[-]";"kobiety;0;2018;[-]";"kobiety;1;2018;[-]";"kobiety;2;2018;[-]";"kobiety;3;2018;[-]";"kobiety;4;2018;[-]";"kobiety;5;2018;[-]";"kobiety;6;2018;[-]";"kobiety;7;2018;[-]";"kobiety;8;2018;[-]";"kobiety;9;2018;[-]";"kobiety;10;2018;[-]";"kobiety;11;2018;[-]";"kobiety;12;2018;[-]";"kobiety;13;2018;[-]";"kobiety;14;2018;[-]";"kobiety;15;2018;[-]";"kobiety;16;2018;[-]";"kobiety;17;2018;[-]";"kobiety;18;2018;[-]";"kobiety;19;2018;[-]";"kobiety;20;2018;[-]";"kobiety;21;2018;[-]";"kobiety;22;2018;[-]";"kobiety;23;2018;[-]";"kobiety;24;2018;[-]";"kobiety;25;2018;[-]";"kobiety;26;2018;[-]";"kobiety;27;2018;[-]";"kobiety;28;2018;[-]";"kobiety;29;2018;[-]";"kobiety;30;2018;[-]";"kobiety;31;2018;[-]";"kobiety;32;2018;[-]";"kobiety;33;2018;[-]";"kobiety;34;2018;[-]";"kobiety;35;2018;[-]";"kobiety;36;2018;[-]";"kobiety;37;2018;[-]";"kobiety;38;2018;[-]";"kobiety;39;2018;[-]";"kobiety;40;2018;[-]";"kobiety;41;2018;[-]";"kobiety;42;2018;[-]";"kobiety;43;2018;[-]";"kobiety;44;2018;[-]";"kobiety;45;2018;[-]";"kobiety;46;2018;[-]";"kobiety;47;2018;[-]";"kobiety;48;2018;[-]";"kobiety;49;2018;[-]";"kobiety;50;2018;[-]";"kobiety;51;2018;[-]";"kobiety;52;2018;[-]";"kobiety;53;2018;[-]";"kobiety;54;2018;[-]";"kobiety;55;2018;[-]";"kobiety;56;2018;[-]";"kobiety;57;2018;[-]";"kobiety;58;2018;[-]";"kobiety;59;2018;[-]";"kobiety;60;2018;[-]";"kobiety;61;2018;[-]";"kobiety;62;2018;[-]";"kobiety;63;2018;[-]";"kobiety;64;2018;[-]";"kobiety;65;2018;[-]";"kobiety;66;2018;[-]";"kobiety;67;2018;[-]";"kobiety;68;2018;[-]";"kobiety;69;2018;[-]";"kobiety;70;2018;[-]";"kobiety;71;2018;[-]";"kobiety;72;2018;[-]";"kobiety;73;2018;[-]";"kobiety;74;2018;[-]";"kobiety;75;2018;[-]";"kobiety;76;2018;[-]";"kobiety;77;2018;[-]";"kobiety;78;2018;[-]";"kobiety;79;2018;[-]";"kobiety;80;2018;[-]";"kobiety;81;2018;[-]";"kobiety;82;2018;[-]";"kobiety;83;2018;[-]";"kobiety;84;2018;[-]";"kobiety;85;2018;[-]";"kobiety;86;2018;[-]";"kobiety;87;2018;[-]";"kobiety;88;2018;[-]";"kobiety;89;2018;[-]";"kobiety;90;2018;[-]";"kobiety;91;2018;[-]";"kobiety;92;2018;[-]";"kobiety;93;2018;[-]";"kobiety;94;2018;[-]";"kobiety;95;2018;[-]";"kobiety;96;2018;[-]";"kobiety;97;2018;[-]";"kobiety;98;2018;[-]";"kobiety;99;2018;[-]";"kobiety;100;2018;[-]";"kobiety;101;2018;[-]";"kobiety;102;2018;[-]";"kobiety;103;2018;[-]";"kobiety;104;2018;[-]";"kobiety;105;2018;[-]";"kobiety;106;2018;[-]";"kobiety;107;2018;[-]";"kobiety;108;2018;[-]";"kobiety;109;2018;[-]";"kobiety;110 i więcej;2018;[-]";
0000000;"POLSKA";414200;1494;92;61;52;34;32;33;31;50;36;39;50;44;60;72;72;96;123;179;203;225;250;248;220;301;316;308;370;375;437;449;516;567;573;737;732;724;779;916;1021;1110;1147;1261;1293;1369;1461;1576;1671;1743;1894;2051;2134;2476;2722;3067;3400;3867;4470;5200;5956;6623;7088;7465;8219;8266;8819;9487;9552;9755;9582;9733;9563;8172;6896;7537;7456;8324;9027;9742;10496;10979;11740;12277;12636;12780;13042;13576;13837;12984;12034;10508;9101;8275;7054;5603;4459;3138;2020;1483;753;413;316;219;169;93;53;37;14;7;8;5;213647;834;53;32;31;16;16;16;20;29;24;22;24;25;30;44;49;64;79;128;144;177;187;203;173;242;256;252;280;303;363;345;420;444;464;549;583;558;586;703;785;833;894;994;983;992;1089;1161;1250;1258;1397;1513;1526;1780;1969;2239;2395;2791;3096;3581;4127;4477;4751;5040;5479;5582;5926;6270;6228;6155;6045;5986;5781;4857;3982;4308;4115;4588;4828;5031;5190;5309;5419;5416;5313;5209;4987;5060;4809;4450;3798;3170;2508;2228;1745;1377;1000;682;438;317;146;74;52;42;25;15;9;3;1;2;2;1;200553;660;39;29;21;18;16;17;11;21;12;17;26;19;30;28;23;32;44;51;59;48;63;45;47;59;60;56;90;72;74;104;96;123;109;188;149;166;193;213;236;277;253;267;310;377;372;415;421;485;497;538;608;696;753;828;1005;1076;1374;1619;1829;2146;2337;2425;2740;2684;2893;3217;3324;3600;3537;3747;3782;3315;2914;3229;3341;3736;4199;4711;5306;5670;6321;6861;7323;7571;8055;8516;9028;8534;8236;7338;6593;6047;5309;4226;3459;2456;1582;1166;607;339;264;177;144;78;44;34;13;5;6;4;
0200000;"DOLNOŚLĄSKIE";32991;118;4;6;9;4;3;2;3;2;3;3;4;3;7;5;6;1;8;11;13;16;34;18;16;27;23;17;27;36;43;32;40;36;45;61;77;64;66;77;89;82;99;91;107;105;119;125;123;141;156;159;177;212;246;247;259;296;376;432;484;602;569;695;723;791;802;874;839;830;891;861;811;616;529;601;493;600;651;690;780;793;875;917;948;884;965;995;996;1048;945;854;748;678;554;462;335;253;155;106;62;24;18;16;4;5;4;3;1;0;0;0;16854;65;2;4;4;3;1;1;2;1;3;2;1;2;3;4;5;1;7;8;11;12;29;14;11;23;18;14;19;27;33;23;32;25;38;41;60;47;47;57;64;58;79;73;91;68;85;90;87;103;102;111;123;160;176;181;186;217;256;297;328;415;377;479;461;538;570;578;543;501;546;535;494;372;300;325;271;305;348;341;366;377;387;361;385;354;358;360;305;334;255;231;205;184;133;107;76;52;41;26;11;6;4;2;0;0;0;0;0;0;0;0;16137;53;2;2;5;1;2;1;1;1;0;1;3;1;4;1;1;0;1;3;2;4;5;4;5;4;5;3;8;9;10;9;8;11;7;20;17;17;19;20;25;24;20;18;16;37;34;35;36;38;54;48;54;52;70;66;73;79;120;135;156;187;192;216;262;253;232;296;296;329;345;326;317;244;229;276;222;295;303;349;414;416;488;556;563;530;607;635;691;714;690;623;543;494;421;355;259;201;114;80;51;18;14;14;4;5;4;3;1;0;0;0;
0400000;"KUJAWSKO-POMORSKIE";22629;78;2;2;2;6;2;1;2;1;2;2;4;4;8;4;3;3;6;16;17;15;22;13;13;18;20;19;18;21;25;21;28;38;24;34;43;38;36;46;56;57;49;56;78;76;79;81;103;81;102;93;111;134;149;168;207;209;264;315;328;392;429;428;488;469;484;521;561;548;579;549;553;482;369;445;444;469;497;505;589;578;639;655;612;694;670;672;743;681;613;536;488;427;353;307;217;176;101;96;40;23;20;13;8;4;2;2;2;1;2;0;11658;40;0;0;1;4;2;0;2;0;1;1;3;3;5;2;2;3;3;14;13;14;16;11;11;12;15;16;15;18;24;18;25;29;21;23;36;31;32;31;42;42;38;46;53;55;63;57;77;57;71;63;76;85;104;122;138;150;167;198;227;269;286;286;319;310;322;349;346;328;368;311;335;278;229;259;255;265;255;262;303;269;288;293;262;295;232;245;263;258;199;154;134;104;84;76;47;41;14;17;9;2;4;2;2;0;0;0;0;1;0;0;10971;38;2;2;1;2;0;1;0;1;1;1;1;1;3;2;1;0;3;2;4;1;6;2;2;6;5;3;3;3;1;3;3;9;3;11;7;7;4;15;14;15;11;10;25;21;16;24;26;24;31;30;35;49;45;46;69;59;97;117;101;123;143;142;169;159;162;172;215;220;211;238;218;204;140;186;189;204;242;243;286;309;351;362;350;399;438;427;480;423;414;382;354;323;269;231;170;135;87;79;31;21;16;11;6;4;2;2;2;0;2;0;
0600000;"LUBELSKIE";23682;85;4;8;2;0;2;3;0;2;1;1;0;4;4;4;3;7;14;13;9;8;14;15;13;17;17;26;34;25;23;15;28;32;39;42;46;34;40;64;60;65;67;74;73;74;78;96;98;85;104;116;124;138;142;167;195;193;244;274;322;344;357;342;441;474;489;459;508;470;457;488;474;436;416;437;410;470;539;583;552;616;632;696;756;811;822;884;833;798;778;672;569;589;428;330;267;212;116;91;59;23;24;19;9;4;4;5;1;0;1;0;12297;43;2;4;2;0;1;1;0;1;0;1;0;2;3;2;3;7;6;9;5;6;13;11;13;15;16;20;24;20;21;12;24;26;29;33;41;24;29;48;54;51;55;60;56;58;62;71;76;67;76;88;96;105;104;127;132;143;181;205;242;256;240;258;315;327;352;298;340;318;299;313;299;261;254;250;230;285;291;316;281;320;300;326;306;341;303;295;269;269;256;211;153;169;111;81;66;51;24;16;8;2;4;2;3;1;1;0;0;0;0;0;11385;42;2;4;0;0;1;2;0;1;1;0;0;2;1;2;0;0;8;4;4;2;1;4;0;2;1;6;10;5;2;3;4;6;10;9;5;10;11;16;6;14;12;14;17;16;16;25;22;18;28;28;28;33;38;40;63;50;63;69;80;88;117;84;126;147;137;161;168;152;158;175;175;175;162;187;180;185;248;267;271;296;332;370;450;470;519;589;564;529;522;461;416;420;317;249;201;161;92;75;51;21;20;17;6;3;3;5;1;0;1;0;
0800000;"LUBUSKIE";10981;40;2;1;3;2;1;0;0;1;2;0;3;1;0;2;1;3;2;3;7;9;7;10;5;4;17;10;6;11;19;16;15;18;15;24;26;29;21;27;33;35;19;28;23;32;53;41;44;50;55;58;63;64;91;98;90;112;124;133;190;210;221;266;280;226;296;267;266;318;300;321;247;207;157;175;170;194;219;214;238;299;276;317;320;320;338;313;317;323;261;251;222;188;179;136;128;86;40;34;15;8;9;4;4;1;0;0;0;0;0;1;5682;24;1;0;2;0;0;0;0;1;2;0;1;1;0;1;1;3;1;3;3;5;5;7;3;3;11;7;6;8;16;11;13;15;11;16;23;24;17;22;25;26;15;21;18;24;45;32;33;36;39;40;44;47;70;69;62;83;90;89;116;129;145;186;181;154;202;170;174;199;201;204;147;133;84;99;98;99;108;121;123;133;125;140;133;115;137;105;106;97;62;63;51;40;36;31;24;12;10;11;1;1;1;0;0;0;0;0;0;0;0;0;5299;16;1;1;1;2;1;0;0;0;0;0;2;0;0;1;0;0;1;0;4;4;2;3;2;1;6;3;0;3;3;5;2;3;4;8;3;5;4;5;8;9;4;7;5;8;8;9;11;14;16;18;19;17;21;29;28;29;34;44;74;81;76;80;99;72;94;97;92;119;99;117;100;74;73;76;72;95;111;93;115;166;151;177;187;205;201;208;211;226;199;188;171;148;143;105;104;74;30;23;14;7;8;4;4;1;0;0;0;0;0;1;
1000000;"ŁÓDZKIE";31589;102;5;2;4;2;2;2;1;5;2;2;1;3;3;5;3;5;11;16;14;16;17;15;13;34;17;27;33;27;27;38;34;45;54;78;47;74;97;85;77;109;112;119;94;118;107;136;133;153;172;171;180;183;196;203;248;297;330;370;481;514;552;555;638;632;671;754;749;720;747;753;795;716;511;564;526;610;625;631;769;798;880;914;956;944;947;1023;1065;969;948;819;711;635;550;453;337;242;155;110;56;30;22;9;13;6;5;3;0;0;0;0;15896;66;1;1;2;0;1;1;1;4;1;1;0;1;2;2;2;3;6;12;11;15;12;14;9;29;14;23;18;21;22;29;30;35;43;61;39;58;78;70;55;82;82;93;68;82;80;107;101;114;126;127;131;115;154;150;172;217;219;266;351;323;359;370;399;438;421;484;483;479;449;457;463;405;280;314;270;304;344;309;367;370;374;379;383;385;349;370;321;311;267;246;192;160;135;96;69;56;32;26;11;7;4;1;3;0;1;0;0;0;0;0;15693;36;4;1;2;2;1;1;0;1;1;1;1;2;1;3;1;2;5;4;3;1;5;1;4;5;3;4;15;6;5;9;4;10;11;17;8;16;19;15;22;27;30;26;26;36;27;29;32;39;46;44;49;68;42;53;76;80;111;104;130;191;193;185;239;194;250;270;266;241;298;296;332;311;231;250;256;306;281;322;402;428;506;535;573;559;598;653;744;658;681;573;519;475;415;357;268;186;123;84;45;23;18;8;10;6;4;3;0;0;0;0;
1200000;"MAŁOPOLSKIE";32467;109;6;4;4;6;3;3;5;7;5;3;5;5;3;6;11;7;7;12;14;24;15;24;11;18;27;17;19;18;31;31;48;50;36;42;52;61;49;58;73;74;66;77;82;104;106;114;126;130;131;159;159;190;211;219;258;259;353;382;409;497;477;484;590;592;580;698;636;660;659;691;719;655;569;613;581;600;707;864;828;938;999;1075;1054;1101;1095;1133;1202;1105;1010;867;765;722;598;462;362;255;194;110;65;40;23;18;13;10;7;4;1;0;0;1;16713;67;4;3;2;4;1;3;2;4;2;1;2;4;2;4;8;5;4;6;7;19;13;21;6;17;22;16;15;15;26;19;42;45;30;29;43;46;36;44;52;53;56;64;66;73;81;87;86;88;107;115;117;128;158;162;184;193;244;271;280;358;342;328;399;413;398;474;428;448;445;429;454;387;342;353;308;344;397;450;437;458;458;467;436;469;442;435;433;363;333;268;219;210;139;127;81;58;31;20;10;4;3;5;3;2;0;1;0;0;0;0;15754;42;2;1;2;2;2;0;3;3;3;2;3;1;1;2;3;2;3;6;7;5;2;3;5;1;5;1;4;3;5;12;6;5;6;13;9;15;13;14;21;21;10;13;16;31;25;27;40;42;24;44;42;62;53;57;74;66;109;111;129;139;135;156;191;179;182;224;208;212;214;262;265;268;227;260;273;256;310;414;391;480;541;608;618;632;653;698;769;742;677;599;546;512;459;335;281;197;163;90;55;36;20;13;10;8;7;3;1;0;0;1;
1400000;"MAZOWIECKIE";58725;205;11;4;12;3;2;4;3;7;6;5;12;8;7;13;14;23;22;21;25;25;28;36;38;52;42;44;52;50;57;61;83;87;85;96;95;107;138;129;148;153;173;207;186;188;200;221;234;247;236;265;272;341;343;400;445;470;580;668;790;870;948;1052;1091;1102;1183;1222;1246;1235;1259;1263;1290;1116;959;1018;1046;1061;1276;1273;1460;1604;1563;1762;1809;1938;1968;2028;2146;2035;1870;1582;1434;1334;1166;880;717;493;319;251;124;77;66;42;33;17;7;5;3;3;0;0;29930;116;6;2;8;2;1;2;1;3;3;3;8;3;4;7;8;14;14;14;17;14;21;29;31;40;36;37;39;37;46;48;67;70;71;68;77;79;109;100;109;117;121;164;149;144;148;168;179;187;172;211;183;263;256;300;316;359;409;488;548;588;643;704;734;760;805;821;799;770;765;751;762;660;534;566;570;573;644;628;704;766;721;792;775;768;768;761;776;710;679;530;405;393;312;244;176;112;81;55;30;16;13;11;4;4;1;0;0;0;0;0;28795;89;5;2;4;1;1;2;2;4;3;2;4;5;3;6;6;9;8;7;8;11;7;7;7;12;6;7;13;13;11;13;16;17;14;28;18;28;29;29;39;36;52;43;37;44;52;53;55;60;64;54;89;78;87;100;129;111;171;180;242;282;305;348;357;342;378;401;447;465;494;512;528;456;425;452;476;488;632;645;756;838;842;970;1034;1170;1200;1267;1370;1325;1191;1052;1029;941;854;636;541;381;238;196;94;61;53;31;29;13;6;5;3;3;0;0;
1600000;"OPOLSKIE";10707;28;6;2;2;0;0;0;0;1;1;1;2;2;2;2;2;5;3;6;3;6;7;6;5;1;3;2;8;13;13;12;11;12;15;12;16;24;16;21;22;21;20;41;32;26;32;41;37;44;39;55;57;53;92;85;93;107;133;166;146;142;157;179;184;182;230;250;234;237;249;271;228;203;190;186;190;251;263;331;340;344;382;347;339;342;355;375;349;328;287;240;209;144;141;124;96;72;42;41;21;6;2;4;3;1;1;1;0;0;1;0;5470;16;3;0;1;0;0;0;0;0;1;0;0;2;0;1;2;3;3;3;3;6;7;6;3;1;3;2;7;11;10;8;7;6;8;10;13;15;10;18;16;17;15;34;24;19;24;26;28;35;26;40;45;42;61;61;61;71;91;114;103;98;109;115;124;124;154;175;160;153;156;177;124;122;98;112;97;136;132;161;161;160;192;159;131;138;139;142;129;111;66;69;60;31;31;22;22;13;15;6;1;2;1;0;0;0;0;0;0;0;0;0;5237;12;3;2;1;0;0;0;0;1;0;1;2;0;2;1;0;2;0;3;0;0;0;0;2;0;0;0;1;2;3;4;4;6;7;2;3;9;6;3;6;4;5;7;8;7;8;15;9;9;13;15;12;11;31;24;32;36;42;52;43;44;48;64;60;58;76;75;74;84;93;94;104;81;92;74;93;115;131;170;179;184;190;188;208;204;216;233;220;217;221;171;149;113;110;102;74;59;27;35;20;4;1;4;3;1;1;1;0;0;1;0;
1800000;"PODKARPACKIE";19636;90;9;2;1;3;4;2;1;2;2;4;3;0;1;4;1;4;3;12;12;11;12;13;11;20;12;22;21;13;18;18;25;20;21;29;26;29;34;46;42;43;59;63;71;64;56;72;79;77;78;96;93;93;133;136;161;169;195;219;262;273;307;330;323;307;362;386;392;412;420;359;441;361;326;375;310;368;428;477;503;549;623;581;761;650;692;719;717;657;620;567;464;427;361;276;234;154;131;71;36;23;13;6;9;5;4;2;0;0;2;0;10267;38;8;1;0;0;2;1;1;2;2;2;1;0;0;3;0;1;3;7;7;7;8;9;7;18;10;18;17;12;15;15;20;18;19;23;20;23;27;39;33;30;48;53;58;49;49;56;64;58;65;71;73;70;100;93;128;131;146;161;185;195;213;237;231;210;256;273;267;275;272;228;279;231;199;225;184;205;236;237;257;282;293;276;319;271;267;300;264;237;210;177;139;104;95;66;52;30;27;16;4;0;2;0;0;1;0;0;0;0;0;0;9369;52;1;1;1;3;2;1;0;0;0;2;2;0;1;1;1;3;0;5;5;4;4;4;4;2;2;4;4;1;3;3;5;2;2;6;6;6;7;7;9;13;11;10;13;15;7;16;15;19;13;25;20;23;33;43;33;38;49;58;77;78;94;93;92;97;106;113;125;137;148;131;162;130;127;150;126;163;192;240;246;267;330;305;442;379;425;419;453;420;410;390;325;323;266;210;182;124;104;55;32;23;11;6;9;4;4;2;0;0;2;0;
