"Kod";"Nazwa";"ogółem;ogółem;2011;[-]";"ogółem;0;2011;[-]";"ogółem;1;2011;[-]";"ogółem;2;2011;[-]";"ogółem;3;2011;[-]";"ogółem;4;2011;[-]";"ogółem;5;2011;[-]";"ogółem;6;2011;[-]";"ogółem;7;2011;[-]";"ogółem;8;2011;[-]";"ogółem;9;2011;[-]";"ogółem;10;2011;[-]";"ogółem;11;2011;[-]";"ogółem;12;2011;[-]";"ogółem;13;2011;[-]";"ogółem;14;2011;[-]";"ogółem;15;2011;[-]";"ogółem;16;2011;[-]";"ogółem;17;2011;[-]";"ogółem;18;2011;[-]";"ogółem;19;2011;[-]";"ogółem;20;2011;[-]";"ogółem;21;2011;[-]";"ogółem;22;2011;[-]";"ogółem;23;2011;[-]";"ogółem;24;2011;[-]";"ogółem;25;2011;[-]";"ogółem;26;2011;[-]";"ogółem;27;2011;[-]";"ogółem;28;2011;[-]";"ogółem;29;2011;[-]";"ogółem;30;2011;[-]";"ogółem;31;2011;[-]";"ogółem;32;2011;[-]";"ogółem;33;2011;[-]";"ogółem;34;2011;[-]";"ogółem;35;2011;[-]";"ogółem;36;2011;[-]";"ogółem;37;2011;[-]";"ogółem;38;2011;[-]";"ogółem;39;2011;[-]";"ogółem;40;2011;[-]";"ogółem;41;2011;[-]";"ogółem;42;2011;[-]";"ogółem;43;2011;[-]";"ogółem;44;2011;[-]";"ogółem;45;2011;[-]";"ogółem;46;2011;[-]";"ogółem;47;2011;[-]";"ogółem;48;2011;[-]";"ogółem;49;2011;[-]";"ogółem;50;2011;[-]";"ogółem;51;2011;[-]";"ogółem;52;2011;[-]";"ogółem;53;2011;[-]";"ogółem;54;2011;[-]";"ogółem;55;2011;[-]";"ogółem;56;2011;[-]";"ogółem;57;2011;[-]";"ogółem;58;2011;[-]";"ogółem;59;2011;[-]";"ogółem;60;2011;[-]";"ogółem;61;2011;[-]";"ogółem;62;2011;[-]";"ogółem;63;2011;[-]";"ogółem;64;2011;[-]";"ogółem;65;2011;[-]";"ogółem;66;2011;[-]";"ogółem;67;2011;[-]";"ogółem;68;2011;[-]";"ogółem;69;2011;[-]";"ogółem;70;2011;[-]";"ogółem;71;2011;[-]";"ogółem;72;2011;[-]";"ogółem;73;2011;[-]";"ogółem;74;2011;[-]";"ogółem;75;2011;[-]";"ogółem;76;2011;[-]";"ogółem;77;2011;[-]";"ogółem;78;2011;[-]";"ogółem;79;2011;[-]";"ogółem;80;2011;[-]";"ogółem;81;2011;[-]";"ogółem;82;2011;[-]";"ogółem;83;2011;[-]";"ogółem;84;2011;[-]";"ogółem;85;2011;[-]";"ogółem;86;2011;[-]";"ogółem;87;2011;[-]";"ogółem;88;2011;[-]";"ogółem;89;2011;[-]";"ogółem;90;2011;[-]";"ogółem;91;2011;[-]";"ogółem;92;2011;[-]";"ogółem;93;2011;[-]";"ogółem;94;2011;[-]";"ogółem;95;2011;[-]";"ogółem;96;2011;[-]";"ogółem;97;2011;[-]";"ogółem;98;2011;[-]";"ogółem;99;2011;[-]";"ogółem;100;2011;[-]";"ogółem;101;2011;[-]";"ogółem;102;2011;[-]";"ogółem;103;2011;[-]";"ogółem;104;2011;[-]";"ogółem;105;2011;[-]";"ogółem;106;2011;[-]";"ogółem;107;2011;[-]";"ogółem;108;2011;[-]";"ogółem;109;2011;[-]";"ogółem;110 i więcej;2011;[-]";"mężczyźni;ogółem;2011;[-]";"mężczyźni;0;2011;[-]";"mężczyźni;1;2011;[-]";"mężczyźni;2;2011;[-]";"mężczyźni;3;2011;[-]";"mężczyźni;4;2011;[-]";"mężczyźni;5;2011;[-]";"mężczyźni;6;2011;[-]";"mężczyźni;7;2011;[-]";"mężczyźni;8;2011;[-]";"mężczyźni;9;2011;[-]";"mężczyźni;10;2011;[-]";"mężczyźni;11;2011;[-]";"mężczyźni;12;2011;[-]";"mężczyźni;13;2011;[-]";"mężczyźni;14;2011;[-]";"mężczyźni;15;2011;[-]";"mężczyźni;16;2011;[-]";"mężczyźni;17;2011;[-]";"mężczyźni;18;2011;[-]";"mężczyźni;19;2011;[-]";"mężczyźni;20;2011;[-]";"mężczyźni;21;2011;[-]";"mężczyźni;22;2011;[-]";"mężczyźni;23;2011;[-]";"mężczyźni;24;2011;[-]";"mężczyźni;25;2011;[-]";"mężczyźni;26;2011;[-]";"mężczyźni;27;2011;[-]";"mężczyźni;28;2011;[-]";"mężczyźni;29;2011;[-]";"mężczyźni;30;2011;[-]";"mężczyźni;31;2011;[-]";"mężczyźni;32;2011;[-]";"mężczyźni;33;2011;[-]";"mężczyźni;34;2011;[-]";"mężczyźni;35;2011;[-]";"mężczyźni;36;2011;[-]";"mężczyźni;37;2011;[-]";"mężczyźni;38;2011;[-]";"mężczyźni;39;2011;[-]";"mężczyźni;40;2011;[-]";"mężczyźni;41;2011;[-]";"mężczyźni;42;2011;[-]";"mężczyźni;43;2011;[-]";"mężczyźni;44;2011;[-]";"mężczyźni;45;2011;[-]";"mężczyźni;46;2011;[-]";"mężczyźni;47;2011;[-]";"mężczyźni;48;2011;[-]";"mężczyźni;49;2011;[-]";"mężczyźni;50;2011;[-]";"mężczyźni;51;2011;[-]";"mężczyźni;52;2011;[-]";"mężczyźni;53;2011;[-]";"mężczyźni;54;2011;[-]";"mężczyźni;55;2011;[-]";"mężczyźni;56;2011;[-]";"mężczyźni;57;2011;[-]";"mężczyźni;58;2011;[-]";"mężczyźni;59;2011;[-]";"mężczyźni;60;2011;[-]";"mężczyźni;61;2011;[-]";"mężczyźni;62;2011;[-]";"mężczyźni;63;2011;[-]";"mężczyźni;64;2011;[-]";"mężczyźni;65;2011;[-]";"mężczyźni;66;2011;[-]";"mężczyźni;67;2011;[-]";"mężczyźni;68;2011;[-]";"mężczyźni;69;2011;[-]";"mężczyźni;70;2011;[-]";"mężczyźni;71;2011;[-]";"mężczyźni;72;2011;[-]";"mężczyźni;73;2011;[-]";"mężczyźni;74;2011;[-]";"mężczyźni;75;2011;[-]";"mężczyźni;76;2011;[-]";"mężczyźni;77;2011;[-]";"mężczyźni;78;2011;[-]";"mężczyźni;79;2011;[-]";"mężczyźni;80;2011;[-]";"mężczyźni;81;2011;[-]";"mężczyźni;82;2011;[-]";"mężczyźni;83;2011;[-]";"mężczyźni;84;2011;[-]";"mężczyźni;85;2011;[-]";"mężczyźni;86;2011;[-]";"mężczyźni;87;2011;[-]";"mężczyźni;88;2011;[-]";"mężczyźni;89;2011;[-]";"mężczyźni;90;2011;[-]";"mężczyźni;91;2011;[-]";"mężczyźni;92;2011;[-]";"mężczyźni;93;2011;[-]";"mężczyźni;94;2011;[-]";"mężczyźni;95;2011;[-]";"mężczyźni;96;2011;[-]";"mężczyźni;97;2011;[-]";"mężczyźni;98;2011;[-]";"mężczyźni;99;2011;[-]";"mężczyźni;100;2011;[-]";"mężczyźni;101;2011;[-]";"mężczyźni;102;2011;[-]";"mężczyźni;103;2011;[-]";"mężczyźni;104;2011;[-]";"mężczyźni;105;2011;[-]";"mężczyźni;106;2011;[-]";"mężczyźni;107;2011;[-]";"mężczyźni;108;2011;[-]";"mężczyźni;109;2011;[-]";"mężczyźni;110 i więcej;2011;[-]";"kobiety;ogółem;2011;[-]";"kobiety;0;2011;[-]";"kobiety;1;2011;[-]";"kobiety;2;2011;[-]";"kobiety;3;2011;[-]";"kobiety;4;2011;[-]";"kobiety;5;2011;[-]";"kobiety;6;2011;[-]";"kobiety;7;2011;[-]";"kobiety;8;2011;[-]";"kobiety;9;2011;[-]";"kobiety;10;2011;[-]";"kobiety;11;2011;[-]";"kobiety;12;2011;[-]";"kobiety;13;2011;[-]";"kobiety;14;2011;[-]";"kobiety;15;2011;[-]";"kobiety;16;2011;[-]";"kobiety;17;2011;[-]";"kobiety;18;2011;[-]";"kobiety;19;2011;[-]";"kobiety;20;2011;[-]";"kobiety;21;2011;[-]";"kobiety;22;2011;[-]";"kobiety;23;2011;[-]";"kobiety;24;2011;[-]";"kobiety;25;2011;[-]";"kobiety;26;2011;[-]";"kobiety;27;2011;[-]";"kobiety;28;2011;[-]";"kobiety;29;2011;[-]";"kobiety;30;2011;[-]";"kobiety;31;2011;[-]";"kobiety;32;2011;[-]";"kobiety;33;2011;[-]";"kobiety;34;2011;[-]";"kobiety;35;2011;[-]";"kobiety;36;2011;[-]";"kobiety;37;2011;[-]";"kobiety;38;2011;[-]";"kobiety;39;2011;[-]";"kobiety;40;2011;[-]";"kobiety;41;2011;[-]";"kobiety;42;2011;[-]";"kobiety;43;2011;[-]";"kobiety;44;2011;[-]";"kobiety;45;2011;[-]";"kobiety;46;2011;[-]";"kobiety;47;2011;[-]";"kobiety;48;2011;[-]";"kobiety;49;2011;[-]";"kobiety;50;2011;[-]";"kobiety;51;2011;[-]";"kobiety;52;2011;[-]";"kobiety;53;2011;[-]";"kobiety;54;2011;[-]";"kobiety;55;2011;[-]";"kobiety;56;2011;[-]";"kobiety;57;2011;[-]";"kobiety;58;2011;[-]";"kobiety;59;2011;[-]";"kobiety;60;2011;[-]";"kobiety;61;2011;[-]";"kobiety;62;2011;[-]";"kobiety;63;2011;[-]";"kobiety;64;2011;[-]";"kobiety;65;2011;[-]";"kobiety;66;2011;[-]";"kobiety;67;2011;[-]";"kobiety;68;2011;[-]";"kobiety;69;2011;[-]";"kobiety;70;2011;[-]";"kobiety;71;2011;[-]";"kobiety;72;2011;[-]";"kobiety;73;2011;[-]";"kobiety;74;2011;[-]";"kobiety;75;2011;[-]";"kobiety;76;2011;[-]";"kobiety;77;2011;[-]";"kobiety;78;2011;[-]";"kobiety;79;2011;[-]";"kobiety;80;2011;[-]";"kobiety;81;2011;[-]";"kobiety;82;2011;[-]";"kobiety;83;2011;[-]";"kobiety;84;2011;[-]";"kobiety;85;2011;[-]";"kobiety;86;2011;[-]";"kobiety;87;2011;[-]";"kobiety;88;2011;[-]";"kobiety;89;2011;[-]";"kobiety;90;2011;[-]";"kobiety;91;2011;[-]";"kobiety;92;2011;[-]";"kobiety;93;2011;[-]";"kobiety;94;2011;[-]";"kobiety;95;2011;[-]";"kobiety;96;2011;[-]";"kobiety;97;2011;[-]";"kobiety;98;2011;[-]";"kobiety;99;2011;[-]";"kobiety;100;2011;[-]";"kobiety;101;2011;[-]";"kobiety;102;2011;[-]";"kobiety;103;2011;[-]";"kobiety;104;2011;[-]";"kobiety;105;2011;[-]";"kobiety;106;2011;[-]";"kobiety;107;2011;[-]";"kobiety;108;2011;[-]";"kobiety;109;2011;[-]";"kobiety;110 i więcej;2011;[-]";
0000000;"POLSKA";375501;1836;127;75;75;55;50;41;44;40;39;51;37;35;66;100;135;153;184;282;306;374;388;341;393;357;446;411;445;522;492;540;555;591;618;664;745;794;876;914;920;1014;1132;1156;1263;1359;1492;1702;1918;2137;2512;2865;3422;3856;4386;4767;5165;5441;5740;5877;6545;6683;6743;6919;7065;6853;6014;5307;5547;5485;5904;6532;7265;7625;8161;8864;9382;9746;10035;10703;11520;12505;12874;12556;12051;11799;12074;11331;10766;10001;8227;6605;6112;3828;2726;2353;1987;1978;1455;1101;732;454;307;198;120;72;30;21;10;3;3;3;198178;1027;69;43;44;31;35;27;21;24;23;27;24;23;40;50;77;102;139;221;234;308;324;282;322;295;373;337;360;409;387;449;426;477;474;537;591;611;674;702;690;766;873;873;932;1018;1141;1251;1433;1576;1811;2131;2466;2738;3113;3413;3729;3766;4098;4103;4550;4586;4577;4650;4759;4570;4012;3445;3569;3484;3742;4043;4384;4511;4724;5058;5108;5214;5263;5355;5607;5746;5723;5245;4820;4369;4157;3718;3463;3125;2388;1924;1663;980;674;570;472;422;315;246;157;99;66;36;16;17;5;5;2;0;2;2;177323;809;58;32;31;24;15;14;23;16;16;24;13;12;26;50;58;51;45;61;72;66;64;59;71;62;73;74;85;113;105;91;129;114;144;127;154;183;202;212;230;248;259;283;331;341;351;451;485;561;701;734;956;1118;1273;1354;1436;1675;1642;1774;1995;2097;2166;2269;2306;2283;2002;1862;1978;2001;2162;2489;2881;3114;3437;3806;4274;4532;4772;5348;5913;6759;7151;7311;7231;7430;7917;7613;7303;6876;5839;4681;4449;2848;2052;1783;1515;1556;1140;855;575;355;241;162;104;55;25;16;8;3;1;1;
0200000;"DOLNOŚLĄSKIE";29396;155;13;9;4;2;7;2;4;2;5;6;3;1;2;9;12;6;15;17;25;20;21;27;26;24;35;36;41;46;33;34;51;42;50;56;70;72;55;57;55;81;80;87;96;94;96;127;147;153;192;245;281;305;378;410;465;478;503;511;594;553;539;590;644;549;442;402;379;347;433;502;584;568;630;676;759;770;745;825;894;944;996;1024;922;921;973;926;899;845;608;515;445;275;173;145;123;121;70;60;45;22;14;10;4;7;2;3;0;0;0;0;15296;86;7;9;2;1;5;1;3;0;3;4;3;1;0;4;8;5;9;14;18;13;19;24;21;17;30;29;32;35;27;26;41;32;37;44;56;56;45;47;41;64;56;74;65;73;72;88;109;115;138;189;214;213;264;298;326;337;367;362;406;398;368;378;435;364;292;244;232;202;272;299;345;349;332;366;378;416;370;392;429;429;411;397;336;293;310;292;289;255;161;169;138;59;46;43;28;37;19;12;9;7;5;1;1;2;1;0;0;0;0;0;14100;69;6;0;2;1;2;1;1;2;2;2;0;0;2;5;4;1;6;3;7;7;2;3;5;7;5;7;9;11;6;8;10;10;13;12;14;16;10;10;14;17;24;13;31;21;24;39;38;38;54;56;67;92;114;112;139;141;136;149;188;155;171;212;209;185;150;158;147;145;161;203;239;219;298;310;381;354;375;433;465;515;585;627;586;628;663;634;610;590;447;346;307;216;127;102;95;84;51;48;36;15;9;9;3;5;1;3;0;0;0;0;
0400000;"KUJAWSKO-POMORSKIE";19663;126;13;3;7;5;6;5;1;1;1;4;5;1;7;7;2;3;8;21;15;16;18;17;17;16;25;22;27;27;27;33;35;27;36;30;34;37;45;55;47;52;64;69;90;75;91;99;101;132;129;153;198;211;214;252;307;279;331;319;373;367;404;417;420;406;337;254;328;327;348;345;368;423;409;450;515;485;540;569;574;617;648;602;591;575;577;478;529;470;405;311;290;193;157;125;113;104;76;56;35;20;11;13;6;2;1;1;0;0;0;0;10373;67;8;0;4;4;4;4;0;1;0;2;2;1;6;1;1;1;5;17;13;15;18;15;14;15;20;19;21;18;20;28;28;23;25;22;26;28;36;40;35;44;49;44;66;53;65;72;72;96;92;116;138;153;152;174;221;190;221;215;245;258;263;258;281;252;211;160;215;194;208;198;224;230;242;255;252;252;280;307;262;317;285;258;256;207;192;160;156;137;132;92;90;47;34;34;24;19;11;8;8;6;3;7;2;1;0;0;0;0;0;0;9290;59;5;3;3;1;2;1;1;0;1;2;3;0;1;6;1;2;3;4;2;1;0;2;3;1;5;3;6;9;7;5;7;4;11;8;8;9;9;15;12;8;15;25;24;22;26;27;29;36;37;37;60;58;62;78;86;89;110;104;128;109;141;159;139;154;126;94;113;133;140;147;144;193;167;195;263;233;260;262;312;300;363;344;335;368;385;318;373;333;273;219;200;146;123;91;89;85;65;48;27;14;8;6;4;1;1;1;0;0;0;0;
0600000;"LUBELSKIE";22981;95;8;5;4;3;3;2;1;2;3;3;1;2;1;8;8;13;13;17;23;25;28;17;23;25;34;25;34;27;48;29;35;40;35;49;31;55;67;48;57;53;66;61;71;88;101;103;105;112;162;174;162;216;242;257;250;298;315;318;366;354;388;382;375;341;287;329;333;323;336;362;375;455;478;512;580;556;633;650;700;739;847;858;869;806;775;797;725;698;591;439;421;276;206;184;150;125;84;74;44;21;18;1;8;5;3;1;0;0;0;0;12180;48;3;4;2;2;3;2;1;1;2;1;1;1;0;4;4;11;11;15;20;21;21;12;19;23;29;20;26;18;42;22;26;31;27;43;21;45;57;36;51;46;56;41;54;68;76;80;86;93;129;135;125;155;182;200;197;214;232;230;264;246;279;261;272;221;189;218;223;210;209;240;234;297;281;300;315;304;350;319;347;338;390;360;360;305;289;267;243;217;175;139;109;77;56;37;29;24;17;24;8;5;3;0;1;2;0;1;0;0;0;0;10801;47;5;1;2;1;0;0;0;1;1;2;0;1;1;4;4;2;2;2;3;4;7;5;4;2;5;5;8;9;6;7;9;9;8;6;10;10;10;12;6;7;10;20;17;20;25;23;19;19;33;39;37;61;60;57;53;84;83;88;102;108;109;121;103;120;98;111;110;113;127;122;141;158;197;212;265;252;283;331;353;401;457;498;509;501;486;530;482;481;416;300;312;199;150;147;121;101;67;50;36;16;15;1;7;3;3;0;0;0;0;0;
0800000;"LUBUSKIE";9648;58;5;1;2;2;1;0;3;3;1;2;0;1;3;2;6;9;9;8;13;21;6;8;14;8;15;8;20;15;16;24;20;13;22;14;17;20;24;19;38;25;28;37;32;49;34;48;59;69;70;63;109;104;133;142;151;180;172;176;187;189;209;170;239;199;170;120;143;145;144;169;191;194;213;208;227;245;247;247;279;310;295;249;316;296;271;261;260;254;186;164;140;70;60;58;39;39;25;21;17;9;7;4;3;0;2;1;3;0;1;0;5106;31;4;0;2;2;1;0;1;3;0;2;0;1;2;0;5;5;7;6;9;17;4;8;13;7;13;6;19;11;12;22;11;11;14;12;13;13;21;13;30;20;20;31;27;37;27;34;44;51;45;50;74;71;93;99;100;118;124;121;129;127;144;121;156;127;121;69;79;94;93;108;105;106;119;115;121;120;128;111;128;140;127;103;106;103;77;85;78;75;53;49;51;17;13;15;14;13;9;4;4;3;5;3;0;0;1;0;0;0;0;0;4542;27;1;1;0;0;0;0;2;0;1;0;0;0;1;2;1;4;2;2;4;4;2;0;1;1;2;2;1;4;4;2;9;2;8;2;4;7;3;6;8;5;8;6;5;12;7;14;15;18;25;13;35;33;40;43;51;62;48;55;58;62;65;49;83;72;49;51;64;51;51;61;86;88;94;93;106;125;119;136;151;170;168;146;210;193;194;176;182;179;133;115;89;53;47;43;25;26;16;17;13;6;2;1;3;0;1;1;3;0;1;0;
1000000;"ŁÓDZKIE";30816;107;6;3;4;5;1;4;4;1;2;4;4;1;5;3;10;5;11;24;16;18;28;39;23;25;22;26;40;46;42;44;43;58;63;56;78;61;81;88;79;102;101;112;122;122;125;142;174;178;226;257;282;298;422;390;448;454;517;521;558;561;526;604;614;645;558;437;444;453;453;507;518;585;573;633;751;766;803;801;910;1033;1041;1011;979;947;1048;918;911;831;671;537;516;379;260;184;152;167;123;74;70;38;18;14;9;7;2;2;0;0;0;1;15918;62;4;2;1;4;0;2;2;0;1;1;1;1;2;2;5;1;7;18;11;15;25;30;19;21;21;20;33;33;31;41;39;45;46;48;64;49;58;67;60;75;80;89;84;94;93;109;132;137;157;190;201;222;290;292;325;312;356;369;379;386;342;393;377;421;366;264;270;263;278;292;299;348;329;336;383;389;420;367;428;466;453;408;354;334;353;290;266;276;197;156;156;120;71;42;40;30;29;18;17;5;4;1;2;0;0;1;0;0;0;0;14898;45;2;1;3;1;1;2;2;1;1;3;3;0;3;1;5;4;4;6;5;3;3;9;4;4;1;6;7;13;11;3;4;13;17;8;14;12;23;21;19;27;21;23;38;28;32;33;42;41;69;67;81;76;132;98;123;142;161;152;179;175;184;211;237;224;192;173;174;190;175;215;219;237;244;297;368;377;383;434;482;567;588;603;625;613;695;628;645;555;474;381;360;259;189;142;112;137;94;56;53;33;14;13;7;7;2;1;0;0;0;1;
1200000;"MAŁOPOLSKIE";29727;152;4;4;9;0;2;3;1;4;5;4;2;3;4;10;11;9;16;19;23;27;33;26;30;26;30;32;25;29;36;31;39;46;38;52;49;53;47;73;58;79;91;82;102;82;121;134;144;169;165;217;223;267;313;334;336;374;381;372;428;491;442;467;447;512;484;424;419;387;423;488;543;614;684;737;758;785;851;942;990;1085;1100;1028;1005;995;1027;1022;894;901;710;576;532;326;222;206;163;170;123;102;52;48;31;20;12;5;3;2;0;0;0;0;15530;77;4;2;7;0;1;2;0;3;3;3;1;3;3;4;6;4;16;14;20;24;30;24;23;22;23;27;22;22;29;23;29;40;25;42;40;45;38;55;42;60;69;67;70;59;91;99;110;119;113;162;168;173;204;251;231;261;265;268;303;336;317;326;304;342;322;291;291;260;262;320;341;370;418;451;441;426;454;460;481;496;495;425;418;377;387;343;303;289;201;161;127;88;60;49;51;35;22;23;10;7;2;3;2;1;1;0;0;0;0;0;14197;75;0;2;2;0;1;1;1;1;2;1;1;0;1;6;5;5;0;5;3;3;3;2;7;4;7;5;3;7;7;8;10;6;13;10;9;8;9;18;16;19;22;15;32;23;30;35;34;50;52;55;55;94;109;83;105;113;116;104;125;155;125;141;143;170;162;133;128;127;161;168;202;244;266;286;317;359;397;482;509;589;605;603;587;618;640;679;591;612;509;415;405;238;162;157;112;135;101;79;42;41;29;17;10;4;2;2;0;0;0;0;
1400000;"MAZOWIECKIE";53080;195;19;18;11;11;8;3;6;7;7;4;7;4;4;13;18;23;24;35;47;55;59;47;49;48;72;57;69;74;82;76;90;99;82;80;101;121;130;153;109;156;162;160;168;177;192;219;242;288;324;386;463;562;582;672;680;749;752;835;909;827;880;867;881;895;801;744;688;717;719;816;935;986;1080;1208;1214;1329;1347;1467;1620;1777;1918;1861;1771;1856;1887;1720;1714;1482;1325;998;961;668;476;393;355;326;220;196;138;77;58;34;25;14;5;4;2;2;1;0;27815;122;10;9;7;7;7;3;5;4;7;1;6;2;4;7;11;16;17;25;38;47;47;38;43;39;62;46;55;64;66;62;70;87;62;62;88;95;94;118;82;117;131;123;129;137;161;172;179;209;243;298;349;419;420;467;504;517;529;570;636;563;608;587;598;592;541;477;437;445;466;529;534;554;617;700;704;700;705;736;801;827;860;816;757;716;702;563;586;495;415;286;252;185;119;88;74;80;48;38;32;18;9;2;2;3;0;1;1;0;1;0;25265;73;9;9;4;4;1;0;1;3;0;3;1;2;0;6;7;7;7;10;9;8;12;9;6;9;10;11;14;10;16;14;20;12;20;18;13;26;36;35;27;39;31;37;39;40;31;47;63;79;81;88;114;143;162;205;176;232;223;265;273;264;272;280;283;303;260;267;251;272;253;287;401;432;463;508;510;629;642;731;819;950;1058;1045;1014;1140;1185;1157;1128;987;910;712;709;483;357;305;281;246;172;158;106;59;49;32;23;11;5;3;1;2;0;0;
1600000;"OPOLSKIE";9719;33;3;0;2;1;1;1;0;0;0;0;0;0;1;2;6;4;5;9;11;14;9;8;10;11;8;8;12;11;11;6;14;9;9;8;13;16;23;18;14;25;32;28;13;29;30;50;45;52;73;82;91;98;111;113;125;131;156;145;169;173;169;159;172;156;139;144;127;152;159;228;265;252;231;293;301;328;273;305;316;343;356;323;298;332;304;245;239;234;182;149;148;69;42;39;33;38;30;32;13;8;5;3;0;2;0;1;0;0;0;0;5073;21;1;0;1;1;0;0;0;0;0;0;0;0;1;2;4;2;5;7;9;12;7;8;9;10;7;6;9;8;7;4;10;9;6;5;10;12;16;10;7;19;23;19;10;26;22;35;35;35;49;59;58;51;84;90;96;88;119;103;118;118;113;116;109;108;94;94;88;104;108;137;158;153;133;158;161;173;137;159;146;160;166;131;104;111;85;75;68;64;37;35;35;15;13;4;11;6;5;10;3;1;1;0;0;0;0;1;0;0;0;0;4646;12;2;0;1;0;1;1;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;0;1;1;1;2;3;3;4;2;4;0;3;3;3;4;7;8;7;6;9;9;3;3;8;15;10;17;24;23;33;47;27;23;29;43;37;42;51;55;56;43;63;48;45;50;39;48;51;91;107;99;98;135;140;155;136;146;170;183;190;192;194;221;219;170;171;170;145;114;113;54;29;35;22;32;25;22;10;7;4;3;0;2;0;0;0;0;0;0;
1800000;"PODKARPACKIE";18214;112;3;3;0;3;0;1;4;2;0;2;3;2;7;6;5;6;12;16;14;16;25;18;21;27;16;19;20;18;22;19;20;30;22;30;34;31;31;41;44;39;39;49;67;59;57;61;95;96;97;138;144;155;160;208;183;194;260;220;277;268;263;296;272;269;251;275;303;214;229;313;332;358;370;468;449;526;502;594;628;681;664;684;657;625;648;608;623;515;465;350;337;179;100;103;95;113;97;78;38;19;20;18;8;4;2;0;0;0;0;0;9563;58;1;1;0;0;0;0;2;2;0;2;1;1;5;3;4;5;9;13;10;13;22;13;20;22;13;18;17;17;17;16;12;23;15;24;27;22;23;30;35;34;27;36;46;47;43;50;73;71;71;109;106;121;116;153;150;151;198;157;215;196;181;211;185;185;177;187;200;139;156;204;213;206;220;264;238;260;275;295;307;316;286;291;269;274;223;229;217;157;137;90;86;38;27;31;26;23;21;13;7;4;4;3;2;0;0;0;0;0;0;0;8651;54;2;2;0;3;0;1;2;0;0;0;2;1;2;3;1;1;3;3;4;3;3;5;1;5;3;1;3;1;5;3;8;7;7;6;7;9;8;11;9;5;12;13;21;12;14;11;22;25;26;29;38;34;44;55;33;43;62;63;62;72;82;85;87;84;74;88;103;75;73;109;119;152;150;204;211;266;227;299;321;365;378;393;388;351;425;379;406;358;328;260;251;141;73;72;69;90;76;65;31;15;16;15;6;4;2;0;0;0;0;0;
