"Kod";"Nazwa";"ogółem;ogółem;2019;[-]";"ogółem;0;2019;[-]";"ogółem;1;2019;[-]";"ogółem;2;2019;[-]";"ogółem;3;2019;[-]";"ogółem;4;2019;[-]";"ogółem;5;2019;[-]";"ogółem;6;2019;[-]";"ogółem;7;2019;[-]";"ogółem;8;2019;[-]";"ogółem;9;2019;[-]";"ogółem;10;2019;[-]";"ogółem;11;2019;[-]";"ogółem;12;2019;[-]";"ogółem;13;2019;[-]";"ogółem;14;2019;[-]";"ogółem;15;2019;[-]";"ogółem;16;2019;[-]";"ogółem;17;2019;[-]";"ogółem;18;2019;[-]";"ogółem;19;2019;[-]";"ogółem;20;2019;[-]";"ogółem;21;2019;[-]";"ogółem;22;2019;[-]";"ogółem;23;2019;[-]";"ogółem;24;2019;[-]";"ogółem;25;2019;[-]";"ogółem;26;2019;[-]";"ogółem;27;2019;[-]";"ogółem;28;2019;[-]";"ogółem;29;2019;[-]";"ogółem;30;2019;[-]";"ogółem;31;2019;[-]";"ogółem;32;2019;[-]";"ogółem;33;2019;[-]";"ogółem;34;2019;[-]";"ogółem;35;2019;[-]";"ogółem;36;2019;[-]";"ogółem;37;2019;[-]";"ogółem;38;2019;[-]";"ogółem;39;2019;[-]";"ogółem;40;2019;[-]";"ogółem;41;2019;[-]";"ogółem;42;2019;[-]";"ogółem;43;2019;[-]";"ogółem;44;2019;[-]";"ogółem;45;2019;[-]";"ogółem;46;2019;[-]";"ogółem;47;2019;[-]";"ogółem;48;2019;[-]";"ogółem;49;2019;[-]";"ogółem;50;2019;[-]";"ogółem;51;2019;[-]";"ogółem;52;2019;[-]";"ogółem;53;2019;[-]";"ogółem;54;2019;[-]";"ogółem;55;2019;[-]";"ogółem;56;2019;[-]";"ogółem;57;2019;[-]";"ogółem;58;2019;[-]";"ogółem;59;2019;[-]";"ogółem;60;2019;[-]";"ogółem;61;2019;[-]";"ogółem;62;2019;[-]";"ogółem;63;2019;[-]";"ogółem;64;2019;[-]";"ogółem;65;2019;[-]";"ogółem;66;2019;[-]";"ogółem;67;2019;[-]";"ogółem;68;2019;[-]";"ogółem;69;2019;[-]";"ogółem;70;2019;[-]";"ogółem;71;2019;[-]";"ogółem;72;2019;[-]";"ogółem;73;2019;[-]";"ogółem;74;2019;[-]";"ogółem;75;2019;[-]";"ogółem;76;2019;[-]";"ogółem;77;2019;[-]";"ogółem;78;2019;[-]";"ogółem;79;2019;[-]";"ogółem;80;2019;[-]";"ogółem;81;2019;[-]";"ogółem;82;2019;[-]";"ogółem;83;2019;[-]";"ogółem;84;2019;[-]";"ogółem;85;2019;[-]";"ogółem;86;2019;[-]";"ogółem;87;2019;[-]";"ogółem;88;2019;[-]";"ogółem;89;2019;[-]";"ogółem;90;2019;[-]";"ogółem;91;2019;[-]";"ogółem;92;2019;[-]";"ogółem;93;2019;[-]";"ogółem;94;2019;[-]";"ogółem;95;2019;[-]";"ogółem;96;2019;[-]";"ogółem;97;2019;[-]";"ogółem;98;2019;[-]";"ogółem;99;2019;[-]";"ogółem;100;2019;[-]";"ogółem;101;2019;[-]";"ogółem;102;2019;[-]";"ogółem;103;2019;[-]";"ogółem;104;2019;[-]";"ogółem;105;2019;[-]";"ogółem;106;2019;[-]";"ogółem;107;2019;[-]";"ogółem;108;2019;[-]";"ogółem;109;2019;[-]";"ogółem;110 i więcej;2019;[-]";"mężczyźni;ogółem;2019;[-]";"mężczyźni;0;2019;[-]";"mężczyźni;1;2019;[-]";"mężczyźni;2;2019;[-]";"mężczyźni;3;2019;[-]";"mężczyźni;4;2019;[-]";"mężczyźni;5;2019;[-]";"mężczyźni;6;2019;[-]";"mężczyźni;7;2019;[-]";"mężczyźni;8;2019;[-]";"mężczyźni;9;2019;[-]";"mężczyźni;10;2019;[-]";"mężczyźni;11;2019;[-]";"mężczyźni;12;2019;[-]";"mężczyźni;13;2019;[-]";"mężczyźni;14;2019;[-]";"mężczyźni;15;2019;[-]";"mężczyźni;16;2019;[-]";"mężczyźni;17;2019;[-]";"mężczyźni;18;2019;[-]";"mężczyźni;19;2019;[-]";"mężczyźni;20;2019;[-]";"mężczyźni;21;2019;[-]";"mężczyźni;22;2019;[-]";"mężczyźni;23;2019;[-]";"mężczyźni;24;2019;[-]";"mężczyźni;25;2019;[-]";"mężczyźni;26;2019;[-]";"mężczyźni;27;2019;[-]";"mężczyźni;28;2019;[-]";"mężczyźni;29;2019;[-]";"mężczyźni;30;2019;[-]";"mężczyźni;31;2019;[-]";"mężczyźni;32;2019;[-]";"mężczyźni;33;2019;[-]";"mężczyźni;34;2019;[-]";"mężczyźni;35;2019;[-]";"mężczyźni;36;2019;[-]";"mężczyźni;37;2019;[-]";"mężczyźni;38;2019;[-]";"mężczyźni;39;2019;[-]";"mężczyźni;40;2019;[-]";"mężczyźni;41;2019;[-]";"mężczyźni;42;2019;[-]";"mężczyźni;43;2019;[-]";"mężczyźni;44;2019;[-]";"mężczyźni;45;2019;[-]";"mężczyźni;46;2019;[-]";"mężczyźni;47;2019;[-]";"mężczyźni;48;2019;[-]";"mężczyźni;49;2019;[-]";"mężczyźni;50;2019;[-]";"mężczyźni;51;2019;[-]";"mężczyźni;52;2019;[-]";"mężczyźni;53;2019;[-]";"mężczyźni;54;2019;[-]";"mężczyźni;55;2019;[-]";"mężczyźni;56;2019;[-]";"mężczyźni;57;2019;[-]";"mężczyźni;58;2019;[-]";"mężczyźni;59;2019;[-]";"mężczyźni;60;2019;[-]";"mężczyźni;61;2019;[-]";"mężczyźni;62;2019;[-]";"mężczyźni;63;2019;[-]";"mężczyźni;64;2019;[-]";"mężczyźni;65;2019;[-]";"mężczyźni;66;2019;[-]";"mężczyźni;67;2019;[-]";"mężczyźni;68;2019;[-]";"mężczyźni;69;2019;[-]";"mężczyźni;70;2019;[-]";"mężczyźni;71;2019;[-]";"mężczyźni;72;2019;[-]";"mężczyźni;73;2019;[-]";"mężczyźni;74;2019;[-]";"mężczyźni;75;2019;[-]";"mężczyźni;76;2019;[-]";"mężczyźni;77;2019;[-]";"mężczyźni;78;2019;[-]";"mężczyźni;79;2019;[-]";"mężczyźni;80;2019;[-]";"mężczyźni;81;2019;[-]";"mężczyźni;82;2019;[-]";"mężczyźni;83;2019;[-]";"mężczyźni;84;2019;[-]";"mężczyźni;85;2019;[-]";"mężczyźni;86;2019;[-]";"mężczyźni;87;2019;[-]";"mężczyźni;88;2019;[-]";"mężczyźni;89;2019;[-]";"mężczyźni;90;2019;[-]";"mężczyźni;91;2019;[-]";"mężczyźni;92;2019;[-]";"mężczyźni;93;2019;[-]";"mężczyźni;94;2019;[-]";"mężczyźni;95;2019;[-]";"mężczyźni;96;2019;[-]";"mężczyźni;97;2019;[-]";"mężczyźni;98;2019;[-]";"mężczyźni;99;2019;[-]";"mężczyźni;100;2019;[-]";"mężczyźni;101;2019;[-]";"mężczyźni;102;2019;[-]";"mężczyźni;103;2019;[-]";"mężczyźni;104;2019;[-]";"mężczyźni;105;2019;[-]";"mężczyźni;106;2019;[-]";"mężczyźni;107;2019;[-]";"mężczyźni;108;2019;[-]";"mężczyźni;109;2019;[-]";"mężczyźni;110 i więcej;2019;[-]";"kobiety;ogółem;2019;[-]";"kobiety;0;2019;[-]";"kobiety;1;2019;[-]";"kobiety;2;2019;[-]";"kobiety;3;2019;[-]";"kobiety;4;2019;[-]";"kobiety;5;2019;[-]";"kobiety;6;2019;[-]";"kobiety;7;2019;[-]";"kobiety;8;2019;[-]";"kobiety;9;2019;[-]";"kobiety;10;2019;[-]";"kobiety;11;2019;[-]";"kobiety;12;2019;[-]";"kobiety;13;2019;[-]";"kobiety;14;2019;[-]";"kobiety;15;2019;[-]";"kobiety;16;2019;[-]";"kobiety;17;2019;[-]";"kobiety;18;2019;[-]";"kobiety;19;2019;[-]";"kobiety;20;2019;[-]";"kobiety;21;2019;[-]";"kobiety;22;2019;[-]";"kobiety;23;2019;[-]";"kobiety;24;2019;[-]";"kobiety;25;2019;[-]";"kobiety;26;2019;[-]";"kobiety;27;2019;[-]";"kobiety;28;2019;[-]";"kobiety;29;2019;[-]";"kobiety;30;2019;[-]";"kobiety;31;2019;[-]";"kobiety;32;2019;[-]";"kobiety;33;2019;[-]";"kobiety;34;2019;[-]";"kobiety;35;2019;[-]";"kobiety;36;2019;[-]";"kobiety;37;2019;[-]";"kobiety;38;2019;[-]";"kobiety;39;2019;[-]";"kobiety;40;2019;[-]";"kobiety;41;2019;[-]";"kobiety;42;2019;[-]";"kobiety;43;2019;[-]";"kobiety;44;2019;[-]";"kobiety;45;2019;[-]";"kobiety;46;2019;[-]";"kobiety;47;2019;[-]";"kobiety;48;2019;[-]";"kobiety;49;2019;[-]";"kobiety;50;2019;[-]";"kobiety;51;2019;[-]";"kobiety;52;2019;[-]";"kobiety;53;2019;[-]";"kobiety;54;2019;[-]";"kobiety;55;2019;[-]";"kobiety;56;2019;[-]";"kobiety;57;2019;[-]";"kobiety;58;2019;[-]";"kobiety;59;2019;[-]";"kobiety;60;2019;[-]";"kobiety;61;2019;[-]";"kobiety;62;2019;[-]";"kobiety;63;2019;[-]";"kobiety;64;2019;[-]";"kobiety;65;2019;[-]";"kobiety;66;2019;[-]";"kobiety;67;2019;[-]";"kobiety;68;2019;[-]";"kobiety;69;2019;[-]";"kobiety;70;2019;[-]";"kobiety;71;2019;[-]";"kobiety;72;2019;[-]";"kobiety;73;2019;[-]";"kobiety;74;2019;[-]";"kobiety;75;2019;[-]";"kobiety;76;2019;[-]";"kobiety;77;2019;[-]";"kobiety;78;2019;[-]";"kobiety;79;2019;[-]";"kobiety;80;2019;[-]";"kobiety;81;2019;[-]";"kobiety;82;2019;[-]";"kobiety;83;2019;[-]";"kobiety;84;2019;[-]";"kobiety;85;2019;[-]";"kobiety;86;2019;[-]";"kobiety;87;2019;[-]";"kobiety;88;2019;[-]";"kobiety;89;2019;[-]";"kobiety;90;2019;[-]";"kobiety;91;2019;[-]";"kobiety;92;2019;[-]";"kobiety;93;2019;[-]";"kobiety;94;2019;[-]";"kobiety;95;2019;[-]";"kobiety;96;2019;[-]";"kobiety;97;2019;[-]";"kobiety;98;2019;[-]";"kobiety;99;2019;[-]";"kobiety;100;2019;[-]";"kobiety;101;2019;[-]";"kobiety;102;2019;[-]";"kobiety;103;2019;[-]";"kobiety;104;2019;[-]";"kobiety;105;2019;[-]";"kobiety;106;2019;[-]";"kobiety;107;2019;[-]";"kobiety;108;2019;[-]";"kobiety;109;2019;[-]";"kobiety;110 i więcej;2019;[-]";
0000000;"POLSKA";409709;1412;100;54;44;34;37;36;28;38;45;37;35;42;46;53;77;85;109;171;198;194;191;232;236;295;285;321;353;377;429;442;532;573;645;670;734;832;848;918;946;994;1102;1178;1290;1422;1492;1579;1609;1794;1856;2139;2200;2325;2577;2953;3199;3746;4068;4582;5489;6344;7036;7357;8020;8202;8910;9449;9885;9936;9754;9960;9986;9731;8359;7303;7840;7496;8155;9276;10030;10616;11027;11780;12212;12470;12432;12676;13203;12803;12195;10850;9366;8135;7011;5740;4319;3360;2389;1467;1020;446;282;207;130;103;58;24;13;11;3;4;211423;749;58;31;27;18;18;19;16;22;21;16;24;26;23;32;45;61;75;121;150;150;156;186;191;225;232;269;287;300;342;365;430;466;514;527;592;641;655;706;711;760;841;868;972;1041;1094;1169;1165;1273;1361;1544;1599;1702;1854;2119;2288;2683;2853;3215;3842;4393;4723;4979;5377;5471;5997;6245;6421;6305;6106;6114;6039;5789;4811;4138;4283;3989;4285;4734;5041;5074;5077;5261;5217;5081;4790;4618;4662;4260;4039;3313;2728;2195;1763;1401;1010;728;482;321;210;79;47;32;26;15;7;3;2;2;0;0;198286;663;42;23;17;16;19;17;12;16;24;21;11;16;23;21;32;24;34;50;48;44;35;46;45;70;53;52;66;77;87;77;102;107;131;143;142;191;193;212;235;234;261;310;318;381;398;410;444;521;495;595;601;623;723;834;911;1063;1215;1367;1647;1951;2313;2378;2643;2731;2913;3204;3464;3631;3648;3846;3947;3942;3548;3165;3557;3507;3870;4542;4989;5542;5950;6519;6995;7389;7642;8058;8541;8543;8156;7537;6638;5940;5248;4339;3309;2632;1907;1146;810;367;235;175;104;88;51;21;11;9;3;4;
0200000;"DOLNOŚLĄSKIE";32719;120;7;1;7;2;2;5;5;4;2;5;4;4;4;3;10;7;7;13;14;19;16;19;24;35;26;27;22;26;36;31;39;36;50;66;52;70;69;67;67;89;83;91;115;122;132;115;153;145;128;150;135;172;192;235;258;305;341;404;485;505;626;614;679;732;801;854;870;861;885;890;930;782;649;508;558;519;568;672;722;766;834;844;949;946;928;908;1045;930;984;788;789;667;600;520;357;287;196;126;72;30;20;13;10;6;4;1;0;1;0;0;16714;69;3;1;3;1;1;4;2;3;0;2;3;4;3;1;6;2;5;10;11;17;11;15;16;29;20;23;17;17;26;22;31;33;35;51;38;57;52;52;49;57;56;63;97;85;100;84;107;101;95;116;105;124;151;176;182;214;222;286;319;352;411;406;461;499;516;556;578;539;565;541;566;483;379;291;313;276;302;342;341;351;356;365;396;358;334;304;337;291;290;232;215;154;141;138;89;58;38;28;16;9;3;2;4;1;1;1;0;0;0;0;16005;51;4;0;4;1;1;1;3;1;2;3;1;0;1;2;4;5;2;3;3;2;5;4;8;6;6;4;5;9;10;9;8;3;15;15;14;13;17;15;18;32;27;28;18;37;32;31;46;44;33;34;30;48;41;59;76;91;119;118;166;153;215;208;218;233;285;298;292;322;320;349;364;299;270;217;245;243;266;330;381;415;478;479;553;588;594;604;708;639;694;556;574;513;459;382;268;229;158;98;56;21;17;11;6;5;3;0;0;1;0;0;
0400000;"KUJAWSKO-POMORSKIE";22096;95;4;5;4;3;3;5;3;3;5;1;2;2;4;1;5;8;10;11;11;9;12;14;14;19;17;11;17;32;24;14;31;30;26;36;37;41;44;47;55;52;58;61;74;74;84;87;74;87;99;128;135;135;129;158;177;215;241;237;328;382;413;427;477;477;478;549;565;601;568;567;560;544;462;389;437;415;484;450;509;584;631;606;619;629;653;651;649;664;529;565;468;382;348;281;224;183;132;62;66;15;15;14;8;8;1;4;1;2;0;0;11397;45;3;1;1;2;1;4;1;2;2;0;1;2;1;0;3;3;9;5;9;6;11;13;12;15;14;10;14;27;22;14;27;29;19;32;31;29;35;40;43;44;41;42;58;55;64;61;56;58;65;90;94;95;97;105;120;154;158;155;223;255;259;293;301;294;299;375;357;362;353;330;327;318;272;201;241;216;245;228;250;288;298;287;280;263;252;244;217;230;184;188;124;89;76;71;52;37;35;17;9;2;3;1;1;0;0;0;0;0;0;0;10699;50;1;4;3;1;2;1;2;1;3;1;1;0;3;1;2;5;1;6;2;3;1;1;2;4;3;1;3;5;2;0;4;1;7;4;6;12;9;7;12;8;17;19;16;19;20;26;18;29;34;38;41;40;32;53;57;61;83;82;105;127;154;134;176;183;179;174;208;239;215;237;233;226;190;188;196;199;239;222;259;296;333;319;339;366;401;407;432;434;345;377;344;293;272;210;172;146;97;45;57;13;12;13;7;8;1;4;1;2;0;0;
0600000;"LUBELSKIE";23015;87;2;6;1;2;3;0;2;1;3;6;2;2;3;3;6;7;4;7;13;6;13;12;12;17;18;19;17;25;25;17;29;43;42;40;37;37;45;49;44;64;59;72;66;81;103;77;75;110;105;140;115;124;146;161;175;198;220;283;293;298;357;364;412;447;434;492;486;464;473;509;513;454;480;416;465;410;465;542;546;611;631;667;711;745;662;768;832;752;742;720;619;533;458;343;247;203;132;87;70;29;20;8;11;7;3;1;0;0;1;1;11945;45;1;3;1;1;2;0;1;0;1;2;0;2;2;2;3;6;2;5;9;5;12;10;12;15;16;17;14;21;20;15;25;33;36;34;35;28;37;36;38;52;45;52;54;63;81;56;55;82;79;102;84;93;107;119;130;149;164;200;211;226;274;260;286;307;296;319;342;311;308;314;313;290;274;237;247;230;252;306;272;285;279;296;305;332;273;265;282;263;234;207;175;151;137;92;54;49;31;20;13;3;3;3;2;1;1;0;0;0;0;0;11070;42;1;3;0;1;1;0;1;1;2;4;2;0;1;1;3;1;2;2;4;1;1;2;0;2;2;2;3;4;5;2;4;10;6;6;2;9;8;13;6;12;14;20;12;18;22;21;20;28;26;38;31;31;39;42;45;49;56;83;82;72;83;104;126;140;138;173;144;153;165;195;200;164;206;179;218;180;213;236;274;326;352;371;406;413;389;503;550;489;508;513;444;382;321;251;193;154;101;67;57;26;17;5;9;6;2;1;0;0;1;1;
0800000;"LUBUSKIE";11070;29;6;2;0;0;0;0;0;1;1;2;0;1;1;4;3;2;5;8;11;3;5;8;8;6;7;12;4;12;9;22;17;9;17;22;21;27;25;24;28;35;34;26;35;36;45;54;43;56;36;71;64;53;82;94;97;109;128;127;180;187;216;254;255;258;298;285;308;298;309;285;300;293;225;178;196;199;210;220;261;238;264;287;300;288;310;307;317;328;299;259;235;186;167;149;110;69;61;41;30;5;9;6;2;0;0;0;0;0;1;0;5844;14;4;2;0;0;0;0;0;1;1;1;0;0;1;3;1;2;3;4;9;2;4;7;8;5;6;10;4;10;5;18;12;7;12;15;20;26;21;18;24;27;29;21;21;28;32;37;33;37;24;51;45;39;49;67;74;73;90;87;115;127;150;173;171;164;203;195;201;203;198;191;187;170;139;108;104;104;110;104;127;116;121;136;129;104;110;102;103;111;91;78;61;43;34;35;23;17;17;11;11;1;1;0;1;0;0;0;0;0;0;0;5226;15;2;0;0;0;0;0;0;0;0;1;0;1;0;1;2;0;2;4;2;1;1;1;0;1;1;2;0;2;4;4;5;2;5;7;1;1;4;6;4;8;5;5;14;8;13;17;10;19;12;20;19;14;33;27;23;36;38;40;65;60;66;81;84;94;95;90;107;95;111;94;113;123;86;70;92;95;100;116;134;122;143;151;171;184;200;205;214;217;208;181;174;143;133;114;87;52;44;30;19;4;8;6;1;0;0;0;0;0;1;0;
1000000;"ŁÓDZKIE";30609;82;8;1;3;1;0;1;2;2;3;1;3;3;3;4;4;6;7;9;14;12;16;15;13;21;25;21;31;31;40;35;40;47;55;52;57;63;63;82;90;69;110;109;111;119;118;129;145;165;160;144;176;153;195;236;216;245;297;308;371;487;526;558;611;583;649;748;739;767;735;750;796;807;689;542;574;615;634;646;662;748;760;830;890;887;908;912;963;993;871;827;695;650;516;450;323;262;176;119;70;41;19;17;10;6;4;1;0;1;0;0;15448;41;6;0;3;0;0;1;0;1;0;1;3;2;3;1;3;5;4;7;9;8;13;12;11;16;22;17;28;28;35;25;36;37;44;44;45;53;47;68;66;52;83;84;81;81;90;101;112;119;109;95;136;111;137;177;163;168;217;213;270;326;357;369;400;379;440;498;480;478;451;449;459;457;372;325;312;325;337;319;302;332;350;332;364;343;321;310;301;327;267;237;195;161;131;95;70;49;35;25;11;5;4;1;2;0;0;0;0;1;0;0;15161;41;2;1;0;1;0;0;2;1;3;0;0;1;0;3;1;1;3;2;5;4;3;3;2;5;3;4;3;3;5;10;4;10;11;8;12;10;16;14;24;17;27;25;30;38;28;28;33;46;51;49;40;42;58;59;53;77;80;95;101;161;169;189;211;204;209;250;259;289;284;301;337;350;317;217;262;290;297;327;360;416;410;498;526;544;587;602;662;666;604;590;500;489;385;355;253;213;141;94;59;36;15;16;8;6;4;1;0;0;0;0;
1200000;"MAŁOPOLSKIE";32981;115;10;5;0;1;4;4;2;1;5;2;3;4;2;5;3;5;10;13;19;17;19;12;16;24;14;26;34;24;29;28;30;60;40;43;49;60;62;71;59;65;76;82;95;104;127;100;118;134;134;172;178;189;206;227;242;301;290;336;383;462;511;511;570;587;624;664;707;699;715;701;697;720;681;600;701;584;623;775;861;891;950;1025;1090;1078;1129;1136;1196;1153;1070;993;789;689;627;490;393;288;217;110;80;32;24;19;12;7;5;3;1;2;0;0;16896;71;4;4;0;1;3;1;2;0;3;1;2;1;1;3;3;5;5;11;16;16;15;9;13;17;13;23;27;17;22;22;24;51;35;34;42;39;50;56;41;48;63;60;76;80;88;75;85;91;100;122;132;141;146;156;185;223;215;247;284;332;372;357;383;390;439;442;473;447;420;422;426;428;421;332;376;318;322;394;451;458;435;480;474;443;429;428;418;379;380;302;258;207;172;121;92;65;39;22;15;4;4;3;2;0;1;0;0;0;0;0;16085;44;6;1;0;0;1;3;0;1;2;1;1;3;1;2;0;0;5;2;3;1;4;3;3;7;1;3;7;7;7;6;6;9;5;9;7;21;12;15;18;17;13;22;19;24;39;25;33;43;34;50;46;48;60;71;57;78;75;89;99;130;139;154;187;197;185;222;234;252;295;279;271;292;260;268;325;266;301;381;410;433;515;545;616;635;700;708;778;774;690;691;531;482;455;369;301;223;178;88;65;28;20;16;10;7;4;3;1;2;0;0;
1400000;"MAZOWIECKIE";57668;189;13;8;8;5;7;6;3;5;5;5;4;2;9;6;13;7;15;24;33;33;18;30;36;41;44;47;50;55;55;65;81;83;86;93;98;134;138;140;128;154;150;173;179;198;202;231;228;238;244;281;310;315;325;370;405;524;529;610;708;762;931;964;1136;1108;1249;1253;1319;1280;1214;1222;1288;1326;1118;1070;1090;979;1033;1166;1376;1458;1513;1627;1710;1819;1826;1897;2116;1880;1952;1712;1487;1293;1148;882;673;526;412;244;183;82;51;43;21;16;12;4;0;0;0;1;29388;91;6;6;5;4;4;4;2;4;2;2;3;1;4;3;6;4;12;19;23;25;16;24;30;30;35;40;40;42;45;60;65;67;70;72;80;109;105;110;98;114;122;127;134;143;140;170;152;166;184;211;224;239;233;268;293;395;378;434;496;518;623;663;746;747;848;831;837;833;737;748;764;770;624;596;580;492;528;584;692;682;705;728;756;753;693;733;778;636;679;562;453;385;326;239;163;131;92;61;40;16;7;7;4;4;2;1;0;0;0;0;28280;98;7;2;3;1;3;2;1;1;3;3;1;1;5;3;7;3;3;5;10;8;2;6;6;11;9;7;10;13;10;5;16;16;16;21;18;25;33;30;30;40;28;46;45;55;62;61;76;72;60;70;86;76;92;102;112;129;151;176;212;244;308;301;390;361;401;422;482;447;477;474;524;556;494;474;510;487;505;582;684;776;808;899;954;1066;1133;1164;1338;1244;1273;1150;1034;908;822;643;510;395;320;183;143;66;44;36;17;12;10;3;0;0;0;1;
1600000;"OPOLSKIE";10694;31;3;2;3;0;2;0;0;1;2;0;2;0;1;0;2;1;2;9;9;2;6;8;6;6;5;6;9;10;9;15;11;18;15;22;13;14;24;25;19;23;22;25;19;31;34;39;28;35;38;61;43;54;59;70;73;106;104;127;133;148;177;184;206;214;230;248;243;260;266;285;242;223;223;183;232;202;261;292;340;335;351;359;348;355;343;352;310;295;286;252;238;184;135;129;114;72;57;38;19;7;6;5;2;5;0;0;0;0;0;1;5511;15;3;1;2;0;2;0;0;0;2;0;1;0;0;0;2;1;2;9;7;2;5;5;5;5;4;4;8;6;8;15;9;14;14;16;11;10;19;21;15;20;17;17;10;26;24;27;21;24;25;49;30;35;41;46;53;72;76;82;98;105;125;134;145;146;137;168;153;171;162;176;154;137;135;91;136;110;143;148;176;161;161;153;160;125;133;129;120;100;99;72;57;41;24;29;21;13;9;8;5;0;3;0;0;0;0;0;0;0;0;0;5183;16;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;1;3;1;1;1;2;1;4;1;0;2;4;1;6;2;4;5;4;4;3;5;8;9;5;10;12;7;11;13;12;13;19;18;24;20;34;28;45;35;43;52;50;61;68;93;80;90;89;104;109;88;86;88;92;96;92;118;144;164;174;190;206;188;230;210;223;190;195;187;180;181;143;111;100;93;59;48;30;14;7;3;5;2;5;0;0;0;0;0;1;
1800000;"PODKARPACKIE";20029;83;3;2;5;2;3;1;1;2;2;1;3;3;2;3;5;4;4;9;5;10;11;6;13;19;18;15;15;17;14;15;34;27;36;31;31;40;44;44;35;40;36;55;65;72;66;69;80;80;98;101;96;108;132;146;167;178;180;201;272;301;278;336;338;319;363;386;406;419;432;438;415;407;366;399;382;299;375;498;499;554;564;603;708;677;649;724;732;711;636;590;513;437;352;286;269;183;137;70;62;23;9;8;6;4;3;1;1;1;0;0;10530;42;1;1;3;1;1;0;1;2;1;1;3;3;0;2;4;4;2;7;5;5;8;6;10;13;13;13;12;16;12;10;28;25;28;28;26;31;36;33;26;25;30;46;49;55;54;54;70;63;80;77;72;82;101;113;115;137;130;152;206;221;196;233;250;227;273;272;296;272;282;281;274;256;206;241;211;155;179;271;257;274;274;290;287;283;275;271;271;240;214;195;159;130;101;65;74;48;23;12;9;2;2;2;1;1;0;0;0;0;0;0;9499;41;2;1;2;1;2;1;0;0;1;0;0;0;2;1;1;0;2;2;0;5;3;0;3;6;5;2;3;1;2;5;6;2;8;3;5;9;8;11;9;15;6;9;16;17;12;15;10;17;18;24;24;26;31;33;52;41;50;49;66;80;82;103;88;92;90;114;110;147;150;157;141;151;160;158;171;144;196;227;242;280;290;313;421;394;374;453;461;471;422;395;354;307;251;221;195;135;114;58;53;21;7;6;5;3;3;1;1;1;0;0;
