"Kod";"Nazwa";"ogółem;ogółem;2013;[-]";"ogółem;0;2013;[-]";"ogółem;1;2013;[-]";"ogółem;2;2013;[-]";"ogółem;3;2013;[-]";"ogółem;4;2013;[-]";"ogółem;5;2013;[-]";"ogółem;6;2013;[-]";"ogółem;7;2013;[-]";"ogółem;8;2013;[-]";"ogółem;9;2013;[-]";"ogółem;10;2013;[-]";"ogółem;11;2013;[-]";"ogółem;12;2013;[-]";"ogółem;13;2013;[-]";"ogółem;14;2013;[-]";"ogółem;15;2013;[-]";"ogółem;16;2013;[-]";"ogółem;17;2013;[-]";"ogółem;18;2013;[-]";"ogółem;19;2013;[-]";"ogółem;20;2013;[-]";"ogółem;21;2013;[-]";"ogółem;22;2013;[-]";"ogółem;23;2013;[-]";"ogółem;24;2013;[-]";"ogółem;25;2013;[-]";"ogółem;26;2013;[-]";"ogółem;27;2013;[-]";"ogółem;28;2013;[-]";"ogółem;29;2013;[-]";"ogółem;30;2013;[-]";"ogółem;31;2013;[-]";"ogółem;32;2013;[-]";"ogółem;33;2013;[-]";"ogółem;34;2013;[-]";"ogółem;35;2013;[-]";"ogółem;36;2013;[-]";"ogółem;37;2013;[-]";"ogółem;38;2013;[-]";"ogółem;39;2013;[-]";"ogółem;40;2013;[-]";"ogółem;41;2013;[-]";"ogółem;42;2013;[-]";"ogółem;43;2013;[-]";"ogółem;44;2013;[-]";"ogółem;45;2013;[-]";"ogółem;46;2013;[-]";"ogółem;47;2013;[-]";"ogółem;48;2013;[-]";"ogółem;49;2013;[-]";"ogółem;50;2013;[-]";"ogółem;51;2013;[-]";"ogółem;52;2013;[-]";"ogółem;53;2013;[-]";"ogółem;54;2013;[-]";"ogółem;55;2013;[-]";"ogółem;56;2013;[-]";"ogółem;57;2013;[-]";"ogółem;58;2013;[-]";"ogółem;59;2013;[-]";"ogółem;60;2013;[-]";"ogółem;61;2013;[-]";"ogółem;62;2013;[-]";"ogółem;63;2013;[-]";"ogółem;64;2013;[-]";"ogółem;65;2013;[-]";"ogółem;66;2013;[-]";"ogółem;67;2013;[-]";"ogółem;68;2013;[-]";"ogółem;69;2013;[-]";"ogółem;70;2013;[-]";"ogółem;71;2013;[-]";"ogółem;72;2013;[-]";"ogółem;73;2013;[-]";"ogółem;74;2013;[-]";"ogółem;75;2013;[-]";"ogółem;76;2013;[-]";"ogółem;77;2013;[-]";"ogółem;78;2013;[-]";"ogółem;79;2013;[-]";"ogółem;80;2013;[-]";"ogółem;81;2013;[-]";"ogółem;82;2013;[-]";"ogółem;83;2013;[-]";"ogółem;84;2013;[-]";"ogółem;85;2013;[-]";"ogółem;86;2013;[-]";"ogółem;87;2013;[-]";"ogółem;88;2013;[-]";"ogółem;89;2013;[-]";"ogółem;90;2013;[-]";"ogółem;91;2013;[-]";"ogółem;92;2013;[-]";"ogółem;93;2013;[-]";"ogółem;94;2013;[-]";"ogółem;95;2013;[-]";"ogółem;96;2013;[-]";"ogółem;97;2013;[-]";"ogółem;98;2013;[-]";"ogółem;99;2013;[-]";"ogółem;100;2013;[-]";"ogółem;101;2013;[-]";"ogółem;102;2013;[-]";"ogółem;103;2013;[-]";"ogółem;104;2013;[-]";"ogółem;105;2013;[-]";"ogółem;106;2013;[-]";"ogółem;107;2013;[-]";"ogółem;108;2013;[-]";"ogółem;109;2013;[-]";"ogółem;110 i więcej;2013;[-]";"mężczyźni;ogółem;2013;[-]";"mężczyźni;0;2013;[-]";"mężczyźni;1;2013;[-]";"mężczyźni;2;2013;[-]";"mężczyźni;3;2013;[-]";"mężczyźni;4;2013;[-]";"mężczyźni;5;2013;[-]";"mężczyźni;6;2013;[-]";"mężczyźni;7;2013;[-]";"mężczyźni;8;2013;[-]";"mężczyźni;9;2013;[-]";"mężczyźni;10;2013;[-]";"mężczyźni;11;2013;[-]";"mężczyźni;12;2013;[-]";"mężczyźni;13;2013;[-]";"mężczyźni;14;2013;[-]";"mężczyźni;15;2013;[-]";"mężczyźni;16;2013;[-]";"mężczyźni;17;2013;[-]";"mężczyźni;18;2013;[-]";"mężczyźni;19;2013;[-]";"mężczyźni;20;2013;[-]";"mężczyźni;21;2013;[-]";"mężczyźni;22;2013;[-]";"mężczyźni;23;2013;[-]";"mężczyźni;24;2013;[-]";"mężczyźni;25;2013;[-]";"mężczyźni;26;2013;[-]";"mężczyźni;27;2013;[-]";"mężczyźni;28;2013;[-]";"mężczyźni;29;2013;[-]";"mężczyźni;30;2013;[-]";"mężczyźni;31;2013;[-]";"mężczyźni;32;2013;[-]";"mężczyźni;33;2013;[-]";"mężczyźni;34;2013;[-]";"mężczyźni;35;2013;[-]";"mężczyźni;36;2013;[-]";"mężczyźni;37;2013;[-]";"mężczyźni;38;2013;[-]";"mężczyźni;39;2013;[-]";"mężczyźni;40;2013;[-]";"mężczyźni;41;2013;[-]";"mężczyźni;42;2013;[-]";"mężczyźni;43;2013;[-]";"mężczyźni;44;2013;[-]";"mężczyźni;45;2013;[-]";"mężczyźni;46;2013;[-]";"mężczyźni;47;2013;[-]";"mężczyźni;48;2013;[-]";"mężczyźni;49;2013;[-]";"mężczyźni;50;2013;[-]";"mężczyźni;51;2013;[-]";"mężczyźni;52;2013;[-]";"mężczyźni;53;2013;[-]";"mężczyźni;54;2013;[-]";"mężczyźni;55;2013;[-]";"mężczyźni;56;2013;[-]";"mężczyźni;57;2013;[-]";"mężczyźni;58;2013;[-]";"mężczyźni;59;2013;[-]";"mężczyźni;60;2013;[-]";"mężczyźni;61;2013;[-]";"mężczyźni;62;2013;[-]";"mężczyźni;63;2013;[-]";"mężczyźni;64;2013;[-]";"mężczyźni;65;2013;[-]";"mężczyźni;66;2013;[-]";"mężczyźni;67;2013;[-]";"mężczyźni;68;2013;[-]";"mężczyźni;69;2013;[-]";"mężczyźni;70;2013;[-]";"mężczyźni;71;2013;[-]";"mężczyźni;72;2013;[-]";"mężczyźni;73;2013;[-]";"mężczyźni;74;2013;[-]";"mężczyźni;75;2013;[-]";"mężczyźni;76;2013;[-]";"mężczyźni;77;2013;[-]";"mężczyźni;78;2013;[-]";"mężczyźni;79;2013;[-]";"mężczyźni;80;2013;[-]";"mężczyźni;81;2013;[-]";"mężczyźni;82;2013;[-]";"mężczyźni;83;2013;[-]";"mężczyźni;84;2013;[-]";"mężczyźni;85;2013;[-]";"mężczyźni;86;2013;[-]";"mężczyźni;87;2013;[-]";"mężczyźni;88;2013;[-]";"mężczyźni;89;2013;[-]";"mężczyźni;90;2013;[-]";"mężczyźni;91;2013;[-]";"mężczyźni;92;2013;[-]";"mężczyźni;93;2013;[-]";"mężczyźni;94;2013;[-]";"mężczyźni;95;2013;[-]";"mężczyźni;96;2013;[-]";"mężczyźni;97;2013;[-]";"mężczyźni;98;2013;[-]";"mężczyźni;99;2013;[-]";"mężczyźni;100;2013;[-]";"mężczyźni;101;2013;[-]";"mężczyźni;102;2013;[-]";"mężczyźni;103;2013;[-]";"mężczyźni;104;2013;[-]";"mężczyźni;105;2013;[-]";"mężczyźni;106;2013;[-]";"mężczyźni;107;2013;[-]";"mężczyźni;108;2013;[-]";"mężczyźni;109;2013;[-]";"mężczyźni;110 i więcej;2013;[-]";"kobiety;ogółem;2013;[-]";"kobiety;0;2013;[-]";"kobiety;1;2013;[-]";"kobiety;2;2013;[-]";"kobiety;3;2013;[-]";"kobiety;4;2013;[-]";"kobiety;5;2013;[-]";"kobiety;6;2013;[-]";"kobiety;7;2013;[-]";"kobiety;8;2013;[-]";"kobiety;9;2013;[-]";"kobiety;10;2013;[-]";"kobiety;11;2013;[-]";"kobiety;12;2013;[-]";"kobiety;13;2013;[-]";"kobiety;14;2013;[-]";"kobiety;15;2013;[-]";"kobiety;16;2013;[-]";"kobiety;17;2013;[-]";"kobiety;18;2013;[-]";"kobiety;19;2013;[-]";"kobiety;20;2013;[-]";"kobiety;21;2013;[-]";"kobiety;22;2013;[-]";"kobiety;23;2013;[-]";"kobiety;24;2013;[-]";"kobiety;25;2013;[-]";"kobiety;26;2013;[-]";"kobiety;27;2013;[-]";"kobiety;28;2013;[-]";"kobiety;29;2013;[-]";"kobiety;30;2013;[-]";"kobiety;31;2013;[-]";"kobiety;32;2013;[-]";"kobiety;33;2013;[-]";"kobiety;34;2013;[-]";"kobiety;35;2013;[-]";"kobiety;36;2013;[-]";"kobiety;37;2013;[-]";"kobiety;38;2013;[-]";"kobiety;39;2013;[-]";"kobiety;40;2013;[-]";"kobiety;41;2013;[-]";"kobiety;42;2013;[-]";"kobiety;43;2013;[-]";"kobiety;44;2013;[-]";"kobiety;45;2013;[-]";"kobiety;46;2013;[-]";"kobiety;47;2013;[-]";"kobiety;48;2013;[-]";"kobiety;49;2013;[-]";"kobiety;50;2013;[-]";"kobiety;51;2013;[-]";"kobiety;52;2013;[-]";"kobiety;53;2013;[-]";"kobiety;54;2013;[-]";"kobiety;55;2013;[-]";"kobiety;56;2013;[-]";"kobiety;57;2013;[-]";"kobiety;58;2013;[-]";"kobiety;59;2013;[-]";"kobiety;60;2013;[-]";"kobiety;61;2013;[-]";"kobiety;62;2013;[-]";"kobiety;63;2013;[-]";"kobiety;64;2013;[-]";"kobiety;65;2013;[-]";"kobiety;66;2013;[-]";"kobiety;67;2013;[-]";"kobiety;68;2013;[-]";"kobiety;69;2013;[-]";"kobiety;70;2013;[-]";"kobiety;71;2013;[-]";"kobiety;72;2013;[-]";"kobiety;73;2013;[-]";"kobiety;74;2013;[-]";"kobiety;75;2013;[-]";"kobiety;76;2013;[-]";"kobiety;77;2013;[-]";"kobiety;78;2013;[-]";"kobiety;79;2013;[-]";"kobiety;80;2013;[-]";"kobiety;81;2013;[-]";"kobiety;82;2013;[-]";"kobiety;83;2013;[-]";"kobiety;84;2013;[-]";"kobiety;85;2013;[-]";"kobiety;86;2013;[-]";"kobiety;87;2013;[-]";"kobiety;88;2013;[-]";"kobiety;89;2013;[-]";"kobiety;90;2013;[-]";"kobiety;91;2013;[-]";"kobiety;92;2013;[-]";"kobiety;93;2013;[-]";"kobiety;94;2013;[-]";"kobiety;95;2013;[-]";"kobiety;96;2013;[-]";"kobiety;97;2013;[-]";"kobiety;98;2013;[-]";"kobiety;99;2013;[-]";"kobiety;100;2013;[-]";"kobiety;101;2013;[-]";"kobiety;102;2013;[-]";"kobiety;103;2013;[-]";"kobiety;104;2013;[-]";"kobiety;105;2013;[-]";"kobiety;106;2013;[-]";"kobiety;107;2013;[-]";"kobiety;108;2013;[-]";"kobiety;109;2013;[-]";"kobiety;110 i więcej;2013;[-]";
0000000;"POLSKA";387312;1684;108;72;70;56;37;38;34;44;26;43;41;54;73;71;99;144;184;273;287;297;301;334;345;349;359;383;401;435;484;523;497;552;617;579;676;715;796;886;914;996;985;1179;1183;1286;1360;1491;1739;1857;2195;2451;2814;3159;3827;4240;4968;5270;5637;6006;6425;6747;7307;7541;7464;7906;7783;7653;6621;5699;6105;6003;6373;7341;7893;8458;8948;9627;10210;10631;10956;11437;12600;13432;13406;12714;12425;11771;11724;10831;9845;8794;7181;5498;4616;2808;1879;1620;1209;1089;813;517;349;224;133;86;38;30;10;7;4;7;201696;937;54;43;41;29;18;23;24;25;16;22;22;33;45;39;58;100;125;213;235;241;240;279;284;298;285;313;325;352;382;412;391;429;499;447;515;555;607;682;699;768;757;892;890;960;1000;1132;1242;1354;1604;1743;2059;2287;2750;3031;3490;3712;3958;4181;4392;4647;4968;5049;4907;5251;5179;5032;4211;3598;3816;3631;3836;4351;4585;4822;5032;5107;5432;5304;5363;5296;5647;5757;5476;4900;4555;4044;3758;3266;2837;2435;1968;1470;1267;657;433;381;249;206;165;101;67;37;26;14;10;10;1;1;0;2;185616;747;54;29;29;27;19;15;10;19;10;21;19;21;28;32;41;44;59;60;52;56;61;55;61;51;74;70;76;83;102;111;106;123;118;132;161;160;189;204;215;228;228;287;293;326;360;359;497;503;591;708;755;872;1077;1209;1478;1558;1679;1825;2033;2100;2339;2492;2557;2655;2604;2621;2410;2101;2289;2372;2537;2990;3308;3636;3916;4520;4778;5327;5593;6141;6953;7675;7930;7814;7870;7727;7966;7565;7008;6359;5213;4028;3349;2151;1446;1239;960;883;648;416;282;187;107;72;28;20;9;6;4;5;
0200000;"DOLNOŚLĄSKIE";30498;132;9;7;6;5;4;2;4;3;3;6;3;3;5;2;8;11;12;26;26;20;27;29;33;32;20;34;34;26;24;48;35;41;44;40;59;56;52;60;74;78;76;91;87;80;94;94;136;140;184;192;209;283;321;319;397;415;517;512;619;612;671;644;691;679;632;635;519;408;458;434;460;533;574;610;684;741;781;821;843;930;983;1031;1069;969;967;922;939;924;782;703;520;413;294;186;139;100;81;64;49;40;19;11;11;4;6;2;0;1;0;0;15815;80;4;6;4;3;2;2;2;2;1;2;2;1;4;1;4;9;10;20;23;18;21;23;25;27;16;30;31;20;20;35;27;28;37;33;46;45;33;43;60;61;61;67;65;56;63;76;105;102;133;126;152;209;231;233;284;301;366;352;427;420;449;453;452;437;413;412;336;268;302;253;271;323;316;361;367;380;405;403;412;410;412;413;425;327;329;286;285;274;240;188;146;117;87;39;33;37;19;14;14;6;3;2;1;2;2;1;0;0;0;0;14683;52;5;1;2;2;2;0;2;1;2;4;1;2;1;1;4;2;2;6;3;2;6;6;8;5;4;4;3;6;4;13;8;13;7;7;13;11;19;17;14;17;15;24;22;24;31;18;31;38;51;66;57;74;90;86;113;114;151;160;192;192;222;191;239;242;219;223;183;140;156;181;189;210;258;249;317;361;376;418;431;520;571;618;644;642;638;636;654;650;542;515;374;296;207;147;106;63;62;50;35;34;16;9;10;2;4;1;0;1;0;0;
0400000;"KUJAWSKO-POMORSKIE";20485;88;8;3;6;4;2;4;3;10;3;1;6;4;5;9;4;5;12;18;13;19;19;19;17;18;16;21;21;24;28;21;19;26;29;41;23;34;53;51;52;46;57;55;67;63;70;100;100;91;129;117;143;178;207;231;291;275;308;328;349;378;389;447;420;447;469;470;382;272;354;365;379;418;425;471;488;504;525;566;562;578;611;697;661;650;629;579;561;492;477;432;353;237;257;144;94;77;57;65;49;35;29;13;8;3;1;0;0;1;0;0;10666;43;3;2;4;3;1;1;3;5;1;0;4;4;4;6;3;4;7;10;10;14;14;14;13;14;14;14;18;19;23;17;16;20;25;34;17;30;41;43;37;35;42;43;48;46;55;71;67;55;81;88;92;118;147;173;196;186;206;214;245;257;270;284;260;281;311;295;249;183;228;210;238;248;240;261;277;274;306;272;286;265;270;303;267;243;230;195;183;141;129;118;84;57;66;31;23;19;11;12;8;4;7;4;2;0;1;0;0;0;0;0;9819;45;5;1;2;1;1;3;0;5;2;1;2;0;1;3;1;1;5;8;3;5;5;5;4;4;2;7;3;5;5;4;3;6;4;7;6;4;12;8;15;11;15;12;19;17;15;29;33;36;48;29;51;60;60;58;95;89;102;114;104;121;119;163;160;166;158;175;133;89;126;155;141;170;185;210;211;230;219;294;276;313;341;394;394;407;399;384;378;351;348;314;269;180;191;113;71;58;46;53;41;31;22;9;6;3;0;0;0;1;0;0;
0600000;"LUBELSKIE";22849;90;13;5;4;1;3;2;2;2;1;3;1;4;6;5;10;8;14;20;21;23;24;29;31;25;21;22;22;25;27;29;34;35;31;38;34;29;48;37;52;72;57;64;73;74;70;85;105;100;120;128;160;162;196;231;260;283;274;301;372;367;361;412;377;437;426;343;354;336;358;340;367;407;451;479;469;524;616;566;613;682;790;860;831;814;861;804;758;664;663;631;455;352;336;186;154;105;93;69;49;34;18;8;4;3;2;1;0;1;0;0;11945;47;4;2;3;1;1;0;1;1;1;1;0;2;2;2;8;5;10;17;14;22;20;26;30;22;16;19;19;23;22;22;27;28;28;19;25;26;43;27;37;61;42;55;52;53;54;71;74;73;92;93;126;117;152;186;185;201;198;224;263;263;252;287;261;307;281;235;233;211;236;200;225;253;275;292;258;267;339;316;305;350;366;358;337;329;310;273;262;171;209;175;135;100;106;53;47;23;17;8;10;5;3;3;4;0;0;0;0;0;0;0;10904;43;9;3;1;0;2;2;1;1;0;2;1;2;4;3;2;3;4;3;7;1;4;3;1;3;5;3;3;2;5;7;7;7;3;19;9;3;5;10;15;11;15;9;21;21;16;14;31;27;28;35;34;45;44;45;75;82;76;77;109;104;109;125;116;130;145;108;121;125;122;140;142;154;176;187;211;257;277;250;308;332;424;502;494;485;551;531;496;493;454;456;320;252;230;133;107;82;76;61;39;29;15;5;0;3;2;1;0;1;0;0;
0800000;"LUBUSKIE";10046;55;1;0;3;1;0;2;0;1;2;0;2;3;3;5;2;7;7;11;5;6;11;7;10;5;19;11;9;10;16;26;14;20;25;13;17;20;21;28;26;23;30;31;40;38;51;38;42;59;46;65;90;100;98;134;134;163;187;183;179;201;230;247;242;243;228;206;190;142;162;146;167;173;180;213;217;223;264;257;254;287;315;308;312;328;275;265;298;274;242;203;160;129;102;52;39;27;24;17;18;11;11;3;2;0;3;0;0;0;0;1;5301;23;0;0;1;1;0;2;0;0;1;0;2;2;3;3;1;5;7;10;4;4;8;7;8;5;17;8;8;7;11;21;9;17;20;12;13;15;15;17;19;15;22;22;31;27;35;28;29;39;35;46;67;78;64;88;83;105;125;128;112;149;165;171;176;172;147;141;117;76;99;98;105;110;113;113;125;120;128;119;121;130;135;118;122;129;85;88;89;82;61;58;42;32;29;15;10;7;3;5;3;2;3;1;0;0;1;0;0;0;0;1;4745;32;1;0;2;0;0;0;0;1;1;0;0;1;0;2;1;2;0;1;1;2;3;0;2;0;2;3;1;3;5;5;5;3;5;1;4;5;6;11;7;8;8;9;9;11;16;10;13;20;11;19;23;22;34;46;51;58;62;55;67;52;65;76;66;71;81;65;73;66;63;48;62;63;67;100;92;103;136;138;133;157;180;190;190;199;190;177;209;192;181;145;118;97;73;37;29;20;21;12;15;9;8;2;2;0;2;0;0;0;0;0;
1000000;"ŁÓDZKIE";31251;105;7;5;5;5;1;4;2;1;1;5;4;0;5;7;10;9;13;11;22;19;22;28;21;24;32;33;31;47;44;47;44;51;71;64;72;61;76;91;82;88;93;101;101;116;108;119;146;159;185;186;249;269;323;367;379;441;475;506;517;565;585;582;563;641;637;721;610;487;471;457;472;564;581;620;698;738;795;807;842;880;975;1095;1105;981;968;991;1013;901;806;716;592;461;376;232;140;120;96;91;67;32;34;13;6;8;0;2;1;1;0;2;16078;59;3;2;5;3;0;1;1;1;1;2;3;0;2;3;6;6;8;11;15;16;20;23;21;21;24;28;24;39;36;40;38;41;58;54;61;50;64;75;69;74;81;81;80;90;77;93;97;121;133;132;173;207;233;270;279;326;345;361;357;380;382;388;371;434;424;477;379;299;285;282;258;337;325;334;369;390;408;407;411;357;400;470;421;370;331;319;307;259;227;189;153;128;98;49;15;29;24;21;10;4;6;0;2;3;0;1;1;0;0;0;15173;46;4;3;0;2;1;3;1;0;0;3;1;0;3;4;4;3;5;0;7;3;2;5;0;3;8;5;7;8;8;7;6;10;13;10;11;11;12;16;13;14;12;20;21;26;31;26;49;38;52;54;76;62;90;97;100;115;130;145;160;185;203;194;192;207;213;244;231;188;186;175;214;227;256;286;329;348;387;400;431;523;575;625;684;611;637;672;706;642;579;527;439;333;278;183;125;91;72;70;57;28;28;13;4;5;0;1;0;1;0;2;
1200000;"MAŁOPOLSKIE";30277;131;8;3;5;1;3;3;4;4;3;2;1;3;6;3;10;8;15;20;22;26;16;28;26;25;20;27;23;21;27;43;30;36;51;33;46;57;53;57;62;60;57;74;93;92;113;115;129;135;156;172;188;214;275;288;351;356;348;406;398;426;490;499;497;544;602;472;546;483;480;476;435;549;638;688;706;824;838;888;931;958;1060;1088;1141;1080;1013;1026;971;926;829;713;666;450;404;264;154;155;109;84;67;44;26;28;9;5;9;2;1;1;0;0;15506;75;5;0;3;0;2;2;1;2;3;1;0;2;4;3;5;3;11;15;19;23;12;23;21;22;15;21;18;15;19;34;26;27;38;28;38;41;41;47;49;48;48;58;68;72;83;92;93;99;112;118;138;156;195;188;246;253;256;278;258;299;330;310;324;375;423;309;354;311;308;294;275;336;388;402;426;431;418;425;461;461;477;472;467;414;396;373;319;282;245;203;191;111;104;78;31;32;22;19;12;13;3;4;1;1;2;1;0;0;0;0;14771;56;3;3;2;1;1;1;3;2;0;1;1;1;2;0;5;5;4;5;3;3;4;5;5;3;5;6;5;6;8;9;4;9;13;5;8;16;12;10;13;12;9;16;25;20;30;23;36;36;44;54;50;58;80;100;105;103;92;128;140;127;160;189;173;169;179;163;192;172;172;182;160;213;250;286;280;393;420;463;470;497;583;616;674;666;617;653;652;644;584;510;475;339;300;186;123;123;87;65;55;31;23;24;8;4;7;1;1;1;0;0;
1400000;"MAZOWIECKIE";54260;214;17;7;9;7;7;4;5;4;2;5;5;7;8;9;16;24;24;33;43;34;33;44;41;47;51;43;69;71;79;71;82;80;74;80;99;117;108;131;138;144;136;184;139;171;181;185;224;259;286;342;358;386;515;569;661;716;736;830;893;933;914;970;953;987;1018;1018;844;769;811;789;784;909;988;1100;1198;1260;1338;1506;1507;1642;1790;1960;2012;1872;1885;1754;1852;1656;1497;1339;1092;844;761;477;330;295;208;172;128;88;61;38;22;18;7;3;4;0;0;0;27884;126;8;3;6;2;3;3;5;2;2;3;2;7;4;5;9;17;16;27;38;28;28;38;31;40;41;37;56;57;62;56;64;59;59;59;71;87;79;107;113;111;112;139;103;132;139;141;160;198;221;270;266;272;374;411;474;515;518;559;600;645;632;656;623;635;659;681;517;468;490;467;452;510;578;600;685;646;724;742;727;749;826;860;853;752;705;671;642;535;441;413;310;213;208;100;73;62;43;27;37;24;13;6;4;3;1;1;0;0;0;0;26376;88;9;4;3;5;4;1;0;2;0;2;3;0;4;4;7;7;8;6;5;6;5;6;10;7;10;6;13;14;17;15;18;21;15;21;28;30;29;24;25;33;24;45;36;39;42;44;64;61;65;72;92;114;141;158;187;201;218;271;293;288;282;314;330;352;359;337;327;301;321;322;332;399;410;500;513;614;614;764;780;893;964;1100;1159;1120;1180;1083;1210;1121;1056;926;782;631;553;377;257;233;165;145;91;64;48;32;18;15;6;2;4;0;0;0;
1600000;"OPOLSKIE";10267;35;1;0;1;3;1;0;0;2;0;1;1;0;3;2;0;1;7;6;3;8;5;7;12;11;5;13;10;13;6;9;10;14;9;14;11;16;16;12;24;25;24;31;21;32;35;42;36;45;58;59;84;89;103;114;137;126;139;137;177;182;194;202;204;220;206;202;141;178;140;157;190;223;248;292;299;292;332;324;328;312;372;352;372;342;320;299;266;255;221;183;190;119;105;55;33;23;25;26;11;6;7;7;3;2;0;0;0;0;1;0;5293;19;0;0;1;2;0;0;0;2;0;1;0;0;2;1;0;0;5;6;2;6;4;6;11;10;3;6;8;12;6;7;7;9;7;10;8;11;8;10;17;21;18;24;18;22;23;28;24;34;41;41;59;71;74;79;91;91;94;105;127;134;130;137;134;150;136;134;92;119;97;88;108;129;141;173;157;169;196;155;163;124;152;140;140;130;108;86;67;58;61;38;50;34;29;12;8;4;7;4;1;1;1;2;1;1;0;0;0;0;0;0;4974;16;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;2;0;1;2;1;1;1;1;2;7;2;1;0;2;3;5;2;4;3;5;8;2;7;4;6;7;3;10;12;14;12;11;17;18;25;18;29;35;46;35;45;32;50;48;64;65;70;70;70;68;49;59;43;69;82;94;107;119;142;123;136;169;165;188;220;212;232;212;212;213;199;197;160;145;140;85;76;43;25;19;18;22;10;5;6;5;2;1;0;0;0;0;1;0;
1800000;"PODKARPACKIE";18593;92;5;5;4;6;2;3;1;4;3;1;1;5;3;4;6;8;11;19;9;20;22;22;14;16;14;21;19;20;17;22;25;15;32;32;24;22;32;46;40;42;34;65;55;61;63;82;83;75;98;115;126;147;144;164;182;207;225;218;266;239;281;316;282;313;311;317;283;255;275;249;265;355;355;428;487;461;521;556;559;576;679;710;691;649;677;670;656;597;559;454;398;279;243;146;79;73;60;39;56;27;21;16;3;7;0;1;0;0;0;0;9748;49;2;3;0;4;1;2;0;4;2;0;1;4;1;3;4;6;6;16;9;14;18;21;9;13;12;16;14;17;14;21;19;14;28;30;17;18;22;37;30;31;25;52;45;53;49;59;60;53;76;81;101;110;110;115;126;153;161;167;188;169;194;211;188;218;218;207;189;166;170;162;159;212;214;263;283;267;284;254;290;295;315;308;278;267;285;237;228;202;167;144;120;86;71;32;24;17;12;5;11;4;3;2;1;0;0;0;0;0;0;0;8845;43;3;2;4;2;1;1;1;0;1;1;0;1;2;1;2;2;5;3;0;6;4;1;5;3;2;5;5;3;3;1;6;1;4;2;7;4;10;9;10;11;9;13;10;8;14;23;23;22;22;34;25;37;34;49;56;54;64;51;78;70;87;105;94;95;93;110;94;89;105;87;106;143;141;165;204;194;237;302;269;281;364;402;413;382;392;433;428;395;392;310;278;193;172;114;55;56;48;34;45;23;18;14;2;7;0;1;0;0;0;0;
